trial_index,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,objective_mean,objective_std,n_valid_replications,n_orders_completed_mean,n_orders_late_mean,late_order_fraction_mean,time_in_system_mean_mean,wip_mean_mean
0,1,5,5,5,1,1,2,-867.2990986836978,603.5541416521042,5,102.2,0.6,0.0026785714285714286,78.70090131630224,408.89772547337566
1,3,2,3,1,5,5,8,5325.415543442084,1735.9488559569038,5,633.6,226.0,0.3568819886966781,283.41554344208305,201.18491440921488
2,5,4,4,3,3,3,4,-7616.466571611713,3938.865994118113,5,771.0,0.0,0.0,29.533428388287025,115.95486409961867
3,2,2,1,2,2,2,9,6609.712967516843,2708.5171622795115,5,334.4,189.8,0.5530473604667153,396.7129675168434,313.1940608939189
4,3,3,2,3,3,1,5,-456.18435398043766,2120.2686336794086,5,611.4,108.0,0.15270213707469082,202.8156460195625,199.30207309981742
5,5,1,5,4,4,4,9,7626.157193917325,512.1517964046154,5,321.2,205.0,0.6385110782092072,497.15719391732364,346.682580758066
6,4,5,1,1,4,4,1,6989.019098339182,302.9946331505597,5,270.0,182.2,0.6751848367161692,536.0190983391815,375.9376451007995
7,1,3,4,5,1,3,6,-383.1891459496243,2728.91222272027,5,709.0,128.4,0.1811597173307357,222.81085405037598,151.70685231630745
8,2,4,2,4,5,2,5,-1601.3445738490013,2006.838729169918,5,712.6,105.0,0.14794368099279678,211.6554261509985,145.16993652463003
9,4,1,3,2,2,3,10,7493.130834429835,215.87922260185059,5,319.8,202.6,0.6335590708571696,481.1308344298358,328.4579541855404
10,5,5,2,5,2,5,2,261.2673467396883,2151.059226546029,5,287.2,57.6,0.15214452123786498,195.26734673968812,297.42653201384405
11,3,2,5,2,3,1,6,4944.6949413712655,2022.0157585122238,5,624.8,217.0,0.3475805155905239,280.69494137126543,191.9178665314545
12,2,5,4,1,4,3,2,5513.941205554396,3655.725772520146,5,439.4,191.6,0.35908933195343246,279.9412055543965,270.30692266415633
13,4,3,1,4,3,4,7,8253.703701065693,525.2139392909191,5,371.0,228.8,0.6169028483761754,450.7037010656918,296.0506363128041
14,4,4,5,4,1,3,4,-2108.727403431308,1127.2288419641307,5,219.6,0.0,0.0,25.27259656869158,304.8611715804159
15,5,5,5,4,4,2,4,-8994.774735466011,1147.1113625002347,5,909.0,0.0,0.0,25.225264533989215,24.356943597426827
16,5,5,5,5,4,5,4,-9619.740719602223,352.1683618372381,5,972.4,0.0,0.0,26.259280397777083,19.299106333940895
17,5,3,5,5,5,5,4,-8979.552293721983,212.964563769342,5,914.2,0.0,0.0,86.44770627801672,60.21801269100412
18,5,5,1,5,5,5,4,8051.740015133293,139.75998698971972,5,371.6,224.8,0.6050394484591715,455.7400151332931,316.46269376214934
19,5,5,4,5,5,2,3,-7181.392193882214,1073.834321900027,5,819.6,16.0,0.019678703650901998,147.6078061177862,101.96176562047104
20,3,5,4,4,4,5,4,-8095.3069542365465,3475.417386889249,5,819.2,0.0,0.0,26.6930457634519,85.72676975096408
21,3,5,5,5,5,1,4,-9637.15037557627,241.20988653261324,5,973.0,0.0,0.0,24.849624423731047,16.98266810234696
22,5,5,5,5,5,1,5,-9552.705852479066,98.94311158438829,5,965.2,0.0,0.0,22.29414752093419,15.092877711199199
23,1,5,5,5,5,5,5,-649.5215699022103,2222.015443725145,5,710.6,123.2,0.17338595819632105,219.4784300977896,149.4870052345021
24,4,5,5,5,5,1,4,-9684.385752881963,467.5545406549874,5,978.2,0.0,0.0,27.614247118038016,18.960962082852642
25,4,5,4,5,4,2,4,-7462.772616698088,3602.3336242259275,5,755.6,0.0,0.0,25.227383301912262,96.71557170505362
26,5,5,5,4,5,4,4,-9691.707105444639,482.7379142048035,5,979.4,0.0,0.0,26.292894555360128,18.195326173113777
27,5,5,5,5,5,3,4,-9771.38474209175,254.9555989666077,5,987.4,0.0,0.0,26.61525790824955,18.60501259305976
28,2,2,4,5,5,1,3,4357.400256908654,2261.7093381956083,5,625.8,205.8,0.3289169895871995,272.400256908655,185.43804084355097
29,5,4,5,5,5,4,5,-9805.69703491105,114.19800607659369,5,991.0,0.0,0.0,23.302965088949787,16.15627398259297
