method,run_index,trial_index,replication_index,seed,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,scenario,scenario_name,replication_nr,random_seed,animate,run_duration,use_hourly_arrival_rates,rate_multiplier,analysis1_fraction,analysis2_post1_fraction,eval_failed_fraction,preparation_pt_low,preparation_pt_high,preparation_pt_mode,sorting_pt_low,sorting_pt_high,sorting_pt_mode,analysis1_pt_low,analysis1_pt_high,analysis1_pt_mode,analysis2_pt_low,analysis2_pt_high,analysis2_pt_mode,evaluation_pt_low,evaluation_pt_high,evaluation_pt_mode,dispatching_pt_low,dispatching_pt_high,dispatching_pt_mode,transport_duration,verbose,kwargs,msg,t_end,n_orders_completed,n_orders_in_date,n_orders_late,in_date_count,out_of_date_count,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_time_in_system_mean,wip_time_in_system_std,wip_time_in_system_min,wip_time_in_system_max,wip_mean,wip_max,preparation_waiting_time_mean,preparation_waiting_time_max,preparation_queue_length_mean,preparation_queue_length_max,preparation_occupancy_mean,sorting_waiting_time_mean,sorting_waiting_time_max,sorting_queue_length_mean,sorting_queue_length_max,analysis1_waiting_time_mean,analysis1_waiting_time_max,analysis1_queue_length_mean,analysis1_queue_length_max,analysis1_orders_processed,analysis2_waiting_time_mean,analysis2_queue_length_mean,analysis2_orders_processed,evaluation_waiting_time_mean,evaluation_waiting_time_max,evaluation_queue_length_mean,evaluation_queue_length_max,dispatching_waiting_time_mean,dispatching_waiting_time_max,dispatching_queue_length_mean,dispatching_queue_length_max,n_orders_created,n_orders_incomplete,work_in_progress_max,work_in_progress_mean,denom_orders,completed_norm,late_total_norm,on_time_loss_norm,station_capacity_sum,station_capacity_norm,worker_capacity_norm,time_in_system_mean_norm,time_in_system_std_norm,objective_completed_contribution,objective_late_contribution,objective_station_capacity_contribution,objective_worker_capacity_contribution,objective_time_mean_contribution,objective_time_std_contribution,objective_time_mode,objective_missing_terms,objective_value,error
bo,4,0,0,412345,1,4,4,4,1,5,3,1,,0,412345,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,708,546,162,546,162,0.2288135593220339,234.73348790633426,134.37556274640653,17.7482340481752,464.7011388737261,227.76291413378567,136.69291098224764,0.4746018092723716,468.7742989385747,168.39714282812693,335,1.9987222382416483,2.4866234977248496,0.9966012758112199,1,0.9990651528494224,0.0005229588998419989,0.21152781471323578,0.00028581156539975915,1,0.002248380842506989,0.8976042554031665,0.0009508777313102475,1,607,6.715651394320053e-05,2.3458143412104073e-05,501,0.046877991818672235,0.7337091524739208,0.02539224556844746,1,0.0,0.0,0.0,0,1043,335,335,168.39714282812693,1043,0.6788111217641419,0.47651006711409394,0.47651006711409394,19,0.5416666666666666,0.2222222222222222,0.6520374664064841,0.3732654520733515,-0.6788111217641419,1.4295302013422817,0.43333333333333335,0.07777777777777777,0.26081498656259366,0.0,mean,,1.5226451772518446,
bo,4,0,1,412346,1,4,4,4,1,5,3,1,,0,412346,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,708,645,63,645,63,0.08898305084745763,199.91414284831188,92.38102328955611,18.01304698404161,389.1576570824436,181.8280782050781,111.34121282846992,2.4770767644129137,382.3850410503553,132.25761539845217,270,1.9942262700935594,2.6253928217103066,0.9965412820046177,1,0.996737868270468,0.012022857999851977,2.295467917788642,0.006645968727695953,1,0.10215964021390053,3.7522001800590488,0.0446238983989885,1,628,0.002093231568298655,0.0006919293239653889,475,0.057160831161367144,0.7740850171996954,0.03131937207383241,1,0.0,0.0,0.0,0,977,269,270,132.25761539845217,977,0.7246673490276356,0.3398157625383828,0.33981576253838286,19,0.5416666666666666,0.2222222222222222,0.555317063467533,0.2566139535821003,-0.7246673490276356,1.0194472876151484,0.43333333333333335,0.07777777777777777,0.2221268253870132,0.0,mean,,1.028017875085637,
bo,4,0,2,412347,1,4,4,4,1,5,3,1,,0,412347,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,707,614,93,614,93,0.13154172560113153,206.0624969054468,108.71815549092055,19.667514695860355,392.26200247341217,199.75853515559226,114.343746677375,1.5235025290937756,399.6300763494746,141.12266905344555,288,1.9896408680791988,2.475160993198898,0.9960804111808861,1,0.9971648748917009,0.0020744112931450308,0.5971392690735229,0.0011279611406476103,1,0.02633948489066412,2.284251187902214,0.011633272493376652,1,635,0.0037057066801276734,0.0011992078562079833,462,0.04509208563199834,0.6987452797574178,0.024236996027199108,1,0.0,0.0,0.0,0,995,288,288,141.12266905344555,995,0.7105527638190955,0.3829145728643216,0.3829145728643216,19,0.5416666666666666,0.2222222222222222,0.5723958247373523,0.3019948763636682,-0.7105527638190955,1.1487437185929648,0.43333333333333335,0.07777777777777777,0.22895832989494092,0.0,mean,,1.1782603957799211,
bo,4,0,3,412348,1,4,4,4,1,5,3,1,,0,412348,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,706,555,151,555,151,0.21388101983002833,228.5843588749177,133.56547418494497,16.100313485677713,480.4522006500981,240.87847794628752,135.6313634772152,1.4456631642674438,475.2590713860924,163.2565080675388,307,1.9958392923129866,2.479206293969469,0.9913018112076782,1,0.9966712915846607,0.0038759025709178387,0.5539408215208823,0.0021586624040806296,1,0.022109300603642544,2.1913922424489556,0.009857063185790634,1,640,0.012517099842297135,0.004024595296516371,463,0.07452989064175268,1.0,0.04119846732696884,1,0.0,0.0,0.0,0,1012,306,307,163.2565080675388,1012,0.6976284584980237,0.4515810276679842,0.45158102766798414,19,0.5416666666666666,0.2222222222222222,0.634956552430327,0.3710152060692916,-0.6976284584980237,1.3547430830039526,0.43333333333333335,0.07777777777777777,0.2539826209721308,0.0,mean,,1.4222083565891708,
bo,4,0,4,412349,1,4,4,4,1,5,3,1,,0,412349,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,713,518,195,518,195,0.27349228611500703,262.765446896953,128.864181648933,16.298910189105918,481.07389058936667,237.67898214295758,133.70429073779883,2.297273556037453,463.48770021016185,183.7482172458255,329,1.9922979592602907,2.482656277980368,0.9983928859694474,1,0.9988772823017975,0.0042352821058420885,0.6868260340250458,0.002352934503245605,1,0.018098985650000916,1.6445662753684474,0.008119406062430966,1,645,0.0036857776537582024,0.0012055564409167454,470,0.06761335648062744,1.0,0.03732820722367973,1,0.0,0.0,0.0,0,1038,325,329,183.7482172458255,1038,0.6868978805394991,0.5009633911368016,0.5009633911368016,19,0.5416666666666666,0.2222222222222222,0.7299040191582028,0.357956060135925,-0.6868978805394991,1.5028901734104045,0.43333333333333335,0.07777777777777777,0.2919616076632811,0.0,mean,,1.6190650116452978,
bo,4,0,5,412350,1,4,4,4,1,5,3,1,,0,412350,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,700,566,134,566,134,0.19142857142857142,238.2684172621918,120.6138636138014,14.153654798998636,449.2798133276842,218.29140727271943,136.0852722601277,0.8067597734307128,450.7838707630676,162.51503161356365,308,2.005915498132169,2.4743804273149976,0.9902413839921869,1,0.9936120133619243,0.0001991148481795598,0.1476321942152481,0.00010757732769701218,1,0.006034968401918447,1.1130038172532295,0.0025858163222108902,1,616,0.0,0.0,456,0.04996404640678223,0.9602342438399774,0.026751583180297987,1,0.0,0.0,0.0,0,1008,308,308,162.51503161356365,1008,0.6944444444444444,0.4384920634920635,0.4384920634920635,19,0.5416666666666666,0.2222222222222222,0.6618567146171994,0.33503851003833723,-0.6944444444444444,1.3154761904761905,0.43333333333333335,0.07777777777777777,0.26474268584687977,0.0,mean,,1.3968855429897369,
bo,4,0,6,412351,1,4,4,4,1,5,3,1,,0,412351,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,707,582,125,582,125,0.1768033946251768,229.50413568109627,116.79409310138584,14.806860307160848,433.4952632351683,221.34638564806284,132.30876118768165,0.9729526982814605,441.8199488464485,158.64027308007363,299,1.9952207100057369,2.4515621061084403,0.9950839074902731,1,0.9965802822568947,0.004554074769550576,0.6113393867094601,0.0024826032597897235,1,0.013055383562416978,1.4595178450763342,0.005802392694407545,1,637,0.0008497574746013627,0.00025610746109513293,432,0.04814122616189627,0.9991779385727568,0.02597620328318986,1,0.0,0.0,0.0,0,1006,299,299,158.64027308007363,1006,0.7027833001988072,0.42147117296222664,0.4214711729622267,19,0.5416666666666666,0.2222222222222222,0.6375114880030452,0.32442803639273843,-0.7027833001988072,1.2644135188866799,0.43333333333333335,0.07777777777777777,0.2550045952012181,0.0,mean,,1.327745925000202,
bo,4,0,7,412352,1,4,4,4,1,5,3,1,,0,412352,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,706,613,93,613,93,0.13172804532577903,204.80384051705207,99.05054044186416,14.90461143508902,366.7565832676461,171.22559203934404,101.78109977974502,2.4487779023711482,368.3566701357199,126.21351727609478,220,2.0077514906695777,2.4746107904495602,0.9970501758592096,1,0.9986050945461328,0.0004890709862726481,0.23029118467684384,0.0002642341856389723,1,0.011747213102025651,1.3162031217967183,0.004968092207731682,1,607,0.0,0.0,468,0.05881512928913265,1.0,0.03153144431334056,1,0.0,0.0,0.0,0,923,217,220,126.21351727609478,923,0.7648970747562297,0.3358613217768147,0.3358613217768147,19,0.5416666666666666,0.2222222222222222,0.5688995569918113,0.2751403901162893,-0.7648970747562297,1.0075839653304441,0.43333333333333335,0.07777777777777777,0.22755982279672451,0.0,mean,,0.98135782448205,
bo,4,0,8,412353,1,4,4,4,1,5,3,1,,0,412353,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,710,567,143,567,143,0.20140845070422536,247.73925259130758,114.23470237652117,14.333114176294215,455.65512584257715,226.9623683736272,129.93679151723273,0.015868871209931967,449.4258529961021,174.3190369940968,333,1.995138527517498,2.4704503980472055,0.998043074713592,1,0.9985151977042507,0.007523707123623447,1.2908875287268984,0.004127589324765641,1,0.012622187390382018,1.3962867387658946,0.005522206983292133,1,627,0.0,0.0,473,0.04808063219065155,0.667706970019708,0.026143843753666778,1,0.0,0.0,0.0,0,1041,331,333,174.3190369940968,1041,0.6820365033621518,0.4553314121037464,0.4553314121037464,19,0.5416666666666666,0.2222222222222222,0.6881645905314099,0.3173186177125588,-0.6820365033621518,1.3659942363112392,0.43333333333333335,0.07777777777777777,0.27526583621256395,0.0,mean,,1.4703346802727624,
bo,4,0,9,412354,1,4,4,4,1,5,3,1,,0,412354,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,706,550,156,550,156,0.22096317280453256,232.55335534487935,124.8103940284318,16.29697870235006,451.097957516507,233.30098188369533,126.88745784294791,0.8267795044539525,451.7863629213999,163.91623006504378,313,1.9993455235843758,2.4851587713906156,0.9938282120586068,1,0.9967219944360018,0.007350357930559678,1.1353030270347517,0.004032488031348712,1,0.017400254904655944,1.8571171496375314,0.007491776417282421,1,618,0.0014284026184543303,0.0004751422598886279,479,0.05141609356005313,0.7724061473373922,0.027957500873278893,1,0.0,0.0,0.0,0,1014,308,313,163.91623006504378,1014,0.6962524654832347,0.45759368836291914,0.45759368836291914,19,0.5416666666666666,0.2222222222222222,0.6459815426246649,0.3466955389678661,-0.6962524654832347,1.3727810650887573,0.43333333333333335,0.07777777777777777,0.258392617049866,0.0,mean,,1.4460323277664997,
