method,run_index,trial_index,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,objective_mean,objective_std,n_valid_replications,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean,best_objective_so_far
bo,5,0,3,3,4,3,4,5,6,0.17860919687450436,0.103616095456785,30,916.6,916.6,0.0,1007.8666666666667,91.26666666666667,0.0,81.33800057184571,33.0409173969109,65.03341112420682,37.03163156927521,1.417035204735104,134.21603192449726,56.160930623196755,56.160930623196755,0.9098860342735532,0.09011396572644673,0.09011396572644674,0.6666666666666669,0.5555555555555556,0.22593889047734922,0.0917803261025303,-0.9098860342735532,0.27034189717934015,0.5333333333333333,0.1944444444444445,0.09037555619093972,0.0,0.17860919687450436
bo,5,1,5,5,1,3,1,2,3,3.2303725126796445,0.10565834151552944,30,165.53333333333333,97.2,68.33333333333333,996.5333333333333,831.0,0.21096639295465505,218.38750941011543,117.57581513775811,604.5637799725337,347.482809153874,1.57698505599044,1211.9121964928845,395.7385174736686,395.7385174736686,0.16495541521685744,0.9027435650728652,0.9027435650728652,0.4583333333333334,0.22222222222222224,0.6066319705836539,0.3265994864937726,-0.16495541521685744,2.708230695218596,0.3666666666666668,0.07777777777777778,0.24265278823346162,0.0,0.17860919687450436
bo,5,2,3,2,5,1,2,3,10,2.099843677716815,0.13942800788470927,30,626.9333333333333,415.3666666666667,211.56666666666666,991.5666666666667,364.6333333333333,0.33760510554482664,277.5445169999046,149.52724904838735,267.08756452174816,154.89713475418134,1.4072410962205595,538.1330289202876,188.7329088561459,188.7329088561459,0.6328833959173156,0.5803369812114121,0.5803369812114121,0.4166666666666666,1.0,0.7709569916664017,0.41535346957885394,-0.6328833959173156,1.7410109436342365,0.3333333333333334,0.34999999999999987,0.3083827966665607,0.0,0.17860919687450436
bo,5,3,1,4,3,5,5,4,3,1.364862735344115,0.22825287501404892,30,708.9333333333333,592.6,116.33333333333333,1001.2333333333333,292.3,0.16414179655701255,219.08102029323314,113.22953342237618,207.32389552420028,119.69743766362306,1.3756078450598277,416.52710100460416,150.3208518178609,150.3208518178609,0.7087915438704308,0.40637327074068813,0.40637327074068813,0.6666666666666669,0.22222222222222224,0.6085583897034254,0.31452648172882275,-0.7087915438704308,1.2191198122220641,0.5333333333333333,0.07777777777777778,0.24342335588137018,0.0,0.17860919687450436
bo,5,4,1,1,2,5,5,5,9,3.6354586639144872,0.04824673002123437,30,320.26666666666665,114.6,205.66666666666666,1002.5666666666667,682.3,0.6423210241933952,498.6457428846549,279.63429649891935,493.61516239604305,283.68216785356327,1.2541506115014651,984.2759623047864,344.80800015266976,344.80800015266976,0.31971661030152076,0.8855600014480565,0.8855600014480566,0.5416666666666665,0.888888888888889,1.3851270635684854,0.7767619347192203,-0.31971661030152076,2.656680004344169,0.4333333333333334,0.3111111111111111,0.5540508254273944,0.0,0.17860919687450436
bo,5,5,4,3,4,1,3,1,2,2.5111500794393162,0.2540047708563571,30,429.2,250.8,178.4,1007.2,578.0,0.3463324587484778,284.2763365447188,154.16997113121627,414.441770751772,237.9916058477018,0.9443943621610666,837.2544469875263,275.3102563872224,275.3102563872224,0.4274961824469827,0.750187147834426,0.750187147834426,0.4166666666666666,0.11111111111111112,0.7896564904019967,0.4282499198089341,-0.4274961824469827,2.2505614435032784,0.3333333333333334,0.03888888888888889,0.31586259616079865,0.0,0.17860919687450436
bo,5,6,5,2,2,4,1,2,7,2.221772063824059,0.39521924646851325,30,532.2666666666667,367.8333333333333,164.43333333333334,1010.8,478.53333333333336,0.26958196433897647,244.84794746354606,128.9691489074377,337.31413537882935,197.10027625694676,1.466741302688691,685.5986439021328,223.8245519262203,223.8245519262203,0.5254035951586986,0.6361519057855317,0.6361519057855317,0.4166666666666666,0.6666666666666669,0.6801331873987391,0.3582476358539936,-0.5254035951586986,1.9084557173565948,0.3333333333333334,0.23333333333333334,0.2720532749594956,0.0,0.17860919687450436
bo,5,7,2,5,4,2,3,4,5,-0.09543629826405148,0.7581432966017129,30,935.0333333333333,935.0333333333333,0.0,999.4333333333333,64.4,0.0,23.3475427975936,6.827901546814264,47.6538131069395,28.323513490405578,1.4591735269982413,102.30839186122188,34.97068768518524,34.97068768518524,0.9359000586764555,0.06409994132354445,0.06409994132354448,0.5833333333333334,0.4444444444444445,0.06485428554887111,0.01896639318559518,-0.9359000586764555,0.19229982397063333,0.46666666666666673,0.15555555555555556,0.025941714219548447,0.0,-0.09543629826405148
bo,5,8,2,1,2,1,2,4,8,3.3580841452914267,0.04862475254486774,30,318.6,114.66666666666667,203.93333333333334,998.3,679.7,0.6401761770379157,495.22773239275557,277.49118909633677,491.23443883844874,281.3035507942703,1.586113197463131,980.6771771801567,341.4554236051083,341.4554236051083,0.3194069094343534,0.8850052655038692,0.8850052655038692,0.25,0.777777777777778,1.3756325899798767,0.7708088586009355,-0.3194069094343534,2.655015796511608,0.20000000000000007,0.2722222222222222,0.5502530359919505,0.0,-0.09543629826405148
bo,5,9,5,4,5,5,4,3,1,3.7152189084026648,0.038479875572040814,30,271.1666666666667,90.06666666666666,181.1,999.9666666666667,728.8,0.6662731715771042,531.5725973910353,294.3764326296825,523.3269781061638,303.8542893686173,1.6370599956963892,1062.2557115877685,365.66928115602065,365.66928115602065,0.27161794183308097,0.9098446547485692,0.9098446547485692,0.8333333333333331,0.0,1.476590548308431,0.817712312860229,-0.27161794183308097,2.729533964245707,0.6666666666666669,0.0,0.5906362193233726,0.0,-0.09543629826405148
