method,run_index,trial_index,replication_index,seed,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,scenario,scenario_name,replication_nr,random_seed,animate,run_duration,use_hourly_arrival_rates,rate_multiplier,analysis1_fraction,analysis2_post1_fraction,eval_failed_fraction,preparation_pt_low,preparation_pt_high,preparation_pt_mode,sorting_pt_low,sorting_pt_high,sorting_pt_mode,analysis1_pt_low,analysis1_pt_high,analysis1_pt_mode,analysis2_pt_low,analysis2_pt_high,analysis2_pt_mode,evaluation_pt_low,evaluation_pt_high,evaluation_pt_mode,dispatching_pt_low,dispatching_pt_high,dispatching_pt_mode,transport_duration,verbose,kwargs,msg,t_end,n_orders_completed,n_orders_in_date,n_orders_late,in_date_count,out_of_date_count,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_time_in_system_mean,wip_time_in_system_std,wip_time_in_system_min,wip_time_in_system_max,wip_mean,wip_max,preparation_waiting_time_mean,preparation_waiting_time_max,preparation_queue_length_mean,preparation_queue_length_max,preparation_occupancy_mean,sorting_waiting_time_mean,sorting_waiting_time_max,sorting_queue_length_mean,sorting_queue_length_max,analysis1_waiting_time_mean,analysis1_waiting_time_max,analysis1_queue_length_mean,analysis1_queue_length_max,analysis1_orders_processed,analysis2_waiting_time_mean,analysis2_queue_length_mean,analysis2_orders_processed,evaluation_waiting_time_mean,evaluation_waiting_time_max,evaluation_queue_length_mean,evaluation_queue_length_max,dispatching_waiting_time_mean,dispatching_waiting_time_max,dispatching_queue_length_mean,dispatching_queue_length_max,n_orders_created,n_orders_incomplete,work_in_progress_max,work_in_progress_mean,denom_orders,completed_norm,late_total_norm,on_time_loss_norm,station_capacity_sum,station_capacity_norm,worker_capacity_norm,time_in_system_mean_norm,time_in_system_std_norm,objective_completed_contribution,objective_late_contribution,objective_station_capacity_contribution,objective_worker_capacity_contribution,objective_time_mean_contribution,objective_time_std_contribution,objective_time_mode,objective_missing_terms,objective_value,error
random_search,1,0,0,112345,5,5,1,4,4,3,9,1,,0,112345,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,370,152,218,152,218,0.5891891891891892,440.95682006652845,248.39033781573417,17.60020766092516,872.9604963470163,434.8109857745808,251.4683872193208,0.25215711804298735,875.9916304013086,286.0179911719969,574,3.610226463681495,9.949554288757327,0.9707577043001651,1,0.9813270077448802,3.431759159224854,5.790367491626739,0.9801145378426186,1,4.327360693300738,5.876815255007614,0.9886930462595992,1,327,0.0,0.0,242,0.0,0.0,0.0,0,0.0,0.0,0.0,0,942,572,574,286.0179911719969,942,0.39278131634819535,0.8386411889596603,0.8386411889596603,22,0.6666666666666666,0.8888888888888888,1.2248800557403567,0.6899731605992616,-0.39278131634819535,2.515923566878981,0.5333333333333333,0.31111111111111106,0.4899520222961427,0.0,mean,,3.4575387172713725,
random_search,1,0,1,112346,5,5,1,4,4,3,9,1,,0,112346,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,383,151,232,151,232,0.6057441253263708,453.2009208712462,256.22041994518815,14.738260472584152,900.7601036589389,435.0457455817638,253.6279648173626,0.20542955150745001,897.0006353185676,299.39099588756324,592,3.5097016748348517,10.26613985701158,0.9752686985217822,1,0.985545646781955,3.311684430677637,5.830999936601529,0.987095065237701,1,4.247397368308247,5.830999936601529,0.9879490823800106,1,333,0.0,0.0,271,0.007590934930250828,3.188192670705348,0.0022140226879898252,1,0.0,0.0,0.0,0,975,592,592,299.39099588756324,975,0.39282051282051283,0.8451282051282051,0.8451282051282052,22,0.6666666666666666,0.8888888888888888,1.2588914468645727,0.7117233887366338,-0.39282051282051283,2.5353846153846153,0.5333333333333333,0.31111111111111106,0.503556578745829,0.0,mean,,3.490565125754376,
random_search,1,0,2,112347,5,5,1,4,4,3,9,1,,0,112347,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,362,138,224,138,224,0.6187845303867403,478.6708966408422,271.43444929100565,14.899286460513865,902.3752210601971,431.43986905511906,252.8243007610251,0.15571459894363215,905.5232787730786,297.402657774695,591,3.617120139798607,10.843368305150477,0.9525309247020025,1,0.969986364615228,3.379088434079676,5.883557524915489,0.972178223612442,1,4.288866818405906,5.883557524915489,0.9829238208212177,1,328,0.0,0.0,244,0.0,0.0,0.0,0,0.0,0.0,0.0,0,953,591,591,297.402657774695,953,0.37985309548793283,0.8551941238195173,0.8551941238195173,22,0.6666666666666666,0.8888888888888888,1.329641379557895,0.7539845813639046,-0.37985309548793283,2.565582371458552,0.5333333333333333,0.31111111111111106,0.531856551823158,0.0,mean,,3.5620302722382213,
random_search,1,0,3,112348,5,5,1,4,4,3,9,1,,0,112348,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,383,161,222,161,222,0.5796344647519582,434.1992685927242,234.1926834890504,15.779130682726977,865.7549753505064,420.2069128113949,241.556196677268,0.8334713388592263,875.0073990060099,282.10865769883304,571,3.5064893247795,10.102482956008487,0.9720648186499667,1,0.9862615308817494,3.3477351639618234,5.773785218889657,0.9885219048282685,1,4.289382864502037,5.773785218889657,0.9894161175580609,1,331,0.0,0.0,244,0.0,0.0,0.0,0,0.0,0.0,0.0,0,954,571,571,282.10865769883304,954,0.40146750524109015,0.8312368972746331,0.8312368972746331,22,0.6666666666666666,0.8888888888888888,1.206109079424234,0.650535231914029,-0.40146750524109015,2.4937106918238996,0.5333333333333333,0.31111111111111106,0.4824436317696936,0.0,mean,,3.419131262796947,
random_search,1,0,4,112349,5,5,1,4,4,3,9,1,,0,112349,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,379,146,233,146,233,0.6147757255936676,464.03029913003314,267.8586579100231,15.037898076503039,936.6785182787288,480.6566682102004,270.6319046325653,0.03238203679916296,937.4457915615342,339.42706553827986,651,3.570473053221566,10.143127071051026,0.9801618233690225,1,0.9893849120286201,3.461324640972974,5.834213153280416,0.9886809701866432,1,4.3356020282244705,5.834213153280416,0.9913258589685587,1,328,0.0,0.0,227,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1030,651,651,339.42706553827986,1030,0.3679611650485437,0.858252427184466,0.858252427184466,22,0.6666666666666666,0.8888888888888888,1.288973053138981,0.7440518275278419,-0.3679611650485437,2.5747572815533983,0.5333333333333333,0.31111111111111106,0.5155892212555924,0.0,mean,,3.566829782204891,
random_search,1,0,5,112350,5,5,1,4,4,3,9,1,,0,112350,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,389,146,243,146,243,0.6246786632390745,467.28168318528236,265.36486803987964,17.868505986371346,954.8955514237063,482.973391933933,265.9255310145258,1.0796897185293801,939.3619254605115,350.61234302977493,670,3.4455725472954466,10.448317224224411,0.9720601786262961,1,0.982050705602523,3.2659180698403567,5.922556367397419,0.9758395646189364,1,4.255634460524637,5.922556367397419,0.9906262133997696,1,334,0.0,0.0,253,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1058,669,670,350.61234302977493,1058,0.3676748582230624,0.8620037807183365,0.8620037807183365,22,0.6666666666666666,0.8888888888888888,1.2980046755146732,0.7371246334441101,-0.3676748582230624,2.5860113421550093,0.5333333333333333,0.31111111111111106,0.5192018702058693,0.0,mean,,3.5819827985822603,
random_search,1,0,6,112351,5,5,1,4,4,3,9,1,,0,112351,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,368,155,213,155,213,0.5788043478260869,442.327646052992,267.8950124123604,13.606462262839022,922.7485212877374,479.7509653853167,269.9127969663345,0.7349656741373565,910.7742455606847,329.9267029259324,652,3.620969946129544,9.802610005800375,0.966457807793698,1,0.9760037483827103,3.4633500169428024,5.706331295119355,0.9798526810653385,1,4.327371064322357,5.782318263508955,0.9860542304782781,1,326,0.0,0.0,226,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1019,651,652,329.9267029259324,1019,0.36113837095191365,0.8478900883218842,0.8478900883218842,22,0.6666666666666666,0.8888888888888888,1.2286879057027555,0.7441528122565567,-0.36113837095191365,2.5436702649656526,0.5333333333333333,0.31111111111111106,0.4914751622811022,0.0,mean,,3.5184515007392854,
random_search,1,0,7,112352,5,5,1,4,4,3,9,1,,0,112352,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,376,141,235,141,235,0.625,453.6141300225319,246.56080975833436,15.923514904289917,874.5338653116831,421.53627465520503,255.7884585580546,0.5646526037157855,871.1307691285954,287.6436664160973,578,3.5608411175065333,10.368279990084147,0.9709000293551999,1,0.9778088357177872,3.2641690321716763,5.854616915806673,0.9717435208183364,1,4.304794629569862,5.854616915806673,0.9880753833104038,1,329,0.0,0.0,249,0.0,0.0,0.0,0,0.0,0.0,0.0,0,954,578,578,287.6436664160973,954,0.3941299790356394,0.8522012578616353,0.8522012578616353,22,0.6666666666666666,0.8888888888888888,1.2600392500625888,0.6848911382175954,-0.3941299790356394,2.556603773584906,0.5333333333333333,0.31111111111111106,0.5040157000250355,0.0,mean,,3.5109339390187464,
random_search,1,0,8,112353,5,5,1,4,4,3,9,1,,0,112353,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,382,140,242,140,242,0.6335078534031413,471.5649199846301,271.9268945478827,17.8113571565103,944.2167306261981,469.84514504280673,272.4757887910031,2.6481453220833373,939.0411100688864,327.7164128511887,622,3.5813940752073696,10.5553822615733,0.9936830821520616,1,0.9972760993428735,3.2977536883863783,5.850543867062129,0.9906645803292663,1,4.2754642046110565,5.943049613628261,0.9907340155741041,1,332,0.0,0.0,253,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1003,621,622,327.7164128511887,1003,0.38085742771684944,0.8604187437686939,0.8604187437686939,22,0.6666666666666666,0.8888888888888888,1.3099025555128614,0.7553524848552297,-0.38085742771684944,2.5812562313060816,0.5333333333333333,0.31111111111111106,0.5239610222051446,0.0,mean,,3.568804270238821,
random_search,1,0,9,112354,5,5,1,4,4,3,9,1,,0,112354,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,375,152,223,152,223,0.5946666666666667,444.7769717327848,264.5429090548729,13.67354257814506,936.345543262029,458.8838724822933,263.27367636111484,1.4057008505501472,948.0812859261665,322.9624177175592,650,3.5924468727420336,10.311008698438627,0.9771559360569563,1,0.9872614584254704,3.3536429559503804,5.815588824841512,0.9868394382270089,1,4.329648974182363,5.861281422211448,0.990911342490194,1,328,0.0,0.0,249,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1025,650,650,322.9624177175592,1025,0.36585365853658536,0.8517073170731707,0.8517073170731707,22,0.6666666666666666,0.8888888888888888,1.2354915881466244,0.7348414140413136,-0.36585365853658536,2.5551219512195122,0.5333333333333333,0.31111111111111106,0.49419663525864976,0.0,mean,,3.527909372386021,
