method,run_index,final_best_objective,objective_mean,objective_std,n_valid_replications,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean
bo,0,-0.1307109898319272,-0.0719934256180026,0.1848760836389486,30,5,4,5,4,4,1,7,967.8333333333334,967.8333333333334,0.0,993.0666666666668,25.23333333333333,0.0,23.484925757991768,6.965016823611194,18.926421842094705,11.87306764693759,1.542535459456705,44.677478318780565,17.203926671686315,17.203926671686315,0.974521946892832,0.0254780531071682,0.0254780531071682,0.7083333333333331,0.6666666666666669,0.0652359048833104,0.0193472689544755,-0.974521946892832,0.0764341593215048,0.5666666666666667,0.2333333333333333,0.0260943619533241,0.0
bo,1,-0.2699703844436957,-0.2699703844436957,0.2152556486930503,30,2,4,5,3,3,1,6,983.0,983.0,0.0,1010.8666666666668,27.866666666666667,0.0,23.851838767700205,6.925071795001757,20.404145182647003,12.91191128986651,1.4497266042318566,46.61875403364791,18.2057757989754,18.2057757989754,0.9727292179908408,0.0272707820091593,0.0272707820091593,0.5,0.5555555555555556,0.0662551076880561,0.0192363105416715,-0.9727292179908408,0.0818123460274779,0.4000000000000001,0.1944444444444445,0.0265020430752224,0.0
bo,2,-0.0720620236245684,0.2138440091967316,0.9426563314683836,30,3,5,4,3,5,1,9,896.5333333333333,896.5333333333333,0.0,989.3666666666668,92.83333333333331,0.0,22.85662365368076,6.48946437179282,70.95021162501034,41.79199754080017,1.0435027833685129,145.12961256833157,45.918759115183285,45.918759115183285,0.9056658376046174,0.0943341623953827,0.0943341623953826,0.625,0.888888888888889,0.0634906212602243,0.0180262899216467,-0.9056658376046174,0.2830024871861481,0.5,0.3111111111111111,0.0253962485040897,0.0
bo,3,-0.2495669872983582,-0.0979862340182542,0.6340025397726694,30,3,4,4,3,5,1,6,929.7666666666668,929.7666666666668,0.0,984.6,54.833333333333336,0.0,23.646377215097168,7.145239048236983,39.53123714048514,23.65273505955721,2.044556042847307,83.59636984334202,29.24065390973591,29.24065390973591,0.946342774397646,0.0536572256023538,0.0536572256023538,0.5833333333333334,0.5555555555555556,0.0656843811530477,0.0198478862451027,-0.946342774397646,0.1609716768070615,0.4666666666666667,0.1944444444444445,0.026273752461219,0.0
bo,4,-0.0488730676146555,0.1455023365798226,0.6206507620753432,30,4,5,4,4,4,4,8,945.4,945.4,0.0,997.7666666666668,52.36666666666667,0.0,22.78293962879637,6.5065545733286205,38.71538620322186,23.394094898645783,1.3533863251950076,82.01703142883959,27.576239446184783,27.576239446184783,0.9463418990852656,0.0536581009147344,0.0536581009147344,0.7916666666666669,0.777777777777778,0.0632859434133232,0.0180737627036906,-0.9463418990852656,0.1609743027442034,0.6333333333333332,0.2722222222222222,0.0253143773653292,0.0
bo,5,-0.2531755140037694,-0.05945293400076,0.6869952440188514,30,4,5,4,3,5,2,5,951.2666666666668,951.2666666666668,0.0,999.3333333333334,48.06666666666667,0.0,23.290354713157782,6.951824224642683,34.95032125103463,21.26029935118947,1.7077321664639535,74.87295701402688,30.807864343975663,30.807864343975663,0.9518883320316226,0.0481116679683772,0.0481116679683772,0.7083333333333331,0.4444444444444445,0.0646954297587716,0.0193106228462296,-0.9518883320316226,0.1443350039051317,0.5666666666666667,0.1555555555555555,0.0258781719035086,0.0
bo,6,0.0349596540197819,0.0349596540197819,0.0947922221846347,30,4,3,3,4,5,1,5,913.2666666666668,913.2666666666668,0.0,995.0,81.73333333333333,0.0,77.26880039453967,30.62938181858522,61.71956188690872,35.0655814372174,1.30962690608751,130.0403559214397,52.75945404764267,52.75945404764267,0.91827919771576,0.08172080228424,0.08172080228424,0.5833333333333334,0.4444444444444445,0.214635556651499,0.0850816161627367,-0.91827919771576,0.24516240685272,0.4666666666666667,0.1555555555555555,0.0858542226605996,0.0
bo,7,-0.1484825135114117,-0.0647464784926395,0.6023965061459752,30,4,5,4,3,5,1,6,958.4,958.4,0.0,1004.0333333333332,45.63333333333333,0.0,23.183600743369464,6.768223777737799,33.10980118561601,19.46341800127573,1.658254420393496,69.06877796627893,27.79953511696773,27.79953511696773,0.9545709531629848,0.0454290468370152,0.0454290468370152,0.6666666666666669,0.5555555555555556,0.064398890953804,0.0188006216048272,-0.9545709531629848,0.1362871405110458,0.5333333333333333,0.1944444444444445,0.0257595563815216,0.0
bo,8,-0.0876625624588542,0.1701745919620441,0.1309546677991683,30,3,3,5,4,4,2,8,914.6666666666666,914.6666666666666,0.0,994.4666666666668,79.8,0.0,71.99287956326569,30.25540333013597,56.94147454231366,32.80062739702478,1.4426221848284513,121.5400303340875,49.32450670029608,49.32450670029608,0.9205099296659516,0.0794900703340483,0.0794900703340483,0.625,0.777777777777778,0.1999802210090713,0.0840427870281554,-0.9205099296659516,0.238470211002145,0.5,0.2722222222222222,0.0799920884036285,0.0
bo,9,-0.1796175892128158,0.2199553962437651,0.6441988960774113,30,3,4,3,1,5,1,8,878.9666666666667,878.9666666666667,0.0,1002.4,123.43333333333334,0.0,81.69936993861143,33.84493138906914,89.89104244520954,52.02803487156688,1.1258986256182424,188.5669546261753,71.04597559607133,71.04597559607133,0.8774276425886731,0.1225723574113269,0.122572357411327,0.4583333333333334,0.777777777777778,0.2269426942739206,0.0940136983029698,-0.8774276425886731,0.367717072233981,0.3666666666666668,0.2722222222222222,0.0907770777095682,0.0
