method,run_index,trial_index,replication_index,seed,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,scenario,scenario_name,replication_nr,random_seed,animate,run_duration,use_hourly_arrival_rates,rate_multiplier,analysis1_fraction,analysis2_post1_fraction,eval_failed_fraction,preparation_pt_low,preparation_pt_high,preparation_pt_mode,sorting_pt_low,sorting_pt_high,sorting_pt_mode,analysis1_pt_low,analysis1_pt_high,analysis1_pt_mode,analysis2_pt_low,analysis2_pt_high,analysis2_pt_mode,evaluation_pt_low,evaluation_pt_high,evaluation_pt_mode,dispatching_pt_low,dispatching_pt_high,dispatching_pt_mode,transport_duration,verbose,kwargs,msg,t_end,n_orders_completed,n_orders_in_date,n_orders_late,in_date_count,out_of_date_count,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_time_in_system_mean,wip_time_in_system_std,wip_time_in_system_min,wip_time_in_system_max,wip_mean,wip_max,preparation_waiting_time_mean,preparation_waiting_time_max,preparation_queue_length_mean,preparation_queue_length_max,preparation_occupancy_mean,sorting_waiting_time_mean,sorting_waiting_time_max,sorting_queue_length_mean,sorting_queue_length_max,analysis1_waiting_time_mean,analysis1_waiting_time_max,analysis1_queue_length_mean,analysis1_queue_length_max,analysis1_orders_processed,analysis2_waiting_time_mean,analysis2_queue_length_mean,analysis2_orders_processed,evaluation_waiting_time_mean,evaluation_waiting_time_max,evaluation_queue_length_mean,evaluation_queue_length_max,dispatching_waiting_time_mean,dispatching_waiting_time_max,dispatching_queue_length_mean,dispatching_queue_length_max,n_orders_created,n_orders_incomplete,work_in_progress_max,work_in_progress_mean,denom_orders,completed_norm,late_total_norm,on_time_loss_norm,station_capacity_sum,station_capacity_norm,worker_capacity_norm,time_in_system_mean_norm,time_in_system_std_norm,objective_completed_contribution,objective_late_contribution,objective_station_capacity_contribution,objective_worker_capacity_contribution,objective_time_mean_contribution,objective_time_std_contribution,objective_time_mode,objective_missing_terms,objective_value,error
bo,2,0,0,212345,5,5,4,2,3,5,4,1,,0,212345,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,634,634,0,634,0,0.0,24.460907099081485,7.660461441047219,13.90231997370131,72.99493961552105,278.77210058312613,152.90493944183743,0.6764667804388864,555.2869884731309,81.43057764837411,365,0.1865630905130935,3.156331843671637,0.43500660831778487,1,0.6643896551441025,0.3016380563863016,2.3880015035668976,0.49919028582590336,1,0.4482443756644336,2.846503213495623,0.5267468674184335,1,565,0.3201230128507372,0.08892305912520478,400,0.005842183369882922,0.5606419819622488,0.35340854908349745,1,0.0,0.0,0.0,0,999,365,365,81.43057764837411,999,0.6346346346346347,0.36536536536536535,0.36536536536536535,24,0.75,0.3333333333333333,0.06794696416411523,0.021279059558464496,-0.22212212212212212,0.2922922922922923,2.25,0.3333333333333333,0.027178785665646094,0.0,mean,,2.6806822891691495,
bo,2,0,1,212346,5,5,4,2,3,5,4,1,,0,212346,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,35,35,0,35,0,0.0,23.017457180675763,5.303118942856418,14.767503296127355,33.30382393013704,704.4851956052474,412.9737906055001,0.9198991761295474,1409.8442944853955,482.93612074173456,986,0.26039888022822166,1.0,0.9626544885404547,1,0.9858977233508185,0.46383625184670607,4.135610943489979,0.9716586993485559,1,0.3444759025997562,2.874147230388978,0.9628767374692982,1,32,0.6524778398069256,0.011780849885402825,26,0.1951219512195122,1.0,0.95982039545986,1,0.0,0.0,0.0,0,1021,986,986,482.93612074173456,1021,0.034280117531831536,0.9657198824681684,0.9657198824681684,24,0.75,0.3333333333333333,0.06393738105743267,0.01473088595237894,-0.011998041136141037,0.7725759059745347,2.25,0.3333333333333333,0.02557495242297307,0.0,mean,,3.3694861505947005,
bo,2,0,2,212347,5,5,4,2,3,5,4,1,,0,212347,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,996,996,0,996,0,0.0,25.449770582511807,7.616603937695299,13.836825896395382,80.86895047200733,19.170356943644933,10.279943168629694,0.008283911884745976,44.78150430931464,18.028765918318317,32,0.15423187116703488,2.658533909187099,0.1105587843728934,1,0.49830368950982745,0.40892524145493075,3.436077030928459,0.3200896094051306,1,0.52928955870078,3.436077030928459,0.3256601034783965,1,882,0.4605314043758993,0.2203286220228012,685,0.0078031699946202295,0.8219040271804943,0.00602036240557158,1,0.0,0.0,0.0,0,1028,32,32,18.028765918318317,1028,0.9688715953307393,0.0311284046692607,0.0311284046692607,24,0.75,0.3333333333333333,0.0706938071736439,0.02115723316026472,-0.3391050583657587,0.024902723735408562,2.25,0.3333333333333333,0.02827752286945756,0.0,mean,,2.2974085215724407,
bo,2,0,3,212348,5,5,4,2,3,5,4,1,,0,212348,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,515,515,0,515,0,0.0,25.325529587112047,9.705198253678708,13.73829276778065,86.56041916100162,321.18772177191585,193.04737222383193,6.584306881956309,669.6056999405248,112.77426275090535,465,0.278568307920975,3.417974654473369,0.5365274046449231,1,0.7037154210418781,0.367273799371163,3.249323851579561,0.5822278741316164,1,0.41630381829814883,3.249323851579561,0.5664000808400171,1,460,0.36974214158898144,0.08858405475569348,345,0.002784400215451846,0.8314522816481258,0.43405074192436666,1,0.0,0.0,0.0,0,980,465,465,112.77426275090535,980,0.5255102040816326,0.4744897959183674,0.4744897959183674,24,0.75,0.3333333333333333,0.07034869329753346,0.02695888403799641,-0.1839285714285714,0.37959183673469393,2.25,0.3333333333333333,0.028139477319013385,0.0,mean,,2.8071360759584696,
bo,2,0,4,212349,5,5,4,2,3,5,4,1,,0,212349,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,934,934,0,934,0,0.0,24.78672487755306,7.986012515207557,13.75432190359106,75.20855533146187,20.90880798257865,8.480303777220602,3.4608372786999553,38.79666786713415,16.25118523015662,33,0.1494061752165044,3.6829947755758212,0.09815155677417581,1,0.4337117944496416,0.3377577352702928,3.6829947755758212,0.24557802001944207,1,0.4476458776631959,3.750895690430582,0.26175761239041867,1,837,0.342163767196433,0.1499342618756592,630,0.005334810498263336,1.0,0.0038455092341648208,1,0.0,0.0,0.0,0,946,12,33,16.25118523015662,946,0.9873150105708245,0.012684989429175475,0.012684989429175508,24,0.75,0.3333333333333333,0.0688520135487585,0.02218336809779877,-0.34556025369978854,0.010147991543340382,2.25,0.3333333333333333,0.027540805419503402,0.0,mean,,2.2754618765963883,
bo,2,0,5,212350,5,5,4,2,3,5,4,1,,0,212350,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,198,198,0,198,0,0.0,30.065847271648522,10.966741266906325,14.593050740740495,87.0618513067642,572.3726503845728,340.40546693623645,0.6268791353425058,1196.7170259382658,320.9264167474238,797,0.6677387920636085,2.9845606038746837,0.8929364814569979,1,0.941770928975961,0.7705005827765511,2.873162000847003,0.9184815438312786,1,0.734261828937879,2.873162000847003,0.8859015752341329,1,185,0.3519010246866191,0.03225759392960675,132,0.06712513740692687,1.6270023254915031,0.8001112422633783,1,0.0,0.0,0.0,0,995,797,797,320.9264167474238,995,0.19899497487437187,0.8010050251256281,0.8010050251256281,24,0.75,0.3333333333333333,0.08351624242124589,0.030463170185850905,-0.06964824120603015,0.6408040201005025,2.25,0.3333333333333333,0.03340649696849836,0.0,mean,,3.187895609196304,
bo,2,0,6,212351,5,5,4,2,3,5,4,1,,0,212351,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,941,941,0,941,0,0.0,25.054324333599507,8.340820160551042,13.873582536467438,79.0647354853732,9.283923433743396,8.658283392763213,0.4844239781491524,35.78442642212826,16.475459703372934,29,0.13299648471270067,3.235371873137751,0.08829488846204295,1,0.4480077763637906,0.36848840478149525,3.703838887934012,0.2694571459964684,1,0.48767434551843425,3.211933676071965,0.28549268977225006,1,842,0.3757189979731854,0.1682908011754893,644,0.004415382559239124,0.7986755348929364,0.003204218593336725,1,0.0,0.0,0.0,0,957,16,29,16.475459703372934,957,0.9832810867293625,0.01671891327063741,0.01671891327063746,24,0.75,0.3333333333333333,0.06959534537110974,0.02316894489041956,-0.3441483803552769,0.013375130616509929,2.25,0.3333333333333333,0.027838138148443898,0.0,mean,,2.28039822174301,
bo,2,0,7,212352,5,5,4,2,3,5,4,1,,0,212352,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,955,955,0,955,0,0.0,23.24930520937689,6.488163225333191,13.61227097721212,55.49385268981746,14.514685788202375,7.090669478896009,0.799842308189227,26.668875377758695,15.610323267313053,31,0.07830932731826978,2.0,0.05291317741713646,1,0.42465486392732565,0.26564517274945715,3.077971630420052,0.1935903705241157,1,0.4035912143890791,3.077971630420052,0.22898195983047057,1,813,0.2870635067774963,0.12339743798282653,618,0.011494159607587507,1.0,0.008277391328519615,1,0.0,0.0,0.0,0,974,19,31,15.610323267313053,974,0.9804928131416838,0.019507186858316223,0.019507186858316206,24,0.75,0.3333333333333333,0.06458140335938024,0.018022675625925532,-0.3431724845995893,0.015605749486652979,2.25,0.3333333333333333,0.0258325613437521,0.0,mean,,2.2815991595641494,
bo,2,0,8,212353,5,5,4,2,3,5,4,1,,0,212353,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,419,419,0,419,0,0.0,23.879028382505975,6.9210357967238485,13.915892681190257,64.39336869658405,436.33963912363976,253.09882202596972,0.09798535859431468,861.8427930962716,182.39303051726202,579,0.1090201087976418,1.8104771318765245,0.6054176189439029,1,0.7658192665511103,0.2853771841425594,2.5105604999724846,0.6667891036584024,1,0.4412695237637133,2.7589541482200275,0.6839092995984107,1,361,0.4133018742596085,0.08323440523283783,290,0.013490541197223906,1.0,0.5764160534060175,1,0.0,0.0,0.0,0,998,579,579,182.39303051726202,998,0.4198396793587174,0.5801603206412825,0.5801603206412826,24,0.75,0.3333333333333333,0.06633063439584994,0.019225099435344024,-0.1469438877755511,0.464128256513026,2.25,0.3333333333333333,0.026532253758339976,0.0,mean,,2.9270499558291485,
bo,2,0,9,212354,5,5,4,2,3,5,4,1,,0,212354,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,357,357,0,357,0,0.0,42.765915863426834,16.037737639529613,13.610032547104339,83.77792381417657,478.76398371062055,286.9883304670393,0.8288597590676545,1016.4076070138714,236.685375615601,680,0.9545186687508584,4.75188697135934,0.8946938809854504,1,0.9361444557884867,0.9276070142865653,3.7518869713593404,0.9062544803350439,1,0.8161562677886882,2.9941223571056526,0.8286131860607292,1,325,0.4888800168035915,0.07740600266056866,228,0.04013225315535569,1.0391373537121922,0.6532083891164221,1,0.0,0.0,0.0,0,1037,680,680,236.685375615601,1037,0.3442622950819672,0.6557377049180327,0.6557377049180328,24,0.75,0.3333333333333333,0.1187942107317412,0.04454927122091559,-0.12049180327868851,0.5245901639344263,2.25,0.3333333333333333,0.04751768429269648,0.0,mean,,3.0349493782817674,
