method,run_index,trial_index,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,objective_mean,objective_std,n_valid_replications,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean,best_objective_so_far
bo,11,0,1,1,4,1,1,1,8,2.303555884954781,0.024877637832294366,30,319.8666666666667,115.86666666666666,204.0,1009.6,689.7333333333333,0.6378400203265353,498.28043591196945,280.0338642221938,491.20322845860005,284.4388062141209,1.290899970878081,983.3637698749164,346.02229949951845,346.02229949951845,0.31699591073477523,0.8851021839288714,0.8851021839288714,0.125,0.777777777777778,1.3841123219776925,0.7778718450616495,-0.11094856875717135,0.7080817471430971,0.375,0.777777777777778,0.553644928791077,0.0,2.303555884954781
bo,11,1,3,4,2,4,4,4,4,2.4743413490950017,0.11092684452340823,30,701.9333333333333,618.6666666666666,83.26666666666667,990.9333333333333,289.0,0.11663280255426385,193.60908558047393,102.19656890197334,210.24020375945673,120.77436855821999,1.088960079131895,425.08272564721574,138.94364885932126,138.94364885932126,0.7088321086890217,0.37372255950287475,0.3737225595028747,0.625,0.3333333333333334,0.5378030155013166,0.2838793580610371,-0.24809123804115757,0.2989780476022998,1.875,0.3333333333333334,0.21512120620052663,0.0,2.303555884954781
bo,11,2,5,2,5,2,5,5,10,3.801813739984935,0.06790180949980981,30,629.8666666666667,421.93333333333334,207.93333333333334,1004.8,374.93333333333334,0.3304185441571743,277.3776162137459,149.40356835536116,273.4298283819166,156.07018098286596,1.6906118182560932,543.0182602206988,192.77314042811543,192.77314042811543,0.6275589975916535,0.5790775472417587,0.5790775472417587,0.75,1.0,0.7704933783715168,0.41500991209822546,-0.21964564915707868,0.463262037793407,2.25,1.0,0.3081973513486067,0.0,2.303555884954781
bo,11,3,2,4,3,3,2,2,2,2.110777149298457,0.05213173830436445,30,244.6,176.9,67.7,1000.7,756.1,0.12457874839230418,159.26796185084177,81.65660740786417,546.6352833578728,316.0542804688296,1.352041993004832,1105.0025443930867,348.857575439035,348.857575439035,0.2446117276370173,0.8228946760047635,0.8228946760047635,0.4166666666666666,0.11111111111111112,0.4424110051412272,0.2268239094662894,-0.08561410467295606,0.6583157408038111,1.25,0.11111111111111112,0.17696440205649094,0.0,2.110777149298457
bo,11,4,2,3,1,4,3,1,9,2.937701030411636,0.06942440407134583,30,355.26666666666665,143.26666666666668,212.0,996.2666666666667,641.0,0.5767660540793288,440.1900502780437,246.31926749692602,465.3452145996314,268.42082537808477,1.4457607302682467,930.9907911372642,320.11994605152904,320.11994605152904,0.35720270176862245,0.8559162890965903,0.8559162890965903,0.3333333333333334,0.888888888888889,1.2227501396612328,0.6842201874914614,-0.12502094561901783,0.684733031277272,1.0,0.888888888888889,0.48910005586449296,0.0,2.110777149298457
bo,11,5,5,5,4,3,5,4,1,3.7205818354845897,0.033941474541891586,30,273.3,91.6,181.7,1000.5333333333333,727.2333333333333,0.6650500188269621,530.6990243859725,294.7748044799729,518.1937334779428,300.5108273501866,2.0035456386538195,1058.3555893321998,362.51820969289963,362.51820969289963,0.27349552047559433,0.9082996062499586,0.9082996062499586,0.8333333333333331,0.0,1.4741639566277018,0.8188189013332583,-0.095723432166458,0.7266396849999671,2.5,0.0,0.5896655826510807,0.0,2.110777149298457
bo,11,6,4,1,2,5,3,5,6,3.441701640203063,0.027284914505542133,30,321.3,116.06666666666666,205.23333333333332,983.7666666666667,662.4666666666667,0.6387164110822755,490.55460632276987,274.01103539961053,479.5176435025287,278.9024651558132,1.1256436110871997,963.1775825867785,330.13684721166777,330.13684721166777,0.3269393138148137,0.881892713488407,0.881892713488407,0.5833333333333334,0.5555555555555556,1.3626516842299163,0.761141764998918,-0.11442875983518479,0.7055141707907258,1.75,0.5555555555555556,0.5450606736919664,0.0,2.110777149298457
bo,11,7,2,4,5,2,2,2,3,2.1987506668362786,0.15474690309693864,30,227.4,226.06666666666666,1.3333333333333333,1003.7,776.3,0.0016319869441044472,55.821810842841934,23.00585737248411,559.733359876842,322.9279611974332,1.7745966460674178,1129.9199754855117,326.04926557018797,326.04926557018797,0.2274373408276262,0.7738840995423771,0.7738840995423771,0.4583333333333334,0.22222222222222224,0.1550605856745609,0.06390515936801142,-0.07960306928966916,0.6191072796339017,1.375,0.22222222222222224,0.06202423426982436,0.0,2.110777149298457
bo,11,8,1,2,2,2,4,3,9,2.4335510418659783,0.07669197454606709,30,628.1666666666666,422.76666666666665,205.4,998.9333333333333,370.76666666666665,0.3273851221599881,274.0673836049879,147.57813853081356,268.4678730788473,153.9189142097849,1.210811897535056,537.5499082229845,189.09473634597188,189.09473634597188,0.629529785011927,0.5755978282682641,0.5755978282682641,0.3333333333333334,0.888888888888889,0.7612982877916327,0.4099392736967044,-0.22033542475417445,0.4604782626146113,1.0,0.888888888888889,0.30451931511665314,0.0,2.110777149298457
bo,11,9,4,5,5,4,1,5,2,3.12812044499515,0.0395124242948083,30,114.06666666666666,109.46666666666667,4.6,1008.3333333333334,894.2666666666667,0.014399215655852081,84.41009168708449,39.23721571844995,642.8578372004176,367.63621105074327,1.4178917610559665,1290.79452551695,413.6179256780854,413.6179256780854,0.11345301603653217,0.891161123416748,0.891161123416748,0.75,0.11111111111111112,0.23447247690856796,0.1089922658845832,-0.03970855561278626,0.7129288987333984,2.25,0.11111111111111112,0.0937889907634272,0.0,2.110777149298457
