trial_index,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,objective_mean,objective_std,n_valid_replications,n_orders_completed_mean,n_orders_late_mean,late_order_fraction_mean,time_in_system_mean_mean,wip_mean_mean,best_objective_so_far
0,1,4,5,5,4,3,7,-1575.558632635558,2157.488501749842,30,709.7333333333333,104.6,0.14738272737750957,212.7747006977754,144.7634126947842,-1575.558632635558
1,1,3,3,5,1,5,8,-119.379924820942,2395.223585375961,30,709.4,133.43333333333334,0.18810449059780254,226.95340851239135,156.41702187663194,-1575.558632635558
2,4,2,2,3,2,3,3,4766.192590063373,2010.693206162874,30,625.7666666666667,213.93333333333334,0.34192576150437576,280.19259006337217,190.05997702539835,-1575.558632635558
3,4,3,4,2,1,1,8,-7182.75051508739,2880.39563285291,30,731.2,0.0,0.0,59.249484912608885,110.83037878035206,-7182.75051508739
4,5,4,4,1,5,5,9,-9207.043252439733,647.313637692613,30,934.3666666666667,0.0,0.0,43.623414226932645,32.62563132782243,-9207.043252439733
5,4,4,3,3,2,4,1,5318.595452830943,2804.8032546322183,30,229.93333333333334,142.56666666666666,0.5469261268503243,444.595452830943,375.85255455022076,-9207.043252439733
6,4,1,5,4,3,4,7,7653.102592115821,405.4650804333898,30,321.1333333333333,205.83333333333334,0.6410110272268518,495.7692587824886,340.1355377765534,-9207.043252439733
7,4,2,5,4,1,1,1,1751.6901751577548,2829.8034639852654,30,121.3,53.733333333333334,0.2423928258208428,239.02350849108814,423.161798915857,-9207.043252439733
8,4,1,2,4,3,2,4,7602.224842488072,377.34332177116426,30,320.23333333333335,205.1,0.6405514177919156,497.5581758214055,342.52928912290446,-9207.043252439733
9,1,5,4,2,5,1,2,7529.159205804895,1380.998440346333,30,549.5333333333333,252.86666666666667,0.4602546598423791,335.1592058048948,229.52067532911053,-9207.043252439733
10,3,5,4,4,1,4,10,-4373.935435199309,3396.0548982277564,30,448.8333333333333,0.0,0.0,22.3978981340243,217.73197895396007,-9207.043252439733
11,5,4,4,5,1,1,1,1829.12059123909,2874.1444787434216,30,124.3,55.53333333333333,0.25139790020484504,250.45392457242315,422.4982092717328,-9207.043252439733
12,2,2,2,5,5,2,2,7348.543785985677,1152.3858206806015,30,547.1333333333333,248.83333333333334,0.4549244174427719,332.2104526523419,226.9562379910552,-9207.043252439733
13,2,1,3,1,5,4,9,7627.642213295349,248.62507578423626,30,319.26666666666665,204.9,0.6419062034451329,498.30887996201614,336.4393954836842,-9207.043252439733
14,3,3,1,1,4,4,4,8000.469812298564,905.5749349717482,30,368.53333333333336,223.6,0.6059910645916169,453.8031456318985,313.11724363520244,-9207.043252439733
15,3,4,5,3,3,3,4,-7005.883868425659,3228.6935128638784,30,709.4666666666667,0.0,0.0,26.78279824100942,106.59855711301962,-9207.043252439733
16,1,4,4,1,3,4,8,-647.2347684212255,2082.772133177459,30,708.7666666666667,122.9,0.17344378513770345,221.43189824544118,152.34419423712941,-9207.043252439733
17,5,4,5,1,1,3,10,-1134.5426310987573,827.0502662025232,30,124.86666666666666,0.0,0.0,26.12403556790928,392.96447782546073,-9207.043252439733
18,5,1,4,4,5,3,3,7537.140193076627,422.70346725652394,30,320.2,203.73333333333332,0.6363406396626754,493.47352640995956,341.2213383774964,-9207.043252439733
19,2,4,1,1,1,3,10,2512.846830286598,3718.7565977699123,30,173.53333333333333,79.03333333333333,0.24068912043636084,222.5134969532648,395.379186713735,-9207.043252439733
20,2,4,1,5,3,1,6,6494.290984437059,3442.5196675625552,30,314.8666666666667,183.63333333333333,0.5094953103504375,399.2909844370579,332.9350556672263,-9207.043252439733
21,4,1,2,4,5,1,3,7655.500909520886,402.75989051185445,30,321.56666666666666,206.4,0.6418097717026094,502.1675761875523,344.99459933120596,-9207.043252439733
22,3,3,5,2,1,3,4,-8222.26336755342,1565.072055206669,30,834.6,0.0,0.0,69.73663244658086,67.41459244686922,-9207.043252439733
23,5,2,1,1,5,5,7,8233.254242935905,553.7932641803421,30,369.7,227.9,0.6165072275383943,462.2542429359056,319.46025649250237,-9207.043252439733
24,2,4,5,5,2,4,3,-2012.537670133181,1349.3619926210617,30,212.36666666666667,0.0,0.0,52.12899653348559,327.8698327119104,-9207.043252439733
25,4,5,5,2,2,5,10,-8718.363963803862,2302.415427693753,30,883.7,0.0,0.0,22.636036196138818,48.409524071528026,-9207.043252439733
26,1,1,4,2,3,5,2,7669.335653679633,354.81766517522277,30,321.1333333333333,206.9,0.6443891664597066,493.6689870129666,336.4814297628333,-9207.043252439733
27,4,5,1,3,1,4,6,1977.9387424212675,3729.5397471576102,30,172.16666666666666,68.2,0.21475654241143882,223.60540908793402,390.9001042163317,-9207.043252439733
28,5,2,3,1,4,2,9,4670.100436778187,1581.271489934909,30,628.8,212.03333333333333,0.3371391439947727,277.4337701115207,191.34080984121135,-9207.043252439733
29,2,4,1,1,1,3,4,806.1805783025774,2277.4408526196394,30,133.03333333333333,38.3,0.15199163771531185,177.5139116359104,403.88523587038304,-9207.043252439733
