method,run_index,trial_index,objective_mean,objective_std,n_valid_replications,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,total_capacity
BO,0,25,-0.1307109898319272,0.0651864787326221,30,4,4,5,4,4,1,7,29
BO,1,29,-0.2699703844436957,0.2152556486930503,30,2,4,5,3,3,1,6,24
BO,2,21,-0.0720620236245684,0.0236450828904199,30,4,4,5,5,5,1,7,31
BO,3,23,-0.2495669872983582,0.0216492226315908,30,2,5,4,3,5,1,6,26
BO,4,24,-0.0488730676146555,0.189699103076086,30,5,5,4,4,4,2,7,31
BO,5,22,-0.2531755140037694,0.0160205182756579,30,3,5,4,2,4,3,5,26
BO,6,29,0.0349596540197819,0.0947922221846347,30,4,3,3,4,5,1,5,25
BO,7,4,-0.1484825135114117,0.6293775636613012,30,3,4,4,3,4,1,6,25
BO,8,14,-0.0876625624588542,0.0208568363863197,30,2,4,5,3,4,2,10,30
BO,9,27,-0.1796175892128158,0.0539402889347595,30,2,4,3,2,5,1,9,26
BO,10,27,-0.1447682899167399,0.0186412638515084,30,4,4,4,3,5,2,7,29
BO,11,23,-0.1529660664834701,0.1045569203179033,30,4,4,4,5,5,1,5,28
BO,12,21,-0.1451973958939447,0.014803100316971,30,2,5,5,4,4,2,7,29
BO,13,27,-0.215156293862946,0.023520333750378,30,3,4,4,3,5,1,7,27
BO,14,22,-0.031330991751031,0.018780787899903,30,4,5,5,3,5,1,9,32
BO,15,29,-0.162459741001393,0.1035874252063948,30,4,4,4,1,5,1,6,25
BO,16,23,-0.1210565503108884,0.0179693942538239,30,3,5,4,5,5,3,5,30
BO,17,29,-0.1780511099921783,0.0189451739366671,30,4,5,4,4,4,1,6,28
BO,18,3,-0.0345693821360159,0.017382867743588,30,3,4,4,5,5,2,9,32
BO,19,28,-0.0909047572772576,0.0207669564210355,30,2,4,4,5,5,1,9,30
Random Search,0,4,0.1898591888273997,0.2931463849257536,30,5,4,4,1,5,5,9,33
Random Search,1,14,0.2140925368871073,0.6607472780351804,30,2,5,4,4,4,5,10,34
Random Search,2,5,0.2739887027821258,0.1218941203496142,30,3,3,5,4,4,2,10,31
Random Search,3,25,-0.2747756619971462,0.0503060519702202,30,2,5,3,2,5,2,5,24
Random Search,4,24,-0.0375832310826304,0.0238252128437946,30,5,4,4,4,5,2,8,32
Random Search,5,19,0.0265026999605079,0.1288536124604292,30,3,3,4,3,5,1,6,25
Random Search,6,4,-0.041668350504908,0.0150605274692749,30,3,5,5,2,4,5,8,32
Random Search,7,15,0.1556982675530092,0.1182004806744241,30,5,3,5,5,2,1,8,29
Random Search,8,23,-0.1717501559771248,0.2145154904295316,30,3,4,3,3,5,2,6,26
Random Search,9,23,0.0036936445487101,0.4175987046193412,30,5,5,3,5,5,1,6,30
Random Search,10,9,0.3576546387565674,0.1675641253055274,30,5,3,5,3,2,5,10,33
Random Search,11,7,-0.0505250258741243,0.4811059855382602,30,5,5,4,4,5,2,4,29
Random Search,12,7,-0.2459746894454788,0.1304449284249133,30,2,4,5,2,3,1,8,25
Random Search,13,10,-0.1257562593992733,0.0220329661716532,30,2,4,4,2,5,3,9,29
Random Search,14,14,-0.1099372203895398,0.5544034976893488,30,2,5,5,2,5,4,4,27
Random Search,15,15,-0.2465449234040508,0.2649847178815357,30,4,4,5,2,4,1,4,24
Random Search,16,10,-0.2356058598329696,0.0237573493432008,30,2,4,4,4,4,1,7,26
Random Search,17,27,0.0054858345582523,0.7647011388264601,30,3,5,3,2,4,1,4,22
Random Search,18,5,0.0825141688338027,0.5963125617342202,30,2,5,5,4,3,1,10,30
Random Search,19,28,-0.178279865813428,0.3176264401833449,30,2,4,4,2,5,5,4,26
