method,run_index,trial_index,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,objective_mean,objective_std,n_valid_replications,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean,best_objective_so_far
bo,8,0,3,3,4,3,4,2,3,0.4592604819842261,0.4291943340711831,30,796.0666666666667,787.7666666666667,8.3,990.2,194.13333333333333,0.010086079532543325,130.47915616726607,62.896448248872545,142.652228974548,81.63756117404465,1.5819758243978488,291.9766250938976,97.96448975239426,97.96448975239426,0.8052170687022044,0.2027965331298228,0.2027965331298228,0.5416666666666665,0.22222222222222224,0.36244210046462805,0.17471235624686818,-0.8052170687022044,0.6083895993894685,0.4333333333333334,0.07777777777777778,0.14497684018585122,0.0,0.4592604819842261
bo,8,1,3,5,2,2,1,4,8,3.3735332567319616,0.24170162782357246,30,77.96666666666667,77.96666666666667,0.0,1002.1,924.1333333333333,0.0,41.55355008262573,15.125548494861809,662.8858385178703,386.0428648361152,1.1125140935347113,1339.7899812320306,430.54261553748347,430.54261553748347,0.07788156083996117,0.9221184391600389,0.9221184391600389,0.4583333333333334,0.777777777777778,0.11542652800729371,0.04201541248572725,-0.07788156083996117,2.7663553174801163,0.3666666666666668,0.2722222222222222,0.046170611202917475,0.0,0.4592604819842261
bo,8,2,5,1,5,5,3,4,3,3.5213205955233957,0.057287690262586344,30,320.06666666666666,115.66666666666667,204.4,996.5333333333333,676.4666666666667,0.6386988853611218,492.2540034580332,274.1846510175555,485.4700164017977,279.47828114014425,1.660069926476073,969.2206757087672,337.60681612862066,337.60681612862066,0.32143212711731234,0.8837864618217053,0.8837864618217053,0.7083333333333331,0.22222222222222224,1.3673722318278698,0.7616240306043206,-0.32143212711731234,2.6513593854651156,0.5666666666666667,0.07777777777777778,0.546948892731148,0.0,0.4592604819842261
bo,8,3,1,3,2,2,5,2,8,1.4994953674596845,0.2626786353090625,30,689.7333333333333,540.2666666666667,149.46666666666667,993.6333333333333,303.9,0.2170126230681684,234.04595042795594,124.06285336538602,224.77592496375,128.6986635788188,1.5618021294663094,450.5749747064364,159.92921185344568,159.92921185344568,0.6951436593733527,0.454121916193251,0.45412191619325093,0.375,0.777777777777778,0.6501276400776556,0.3446190371260723,-0.6951436593733527,1.3623657485797531,0.3000000000000001,0.2722222222222222,0.26005105603106216,0.0,0.4592604819842261
bo,8,4,1,2,1,3,5,1,1,3.2622450307684034,0.05473373813066818,30,275.6333333333333,93.36666666666666,182.26666666666668,999.4,723.7666666666667,0.6615876932785381,526.8254004364601,294.136200982694,520.0020936295028,299.16275617698415,1.0983341558671857,1039.8442898852297,362.33781549277376,362.33781549277376,0.275969143375994,0.9065064282568511,0.9065064282568511,0.2916666666666667,0.0,1.4634038901012782,0.8170450027297055,-0.275969143375994,2.719519284770554,0.23333333333333336,0.0,0.5853615560405111,0.0,0.4592604819842261
bo,8,5,4,4,4,4,2,5,6,1.4069270988479994,1.3778342781706077,30,587.8,587.8,0.0,993.5,405.7,0.0,23.301774290303154,6.676702261596325,294.2309772120167,170.11397994170315,2.0356639210118903,590.5111691516759,150.36963137738312,150.36963137738312,0.5950187181464179,0.40498128185358223,0.40498128185358223,0.7083333333333331,0.5555555555555556,0.06472715080639764,0.018546395171100898,-0.5950187181464179,1.2149438455607466,0.5666666666666667,0.1944444444444445,0.02589086032255906,0.0,0.4592604819842261
bo,8,6,4,2,2,1,1,4,5,2.1284721406283764,0.46672330598405865,30,460.03333333333336,350.4,109.63333333333334,996.1,536.0666666666667,0.18612779821858416,204.15215468145735,111.41369666421932,387.75762337165156,223.4978150497806,1.607999757934317,781.0292432218063,237.51036590613882,237.51036590613882,0.46279439336663786,0.6474028614496503,0.6474028614496503,0.3333333333333334,0.4444444444444445,0.5670893185596039,0.3094824907339426,-0.46279439336663786,1.9422085843489507,0.26666666666666666,0.15555555555555556,0.22683572742384153,0.0,0.4592604819842261
bo,8,7,2,4,4,4,3,3,9,-0.008014536203637554,0.5321052805024041,30,947.4666666666667,947.4666666666667,0.0,994.8,47.333333333333336,0.0,23.698921939303986,7.108339169853171,34.86155645540763,20.963619989204094,1.0722846542386075,74.20537632384404,25.29656841613904,25.29656841613904,0.9530311123673827,0.04696888763261728,0.046968887632617265,0.5833333333333334,0.888888888888889,0.06583033872028883,0.019745386582925472,-0.9530311123673827,0.1409066628978519,0.46666666666666673,0.3111111111111111,0.02633213548811554,0.0,-0.008014536203637554
bo,8,8,2,1,2,5,2,2,1,3.2830333691733,0.06448655480447493,30,258.1,91.63333333333334,166.46666666666667,1009.0,750.9,0.6037391262814549,491.0869720820517,273.7779083569297,531.3040525059313,308.4473838403576,1.2989555710069909,1071.8180165842944,371.6654754613826,371.6654754613826,0.2564906764329689,0.9090683959124409,0.9090683959124409,0.3333333333333334,0.0,1.364130478005699,0.7604941898803602,-0.2564906764329689,2.727205187737322,0.26666666666666666,0.0,0.5456521912022797,0.0,-0.008014536203637554
bo,8,9,4,3,5,3,4,4,6,0.1759871884464646,0.13293022722268624,30,916.4,916.4,0.0,999.4666666666667,83.06666666666666,0.0,77.0181679707026,32.187525343778795,60.32446076127681,35.09267347005505,1.149672485033337,124.5738193317562,52.93946807121311,52.93946807121311,0.9176749162135791,0.08232508378642094,0.08232508378642092,0.7083333333333331,0.5555555555555556,0.21393935547417392,0.08940979262160777,-0.9176749162135791,0.2469752513592628,0.5666666666666667,0.1944444444444445,0.08557574218966958,0.0,-0.008014536203637554
bo,8,10,5,3,1,4,5,5,5,3.420051275136059,0.08781033674219398,30,373.1333333333333,145.56666666666666,227.56666666666666,996.7666666666667,623.6333333333333,0.610096496089872,460.3191717992658,256.843222076762,447.9695890696446,260.608237380116,1.9411462346546386,906.8436501034469,313.48891748104364,313.48891748104364,0.37468164028787215,0.8536816489193603,0.8536816489193603,0.7083333333333331,0.4444444444444445,1.278664366109072,0.7134533946576723,-0.37468164028787215,2.5610449467580803,0.5666666666666667,0.15555555555555556,0.5114657464436286,0.0,-0.008014536203637554
bo,8,11,2,5,3,1,3,1,10,1.4321614461188934,1.2879769901399587,30,575.9666666666667,575.9333333333333,0.03333333333333333,1003.8,427.8333333333333,3.679175864606328e-05,59.41543152090829,25.171066007039784,306.12804483543715,178.7550868243412,0.6807477193779429,628.9479680617961,171.092269426823,171.092269426823,0.5709876216863268,0.4290439738902926,0.4290439738902926,0.375,1.0,0.16504286533585633,0.06991962779733273,-0.5709876216863268,1.2871319216708776,0.3000000000000001,0.34999999999999987,0.06601714613434254,0.0,-0.008014536203637554
bo,8,12,1,2,5,1,2,3,4,1.7975134704324534,0.23848418906831884,30,628.5,417.06666666666666,211.43333333333334,995.6333333333333,367.1333333333333,0.33651969386583247,278.05910560359115,147.22670815569322,263.91059019573703,153.1141778884102,1.6894939978904555,533.5879457990171,189.19958192335952,189.19958192335952,0.6321297518955189,0.5791184424042904,0.5791184424042904,0.3333333333333334,0.3333333333333334,0.7723864044544198,0.40896307821025885,-0.6321297518955189,1.7373553272128714,0.26666666666666666,0.11666666666666667,0.30895456178176794,0.0,-0.008014536203637554
bo,8,13,5,5,3,3,4,3,9,0.1700154950388749,0.4918816550422493,30,931.2333333333333,931.2333333333333,0.0,995.9333333333333,64.7,0.0,31.5500179648023,11.669025091016689,47.03246926717239,27.528008956615597,1.3623360862684195,100.42251777338332,29.901599670721314,29.901599670721314,0.9357044645638374,0.06429553543616252,0.06429553543616252,0.7083333333333331,0.888888888888889,0.08763893879111749,0.03241395858615747,-0.9357044645638374,0.19288660630848756,0.5666666666666667,0.3111111111111111,0.035055575516447,0.0,-0.008014536203637554
bo,8,14,2,4,5,3,4,2,10,-0.08766256245885422,0.020856836386319733,30,978.2,978.2,0.0,995.5333333333333,17.333333333333332,0.0,23.55963904174059,6.947051769022702,13.497782226859242,9.223054103221779,1.4905979132394047,34.28442096746175,16.176561102367803,16.176561102367803,0.9826266514596415,0.017373348540358494,0.017373348540358505,0.5833333333333334,1.0,0.06544344178261276,0.019297366025063063,-0.9826266514596415,0.052120045621075486,0.46666666666666673,0.34999999999999987,0.026177376713045104,0.0,-0.08766256245885422
bo,8,15,2,4,4,3,4,5,9,0.01542272728846882,0.3748339739228178,30,966.0666666666667,966.0666666666667,0.0,1001.9666666666667,35.9,0.0,23.54436800147083,6.852913568780509,26.00967481942,15.317150074006017,1.518646821674353,55.95218090071297,20.383466871923364,20.383466871923364,0.9637955315116247,0.03620446848837532,0.036204468488375316,0.6666666666666669,0.888888888888889,0.06540102222630785,0.0190358710243903,-0.9637955315116247,0.10861340546512598,0.5333333333333333,0.3111111111111111,0.02616040889052314,0.0,-0.08766256245885422
bo,8,16,5,4,5,3,3,1,8,0.07489553621783203,0.5814819715151591,30,930.8333333333334,930.8333333333334,0.0,1001.6333333333333,70.8,0.0,23.766772346782027,7.094528839079072,48.74237081424359,28.503225283191604,1.7892771003598986,104.42618072742819,27.639506207359798,27.639506207359798,0.9309335527085371,0.06906644729146301,0.06906644729146301,0.625,0.777777777777778,0.06601881207439451,0.01970702455299742,-0.9309335527085371,0.20719934187438901,0.5,0.2722222222222222,0.02640752482975781,0.0,-0.08766256245885422
bo,8,17,5,4,5,2,4,5,3,0.9337017005016708,0.6495378679243777,30,726.0666666666667,718.4666666666667,7.6,986.2,260.1333333333333,0.00941151477491433,131.44135090449805,60.618163528263594,192.57301230692502,110.05011310197781,1.6196469438735677,398.41021095746083,117.45142453146255,117.45142453146255,0.7364875059048753,0.27101071661533094,0.27101071661533094,0.7916666666666669,0.22222222222222224,0.3651148636236057,0.16838378757850997,-0.7364875059048753,0.8130321498459928,0.6333333333333332,0.07777777777777778,0.1460459454494423,0.0,-0.08766256245885422
bo,8,18,5,4,4,3,4,1,10,-0.016688352686730763,0.2440177586256417,30,969.5333333333333,969.5333333333333,0.0,996.2666666666667,26.733333333333334,0.0,23.637641584913414,7.039158874734361,20.438143980093546,13.014041806979902,1.4024282416881002,45.65734815472366,18.114493556309903,18.114493556309903,0.9732380997230474,0.026761900276952477,0.02676190027695248,0.625,1.0,0.06566011551364839,0.01955321909648434,-0.9732380997230474,0.08028570083085744,0.5,0.34999999999999987,0.026264046205459354,0.0,-0.08766256245885422
bo,8,19,1,5,5,4,3,1,10,1.4883942789247635,0.1812852016133608,30,709.1666666666666,602.8666666666667,106.3,996.0666666666667,286.9,0.14981027040137496,212.78620647425808,111.90561541628661,204.06074893535632,116.85512909383286,1.3547140349584728,411.5201696494507,145.68019871814914,145.68019871814914,0.7124122255728422,0.3936813509531805,0.3936813509531805,0.5416666666666665,1.0,0.5910727957618281,0.3108489317119073,-0.7124122255728422,1.1810440528595412,0.4333333333333334,0.34999999999999987,0.23642911830473123,0.0,-0.08766256245885422
