method,run_index,final_best_objective,objective_mean,objective_std,n_valid_replications,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean
bo,0,1.0474951342652872,3.143889155256152,0.0289027324262271,30,5,1,5,1,1,1,10,321.53333333333336,115.63333333333334,205.9,1000.8666666666668,679.3333333333334,0.640507171939504,494.113281777177,273.9349712930889,484.10870070291526,280.607135105199,1.6204373541526138,974.0538359579508,338.8528991322358,338.8528991322358,0.3215866596702105,0.8842871607631613,0.8842871607631613,0.3333333333333334,1.0,1.3725368938254916,0.7609304758141363,-0.1125553308845736,0.7074297286105291,1.0,1.0,0.5490147575301967,0.0
bo,1,1.3951942054339492,1.904656398453322,0.0714174044781131,30,1,4,4,1,1,5,4,709.1666666666666,593.6666666666666,115.5,1004.7,295.53333333333336,0.1628576409223411,218.4049175921077,114.73179839243627,210.7868877657936,122.2039606910786,1.4900630880043384,422.4811608902706,151.13058623053192,151.13058623053192,0.7066696567449018,0.4074816429035082,0.4074816429035082,0.4166666666666666,0.3333333333333334,0.6066803266447438,0.3186994399789896,-0.2473343798607156,0.3259853143228066,1.25,0.3333333333333334,0.2426721306578975,0.0
bo,2,1.0786001974470618,1.7623115694704936,0.0277987397971965,30,1,1,5,1,1,1,2,321.1666666666667,113.6,207.56666666666663,1005.4,684.2333333333333,0.646315425843062,498.221427162794,278.4096467443733,490.5962301249559,283.37430880628864,0.8961195999485729,980.341609795668,344.42777365372234,344.42777365372234,0.3197127129003546,0.8869006804503635,0.8869006804503635,0.1666666666666667,0.1111111111111111,1.3839484087855392,0.7733601298454815,-0.111899449515124,0.7095205443602908,0.5,0.1111111111111111,0.5535793635142157,0.0
bo,3,1.1354895978095905,2.4754463063476866,0.0281159848060483,30,1,1,5,3,5,1,1,273.3666666666667,89.4,183.96666666666667,1000.4333333333332,727.0666666666667,0.6730947005271328,533.4435757281315,293.3290063495239,522.481320472089,301.6839344341771,1.352462429552141,1049.659217870916,365.22721658655087,365.22721658655087,0.2734666701517463,0.9105556959480366,0.9105556959480366,0.4166666666666666,0.0,1.481787710355921,0.8148027954153443,-0.0957133345531112,0.7284445567584293,1.25,0.0,0.5927150841423683,0.0
bo,4,1.2216847994467186,1.27117589538911,0.0633528403228006,30,1,2,2,1,3,1,3,625.7333333333333,416.56666666666666,209.16666666666663,992.2,366.4666666666666,0.3344111268416029,275.99467130831374,149.23414990780162,268.5710859165128,154.37755169456506,2.010577910524027,539.7615345724714,188.6125578627265,188.6125578627265,0.6313385589130367,0.5790767786104051,0.579076778610405,0.1666666666666667,0.2222222222222222,0.7666518647453159,0.4145393052994489,-0.2209684956195629,0.4632614228883239,0.5,0.2222222222222222,0.3066607458981263,0.0
bo,5,1.0709985038077343,1.3612295164221266,0.0456677944405727,30,1,3,2,2,1,1,2,180.06666666666666,151.83333333333334,28.23333333333333,994.4666666666668,814.4,0.0582544738778825,122.99966622498434,60.91399646069537,589.5859508249054,342.9004392619539,1.5894402916769876,1186.975342019074,368.44984834359,368.44984834359,0.1821829406910539,0.8465201734341828,0.8465201734341828,0.1666666666666667,0.1111111111111111,0.3416657395138454,0.1692055457241537,-0.0637640292418688,0.6772161387473462,0.5,0.1111111111111111,0.1366662958055381,0.0
bo,6,1.0761009573604032,1.723702989541697,0.123846233278568,30,1,5,3,1,1,1,1,120.1,70.9,49.2,1009.6,889.5,0.2484094869556686,244.54671490402552,131.5731140732445,632.9687910495452,365.7897264909661,1.4039233712500694,1278.2460383374903,423.258760067048,423.258760067048,0.1191580472307528,0.9296121674460964,0.9296121674460964,0.25,0.0,0.6792964302889598,0.3654808724256792,-0.0417053165307634,0.7436897339568769,0.75,0.0,0.271718572115584,0.0
bo,7,1.2258399566368563,1.396318138981265,0.1874550643618501,30,2,3,2,1,2,1,4,501.9333333333333,445.6666666666667,56.266666666666666,1001.2,499.26666666666665,0.0817937943391245,156.47377916214785,81.37171898975426,353.1568452547966,204.81345465589325,1.2491732774580593,712.7849099611093,219.59494758987177,219.59494758987177,0.5052934355422829,0.5512221918289022,0.5512221918289022,0.2083333333333333,0.3333333333333334,0.4346493865615218,0.2260325527493173,-0.176852702439799,0.4409777534631218,0.625,0.3333333333333334,0.1738597546246087,0.0
bo,8,1.1758132587356458,1.1758132587356458,0.0570123570976838,30,1,2,2,1,2,1,3,611.8,397.76666666666665,214.03333333333333,1002.4666666666668,390.6666666666667,0.3428605939720779,278.701797544308,148.9495424444586,280.05088957606324,161.46019526265906,1.2307192445421455,566.867278387925,197.82066917515544,197.82066917515544,0.6098195753228121,0.6029490299228598,0.6029490299228598,0.125,0.2222222222222222,0.7741716598453003,0.4137487290123852,-0.2134368513629842,0.4823592239382879,0.375,0.2222222222222222,0.30966866393812,0.0
bo,9,1.142139155603519,1.142139155603519,0.1354563830398164,30,1,1,1,1,1,1,1,229.3,87.9,141.4,1000.7333333333332,771.4333333333333,0.5298314160207229,443.5673113545829,245.92298113058132,554.5331072843272,322.2727677056276,1.304087922662696,1116.0506123675884,380.59106323250126,380.59106323250126,0.2296212091593841,0.9120675132969306,0.9120675132969306,0.0,0.0,1.232131420429397,0.6831193920293928,-0.0803674232057844,0.7296540106375445,0.0,0.0,0.4928525681717588,0.0
