label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,0,312345,,,512345,,,312345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2689,1393,156,1237,0.8880114860014358,1640.1357151759191,993.0933537124284,8.950989732365354,4604.1603191941485,624.3978118260575,1296,-11290.0,160,1792,448,461,447,436,,1,1,1,1,1,1,1
,,1,313345,,,513345,,,313345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2793,1418,144,1274,0.8984485190409027,1710.6354176628631,994.9921010261089,17.187548032176835,4107.7527652115305,667.4593431621073,1375,-11762.0,154,1799,435,452,475,437,,1,1,1,1,1,1,1
,,2,314345,,,514345,,,314345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2750,1392,135,1257,0.9030172413793104,1846.1373673262444,1049.5455314607339,12.633594345573625,4200.51194751471,689.5399533529767,1358,-11727.0,169,1797,444,458,446,449,,1,1,1,1,1,1,1
,,3,315345,,,515345,,,315345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2797,1416,154,1262,0.8912429378531074,1677.678264602052,988.3774314239508,11.067006805049784,4152.2353611439285,669.7127986507303,1381,-11548.0,156,1797,459,453,444,441,,1,1,1,1,1,1,1
,,4,316345,,,516345,,,316345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2787,1418,131,1287,0.9076163610719323,1820.2222116858716,1037.065026154615,18.396518633717015,4253.4220895678045,696.7132521473444,1371,-11995.0,145,1788,439,437,464,448,,1,1,1,1,1,1,1
,,5,317345,,,517345,,,317345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2784,1426,142,1284,0.9004207573632539,1764.397258891105,1055.7235071390608,10.790077922669727,4128.4737819179045,683.1246894276989,1360,-11888.0,156,1786,444,429,449,464,,1,1,1,1,1,1,1
,,6,318345,,,518345,,,318345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2727,1395,140,1255,0.899641577060932,1777.2552736992377,1056.83496133696,8.83969723567143,4211.982639500995,677.4935475008313,1334,-11654.0,168,1794,458,446,432,458,,1,1,1,1,1,1,1
,,7,319345,,,519345,,,319345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2722,1428,145,1283,0.8984593837535014,1674.873829731741,954.0998856803673,11.613480675584368,3944.6484442346755,633.3785771288382,1295,-11854.0,158,1803,443,441,470,449,,1,1,1,1,1,1,1
,,8,320345,,,520345,,,320345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2859,1418,138,1280,0.9026798307475318,1843.9839363978724,1084.2828492742929,12.505778783697268,4334.760185218278,729.3306873564258,1441,-11870.0,150,1804,438,463,436,467,,1,1,1,1,1,1,1
,,9,321345,,,521345,,,321345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2788,1396,135,1261,0.9032951289398281,1850.6479417330734,1096.6469915645196,12.324706307787704,4875.729360215568,710.8544284649198,1392,-11770.0,170,1791,446,439,467,439,,1,1,1,1,1,1,1
,,10,322345,,,522345,,,322345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2796,1436,171,1265,0.8809192200557103,1709.888151404026,1048.0359711128015,12.841325965380715,4510.6250477592275,675.0905518747768,1360,-11426.0,162,1794,433,452,464,445,,1,1,1,1,1,1,1
,,11,323345,,,523345,,,323345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2747,1390,100,1290,0.9280575539568345,1789.8973328692498,1001.662155747469,9.889845300335054,5260.6610073910315,679.0400894931223,1357,-12356.0,152,1789,445,427,440,477,,1,1,1,1,1,1,1
,,12,324345,,,524345,,,324345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2739,1398,136,1262,0.9027181688125894,1716.2623734057825,1019.4083144917648,11.679415142383341,4448.6882313288315,667.8504683679688,1341,-11737.0,159,1796,472,421,433,470,,1,1,1,1,1,1,1
,,13,325345,,,525345,,,325345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2845,1419,133,1286,0.9062720225510923,1796.4962661472514,1037.560333985137,11.314777878645003,4758.890611633284,712.5214284417162,1426,-12016.0,162,1792,444,451,447,450,,1,1,1,1,1,1,1
,,14,326345,,,526345,,,326345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2714,1423,137,1286,0.9037245256500351,1728.7606671094982,1007.1684911049288,12.17802885191329,4624.623589759387,655.8476414693808,1292,-11922.0,144,1793,449,459,442,443,,1,1,1,1,1,1,1
,,15,327345,,,527345,,,327345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2824,1449,152,1297,0.8951000690131125,1735.7915638646964,1022.6730706047571,16.544162234716865,4077.9766930752767,679.874340613388,1375,-11873.0,141,1799,441,426,457,475,,1,1,1,1,1,1,1
,,16,328345,,,528345,,,328345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2808,1434,135,1299,0.9058577405857741,1776.9701314543217,1039.7726533248842,9.866113810889903,4279.485984494083,699.4736899434397,1375,-12147.0,169,1795,460,458,458,419,,1,1,1,1,1,1,1
,,17,329345,,,529345,,,329345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2728,1403,156,1247,0.8888096935138988,1737.6362222019816,1070.0822268439333,9.879101366234648,4391.823082682751,663.5006945720278,1325,-11390.0,160,1793,455,406,485,447,,1,1,1,1,1,1,1
,,18,330345,,,530345,,,330345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2788,1416,118,1298,0.9166666666666666,1830.1791984649276,1003.3443416550738,12.104969750158673,4434.411346524723,690.8315935348065,1375,-12277.0,159,1797,464,464,434,435,,1,1,1,1,1,1,1
,,19,331345,,,531345,,,331345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2771,1410,167,1243,0.8815602836879433,1745.736501154974,1035.4291908798245,10.715534145572903,4441.802189068288,674.8082495859195,1361,-11234.0,158,1798,454,443,453,448,,1,1,1,1,1,1,1
,,20,332345,,,532345,,,332345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2856,1395,137,1258,0.9017921146953405,1862.8383134707337,1093.1282884279885,11.902551930267954,4734.619364361245,755.1653275563085,1461,-11723.0,171,1795,456,445,475,419,,1,1,1,1,1,1,1
,,21,333345,,,533345,,,333345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2767,1417,153,1264,0.8920254057868737,1684.8740645756554,972.157827157993,11.350712639490974,4126.048366785338,650.8728119162424,1351,-11584.0,158,1790,458,425,467,440,,1,1,1,1,1,1,1
,,22,334345,,,534345,,,334345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2888,1394,133,1261,0.9045911047345767,1845.8988201020145,1105.2403053446164,9.86054462359245,4304.135116998158,760.0117113512035,1494,-11802.0,174,1799,493,419,439,448,,1,1,1,1,1,1,1
,,23,335345,,,535345,,,335345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2673,1432,158,1274,0.8896648044692738,1660.9913033871599,988.815518622317,11.00075071128366,3923.9346965849586,632.0235967755627,1245,-11619.0,153,1796,440,463,411,482,,1,1,1,1,1,1,1
,,24,336345,,,536345,,,336345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2806,1406,127,1279,0.9096728307254623,1847.8428295097378,1059.5490911337379,10.049527712952708,4842.314217827039,713.3039463397516,1403,-11991.0,157,1793,418,471,447,457,,1,1,1,1,1,1,1
,,25,337345,,,537345,,,337345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2803,1421,149,1272,0.8951442646023927,1750.0782633473764,1045.2389597935094,14.850662774973113,4198.415227183184,689.7331710976554,1383,-11668.0,146,1792,439,459,450,444,,1,1,1,1,1,1,1
,,26,338345,,,538345,,,338345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2694,1425,189,1236,0.8673684210526316,1635.8313735978122,1016.4403498345122,12.619527665270262,4447.885006144479,613.8474109219278,1270,-10890.0,140,1799,443,453,445,458,,1,1,1,1,1,1,1
,,27,339345,,,539345,,,339345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2788,1438,143,1295,0.9005563282336578,1711.108424582153,991.4271102297113,18.86643466134458,4494.821670512005,664.704584810291,1352,-11943.0,141,1801,446,447,436,472,,1,1,1,1,1,1,1
,,28,340345,,,540345,,,340345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2915,1441,154,1287,0.8931297709923665,1760.7738103916174,1051.077443535845,11.7425146016126,4396.506131288107,727.0761938933712,1475,-11732.0,134,1797,478,437,440,442,,1,1,1,1,1,1,1
,,29,341345,,,541345,,,341345,7200.0,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,2757,1405,134,1271,0.904626334519573,1811.8878415940007,1053.5334613648965,12.492307912519305,4179.689700679644,711.682168910674,1353,-11883.0,171,1807,491,442,435,439,,1,1,1,1,1,1,1
