episode,training_seed,q_table_size,best_total_reward_so_far,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,label,error
0,212345,10,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,212345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,563,278,157,121,0.4352517985611511,342.6718980569062,192.59466539928883,10.933230869630583,847.726215164129,137.650641715185,286,273.0,29,363,90,94,81,98,1.0,1,1,1,1,1,1,1,,
1,213345,12,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,213345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,563,281,123,158,0.5622775800711743,381.9230414673841,218.93946146463244,11.144451947627218,882.6050712694309,148.4298230892036,283,-434.0,28,358,78,95,102,83,0.9991117671721148,1,1,1,1,1,1,1,,
2,214345,14,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,214345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,607,276,128,148,0.5362318840579711,396.981106295762,226.65362420741326,11.15922237361476,1004.4999537606114,165.5248701235322,331,-302.0,34,359,85,91,87,96,0.9982243233017861,1,1,1,1,1,1,1,,
3,215345,14,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,215345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,566,274,117,157,0.572992700729927,424.66974643599866,241.0308489446904,13.97865592152119,931.0142444172503,161.15841684163917,296,-493.0,31,358,87,73,103,95,0.997337667688236,1,1,1,1,1,1,1,,
4,216345,16,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,216345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,559,277,141,136,0.49097472924187724,375.888412552703,204.13863060390932,10.280748546978902,884.2897091715482,146.53615878575187,282,-49.0,33,354,82,94,101,77,0.9964517996313088,1,1,1,1,1,1,1,,
5,217345,16,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,217345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,520,277,139,138,0.4981949458483754,377.1808887807577,205.39848362943815,19.669294938863175,783.6158994208909,134.778818140558,243,-89.0,33,363,89,92,94,88,0.995566718431471,1,1,1,1,1,1,1,,
6,218345,16,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,218345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,570,280,127,153,0.5464285714285714,404.4910815868877,226.86783624131837,11.89061371139483,925.4512645079286,153.09556150193993,290,-362.0,34,353,107,76,86,84,0.9946824233898103,1,1,1,1,1,1,1,,
7,219345,16,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,219345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,575,274,141,133,0.4854014598540146,348.03395423049614,217.14346338365826,12.058029675190001,851.0368404381304,143.92091364009275,301,-31.0,37,356,85,82,97,92,0.9937989138080351,1,1,1,1,1,1,1,,
8,220345,17,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,220345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,589,288,134,154,0.5347222222222222,383.00676379170704,219.61976555123118,9.283860017249422,787.4678847787907,162.54815985747766,301,-269.0,23,359,90,86,84,99,0.9929161889884741,1,1,1,1,1,1,1,,
9,221345,18,273.0,0.2692828334867955,0.7128288987837731,0.9991117671721148,0.0994445736054331,53.52571461349726,230.336776021868,221345,1440.0,4,8,0.9,283.86249063536525,q_learning,True,,simulation ended,591,287,138,149,0.519163763066202,375.5550070865622,234.68159600085482,9.787909181712603,971.4100536975084,157.03966180786122,304,-173.0,21,359,81,92,106,80,0.9920342482340759,1,1,1,1,1,1,1,,
