replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-628.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,172,99,0.36531365313653136,310.5047751418924,179.83708666629215,8.950989732365354,858.2987919396725,109.3254777929539,217,628.0,34,350,0,110,210,30,0.016645657213758106,1,1,1,1,1,1,1
1,313345,-287.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.8878264420991,195.788944540352,11.817236253798981,1099.385269976235,135.416784777984,282,287.0,31,357,2,82,261,12,0.016645657213758106,1,1,1,1,1,1,1
2,314345,133.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,136,140,0.5072463768115942,365.6181235750872,219.32205300632745,12.633594345573625,759.4324782228713,148.05837788147468,286,-133.0,31,359,8,95,221,35,0.016645657213758106,1,1,1,1,1,1,1
3,315345,-254.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,160,128,0.4444444444444444,330.5456494041014,197.58646936942392,11.067006805049784,688.0869422739272,124.84367175576061,239,254.0,22,359,0,101,227,31,0.016645657213758106,1,1,1,1,1,1,1
4,316345,149.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,138,143,0.5088967971530249,361.2377456897701,212.22929749751293,18.396518633717015,1039.6574062749069,152.08948657422883,304,-149.0,33,357,25,92,217,23,0.016645657213758106,1,1,1,1,1,1,1
5,317345,-200.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,153,124,0.44765342960288806,335.4024451848153,198.13700681613926,10.790077922669727,992.7568064247666,126.39784038075321,251,200.0,30,352,0,65,64,223,0.016645657213758106,1,1,1,1,1,1,1
6,318345,13.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,145,137,0.4858156028368794,347.35704108970845,208.5457755656156,8.83969723567143,1120.7410213355092,130.76134924175673,271,-13.0,31,360,13,101,56,190,0.016645657213758106,1,1,1,1,1,1,1
7,319345,-327.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,340.8389997114258,199.34819528309245,11.613480675584368,983.7717102060137,132.63484639295993,274,327.0,31,357,0,101,54,202,0.016645657213758106,1,1,1,1,1,1,1
8,320345,243.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,134,149,0.5265017667844523,363.682650146291,224.5838735829819,12.505778783697268,979.617877843423,150.57266652830006,285,-243.0,31,358,10,77,74,197,0.016645657213758106,1,1,1,1,1,1,1
9,321345,16.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,349.8568379400421,211.99168412356008,12.324706307787704,991.9676256944584,142.01650264372986,297,-16.0,32,354,0,79,225,50,0.016645657213758106,1,1,1,1,1,1,1
10,322345,-221.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,322345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,297,163,134,0.4511784511784512,315.750189932555,214.18653039921324,12.841325965380715,806.4647244332252,126.82927581498983,264,221.0,23,351,8,224,85,34,0.016645657213758106,1,1,1,1,1,1,1
11,323345,609.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,323345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,255,102,153,0.6,406.2612620516114,224.52509337825842,9.889845300335054,854.5521811468741,148.23287656560672,274,-609.0,33,351,0,293,27,31,0.016645657213758106,1,1,1,1,1,1,1
12,324345,-45.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,324345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,539,278,145,133,0.4784172661870504,330.29402938040465,177.67999938819997,11.679415142383341,758.8452465722193,120.2577648862026,262,45.0,25,358,27,263,41,27,0.016645657213758106,1,1,1,1,1,1,1
13,325345,170.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,325345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,573,278,135,143,0.5143884892086331,371.4482940236927,221.12345707172483,11.314777878645003,865.1049216927124,150.52665345943666,295,-170.0,30,357,7,284,53,13,0.016645657213758106,1,1,1,1,1,1,1
14,326345,-28.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,326345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,535,281,147,134,0.47686832740213525,350.25084092989187,209.03029123307996,11.82614240193756,839.1500322213026,133.06154947202782,255,28.0,34,357,2,275,58,22,0.016645657213758106,1,1,1,1,1,1,1
15,327345,-3.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,327345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,556,294,150,144,0.4897959183673469,353.7492956179376,213.06362953369018,16.51933521675658,790.7865339608679,136.6186340765332,264,3.0,19,357,53,220,72,12,0.016645657213758106,1,1,1,1,1,1,1
16,328345,-154.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,328345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,528,276,152,124,0.4492753623188406,346.44122545181426,192.24451256151715,9.866113810889903,922.4847578135224,129.12384642981777,252,154.0,42,355,1,5,46,303,0.016645657213758106,1,1,1,1,1,1,1
17,329345,-581.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,329345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,512,284,176,108,0.38028169014084506,311.01088465019143,187.9339331268137,9.879101366234648,933.1579161071397,110.08996564603814,229,581.0,33,358,0,24,50,284,0.016645657213758106,1,1,1,1,1,1,1
18,330345,164.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,330345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,613,276,134,142,0.5144927536231884,404.811860069101,231.06285329860455,12.104969750158673,1178.8243982922327,175.8695387715625,338,-164.0,28,355,0,9,32,314,0.016645657213758106,1,1,1,1,1,1,1
19,331345,-536.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,331345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,528,278,170,108,0.38848920863309355,314.1231188122345,201.17397152003625,10.715534145572903,831.8707867754866,122.75888545668477,250,536.0,28,358,0,185,75,98,0.016645657213758106,1,1,1,1,1,1,1
20,332345,169.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,332345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,595,283,138,145,0.5123674911660777,378.470750575095,223.85011839587543,11.902551930267954,959.8886386776512,159.54872356859133,313,-169.0,33,355,0,221,33,101,0.016645657213758106,1,1,1,1,1,1,1
21,333345,-534.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,333345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,531,272,169,103,0.3786764705882353,316.7562195740102,193.57861129884134,11.350712639490974,848.4659224990311,123.75041321105593,262,534.0,42,348,1,10,54,283,0.016645657213758106,1,1,1,1,1,1,1
22,334345,-211.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,334345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,554,283,157,126,0.4452296819787986,370.4757028128609,207.53033034024705,9.86054462359245,1049.1012416172816,142.12413425519992,272,211.0,33,359,2,2,26,329,0.016645657213758106,1,1,1,1,1,1,1
23,335345,-705.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,335345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,521,283,182,101,0.3568904593639576,301.05823485833076,183.1183262323298,11.00075071128366,982.8238447481737,114.11354165497497,238,705.0,35,357,14,8,36,299,0.016645657213758106,1,1,1,1,1,1,1
24,336345,-124.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,336345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,576,279,149,130,0.4659498207885305,375.85737463592835,204.03804479929968,10.049527712952708,968.628210364411,149.7635530452347,297,124.0,22,359,9,3,53,294,0.016645657213758106,1,1,1,1,1,1,1
25,337345,-422.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,337345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,558,288,169,119,0.4131944444444444,337.02789183932055,195.60049105935016,14.724718254656905,997.5741085495247,134.83492285531082,270,422.0,26,356,3,6,43,304,0.016645657213758106,1,1,1,1,1,1,1
26,338345,-1203.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,338345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,505,283,206,77,0.27208480565371024,271.86826475072615,165.94912412667654,12.619527665270262,846.7219540778242,101.01474452687904,223,1203.0,29,358,12,2,86,258,0.016645657213758106,1,1,1,1,1,1,1
27,339345,-330.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,339345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,556,280,161,119,0.425,334.52664970481925,204.83828754861818,15.324379406288733,1033.2277899120973,132.8785693544596,278,330.0,30,358,17,11,44,286,0.016645657213758106,1,1,1,1,1,1,1
28,340345,-394.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,340345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,570,290,168,122,0.4206896551724138,348.194644429832,190.1471187438765,11.439374389418877,915.8598237570882,135.13095355104335,280,394.0,22,357,37,2,25,293,0.016645657213758106,1,1,1,1,1,1,1
29,341345,-244.0,26,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,,,,,,,341345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,286,160,126,0.4405594405594406,360.4137165083279,201.15788998308284,12.492307912519305,1074.9340818811086,146.04426334596488,287,244.0,32,360,4,3,32,321,0.016645657213758106,1,1,1,1,1,1,1
