replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-568.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,169,102,0.3763837638376384,310.3158937575229,183.93183155873749,8.950989732365354,918.7206139807984,109.3254777929539,217,568.0,34,350,86,69,179,16,0.02159828846705753,1,1,1,1,1,1,1
1,313345,-247.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,157,123,0.4392857142857143,335.37554245579213,197.8675300029041,17.187548032176835,1015.6946575113395,135.416784777984,282,247.0,31,357,46,91,195,25,0.02159828846705753,1,1,1,1,1,1,1
2,314345,-87.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,147,129,0.4673913043478261,365.43027429791255,220.85517344592114,10.768648519648394,857.6635977688006,148.05837788147468,286,87.0,31,359,43,72,210,34,0.02159828846705753,1,1,1,1,1,1,1
3,315345,-374.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,166,122,0.4236111111111111,330.3677014857101,203.7783457497016,11.067006805049784,950.6175290659335,124.84367175576061,239,374.0,22,359,83,88,180,8,0.02159828846705753,1,1,1,1,1,1,1
4,316345,49.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,143,138,0.49110320284697506,361.5152230382338,210.52658666044815,18.396518633717015,1076.0385424784645,152.08948657422883,304,-49.0,33,357,90,31,183,53,0.02159828846705753,1,1,1,1,1,1,1
5,317345,80.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,139,138,0.4981949458483754,339.2619939859913,201.17884322859737,10.790077922669727,872.1467456237366,126.39784038075321,251,-80.0,30,352,122,219,4,7,0.02159828846705753,1,1,1,1,1,1,1
6,318345,-27.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,147,135,0.4787234042553192,352.3208441162987,207.7852500277597,8.83969723567143,789.8657069089925,130.76134924175673,271,27.0,31,360,139,181,10,30,0.02159828846705753,1,1,1,1,1,1,1
7,319345,-167.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,152,126,0.45323741007194246,339.8088283390522,200.39133747441977,11.613480675584368,964.8701965917235,132.63484639295993,274,167.0,31,357,91,0,35,231,0.02159828846705753,1,1,1,1,1,1,1
8,320345,43.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,144,139,0.4911660777385159,362.5305839183079,228.5703378230755,14.103620939431089,1046.779135933792,150.57266652830006,285,-43.0,31,358,117,20,31,190,0.02159828846705753,1,1,1,1,1,1,1
9,321345,-4.0,25,0.01580271159590294,0.8,0.021598288467057428,175.214912,758.004,0.9961722035565643,0.021598288467057428,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,350.5322838281046,211.96356186222445,12.324706307787704,948.1399454287478,142.01650264372986,297,4.0,32,354,119,12,211,12,0.02159828846705753,1,1,1,1,1,1,1
