replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-608.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,171,100,0.36900369003690037,310.5047751418925,183.49399387131746,8.950989732365354,915.7892087748689,109.3254777929539,217,608.0,34,350,0,162,188,0,0.0005000000000001874,1,1,1,1,1,1,1
1,313345,-307.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,334.8878264420991,199.48090710442418,17.187548032176835,1204.4668108825322,135.416784777984,282,307.0,31,357,8,132,204,13,0.0005000000000001874,1,1,1,1,1,1,1
2,314345,273.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,129,147,0.532608695652174,366.0088588996904,219.9121381751273,10.768648519648394,759.0760898479389,148.05837788147468,286,-273.0,31,359,17,88,231,23,0.0005000000000001874,1,1,1,1,1,1,1
3,315345,-274.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,329.95937423227343,199.69620580806028,11.067006805049784,655.977419011903,124.84367175576061,239,274.0,22,359,9,148,196,6,0.0005000000000001874,1,1,1,1,1,1,1
4,316345,29.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,144,137,0.4875444839857651,361.35162060018473,212.7251275172799,18.396518633717015,1100.8411412630837,152.08948657422883,304,-29.0,33,357,23,73,257,4,0.0005000000000001874,1,1,1,1,1,1,1
5,317345,-240.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.43039628206907,201.23275119005362,10.790077922669727,1044.4442752146092,126.39784038075321,251,240.0,30,352,14,112,223,3,0.0005000000000001874,1,1,1,1,1,1,1
6,318345,-47.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.3333100003585,209.17394822547857,8.83969723567143,1120.7410213355092,130.76134924175673,271,47.0,31,360,5,126,216,13,0.0005000000000001874,1,1,1,1,1,1,1
7,319345,-347.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.83899971142574,201.56805661070675,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,15,125,203,14,0.0005000000000001874,1,1,1,1,1,1,1
8,320345,283.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,132,151,0.5335689045936396,363.0831209860563,221.49751508208493,14.103620939431089,963.9561495141293,150.57266652830006,285,-283.0,31,358,6,89,251,12,0.0005000000000001874,1,1,1,1,1,1,1
9,321345,16.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,346.51410173013454,204.81424657818482,12.324706307787704,991.9676256944584,142.01650264372986,297,-16.0,32,354,3,96,245,10,0.0005000000000001874,1,1,1,1,1,1,1
10,322345,-501.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,322345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,297,177,120,0.40404040404040403,312.33283448988436,201.40743520282126,12.841325965380715,970.9373798712461,126.82927581498983,264,501.0,23,351,48,96,199,8,0.0005000000000001874,1,1,1,1,1,1,1
11,323345,449.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,323345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,255,110,145,0.5686274509803921,402.5130407268848,224.29307388795598,9.889845300335054,1206.71570102829,148.23287656560672,274,-449.0,33,351,0,115,233,3,0.0005000000000001874,1,1,1,1,1,1,1
12,324345,-285.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,324345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,539,278,157,121,0.4352517985611511,331.5789935427645,174.56039690495425,11.679415142383341,637.078430703064,120.2577648862026,262,285.0,25,358,5,135,216,2,0.0005000000000001874,1,1,1,1,1,1,1
13,325345,110.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,325345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,573,278,138,140,0.5035971223021583,368.3536226764397,215.30598801025354,11.314777878645003,1044.1818057895193,150.52665345943666,295,-110.0,30,357,0,137,212,8,0.0005000000000001874,1,1,1,1,1,1,1
14,326345,-308.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,326345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,535,281,161,120,0.42704626334519574,343.9590605793325,203.01387697915584,11.82614240193756,1120.2600544835877,133.06154947202782,255,308.0,34,357,7,95,245,10,0.0005000000000001874,1,1,1,1,1,1,1
15,327345,-83.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,327345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,556,294,154,140,0.47619047619047616,350.21644928665137,208.71251407685145,16.544162234716865,1070.4106344196891,136.6186340765332,264,83.0,19,357,5,112,225,15,0.0005000000000001874,1,1,1,1,1,1,1
16,328345,26.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,328345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,528,276,143,133,0.48188405797101447,346.9490176558906,190.51050256839125,9.866113810889903,1012.1492629749372,129.12384642981777,252,-26.0,42,355,6,146,199,4,0.0005000000000001874,1,1,1,1,1,1,1
17,329345,-541.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,329345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,512,284,174,110,0.3873239436619718,310.8840181571892,182.8194135946777,9.879101366234648,944.5529652220783,110.08996564603814,229,541.0,33,358,25,85,230,18,0.0005000000000001874,1,1,1,1,1,1,1
18,330345,364.0,26,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,330345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,613,276,124,152,0.5507246376811594,404.2086331576574,233.07468647739998,12.104969750158673,1164.239237422249,175.8695387715625,338,-364.0,28,355,11,121,219,4,0.0005000000000001874,1,1,1,1,1,1,1
