candidate_rank,source_trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,stage1_objective_mean,stage1_total_reward_mean,objective_mean,objective_std,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,best_evaluation_reward,best_evaluation_replication,best_evaluation_seed,q_table_size,candidate_dir,q_table_path
5,97,0.0142093089392811,0.8,0.08,175.214912,758.004,0.9997474590294099,0.08,-330.2,330.2,-353.5,338.89106682297455,353.5,338.89106682297455,0.4213497636862264,30,1245.0,6436,6648345,1243.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_05_trial_097,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_05_trial_097/q_table.pkl
9,86,0.0234167928219911,0.8,0.0112044802072359,175.214912,758.004,0.9995509566939208,0.0112044802072359,-316.2,316.2,-288.8333333333333,318.07037643863674,288.8333333333333,318.07037643863674,0.43289804825213035,30,1356.0,9396,9608345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_09_trial_086,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_09_trial_086/q_table.pkl
2,81,0.0279198075057057,0.8,0.0051345294065218,175.214912,758.004,0.9994729622248156,0.0051345294065218,-336.2,336.2,-240.16666666666666,276.02312288613814,240.16666666666666,276.02312288613814,0.44139006995880053,30,1510.0,3549,3761345,863.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_02_trial_081,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_02_trial_081/q_table.pkl
1,42,0.0299175760701753,0.8,0.0542191188470732,175.214912,758.004,0.9997085703052377,0.0542191188470732,-342.2,342.2,-231.5,363.56033981947917,231.5,363.56033981947917,0.44322390071845846,30,1376.0,9396,9608345,1243.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_01_trial_042,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_01_trial_042/q_table.pkl
6,63,0.0362915128408688,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,-322.2,322.2,-158.16666666666666,332.1411294691723,158.16666666666666,332.1411294691723,0.4560673005118524,30,1590.0,3549,3761345,963.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_06_trial_063,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_06_trial_063/q_table.pkl
7,38,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,-322.2,322.2,-149.5,307.84946500432363,149.5,307.84946500432363,0.4577706719703629,30,1235.0,6225,6437345,763.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_07_trial_038,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_07_trial_038/q_table.pkl
3,50,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,-332.2,332.2,-118.16666666666667,307.4979207480399,118.16666666666667,307.4979207480399,0.4632259183933656,30,1547.0,1707,1919345,763.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_03_trial_050,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_03_trial_050/q_table.pkl
10,36,0.08,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,-312.2,312.2,-110.83333333333333,286.00422993415657,110.83333333333333,286.00422993415657,0.4646690224100038,30,1590.0,3549,3761345,763.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_10_trial_036,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_10_trial_036/q_table.pkl
8,54,0.0308870377182726,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,-322.2,322.2,-108.16666666666667,281.46624509243867,108.16666666666667,281.46624509243867,0.4650534998609632,30,1406.0,7830,8042345,763.0,26,338345,27,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_08_trial_054,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_08_trial_054/q_table.pkl
4,15,0.0298066391476967,0.8,0.0468976715099706,175.214912,758.004,0.9996940680814423,0.0468976715099706,-330.2,330.2,-6.833333333333333,315.6467999185966,6.833333333333333,315.6467999185966,0.48294529718118917,30,1486.0,7830,8042345,723.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_04_trial_015,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_04_trial_015/q_table.pkl
