trial_index,risk_t1,risk_window,risk_t2,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,time_in_system_mean,wip_mean,n_valid_replications
0,192.27238655090332,464.2598819732666,656.5322685241699,-333.5,325.2016615727158,-333.5,333.5,325.2016615727158,0.42481753341127954,343.177652782968,134.82299379725052,30
1,305.4589316248894,1641.990635767579,1947.4495673924685,-121.5,282.71634986812956,-333.5,121.5,282.71634986812956,0.46267529865837353,343.37144800419156,134.82299379725052,30
2,225.9070497751236,778.8533712923527,1004.7604210674763,-230.83333333333334,284.3500857470731,-333.5,230.83333333333334,284.3500857470731,0.44311679419713484,343.30640612681873,134.82299379725052,30
3,111.51055842638016,1327.4173660576344,1438.9279244840145,-151.5,315.1653917198572,-333.5,151.5,315.1653917198572,0.4574456091449132,343.37112096439563,134.82299379725052,30
4,44.27679091691971,589.8318314552307,634.1086223721504,-142.16666666666666,312.613795372935,-333.5,142.16666666666666,312.613795372935,0.45907514813051287,344.41104643234905,134.82299379725052,30
5,215.95266948428937,120.0,335.95266948428934,-259.5,296.5867611619772,-333.5,259.5,296.5867611619772,0.4380535977345786,343.3134678020846,134.82299379725052,30
6,156.90465552031,120.0,276.90465552031003,-314.1666666666667,333.0389936094088,-333.5,314.1666666666667,333.0389936094088,0.4285601828394778,343.29115744157207,134.82299379725052,30
7,360.0,120.0,480.0,-114.83333333333333,283.7285107564835,-333.5,114.83333333333333,283.7285107564835,0.46385742317821543,343.3717723248814,134.82299379725052,30
8,182.98668251679095,120.0,302.98668251679095,-349.5,319.1069164683383,-349.5,349.5,319.1069164683383,0.42204030488790273,343.1617958035037,134.82299379725052,30
9,188.46253772627313,1800.0,1988.4625377262732,-347.5,327.2870457944029,-349.5,347.5,327.2870457944029,0.4223175469913876,343.2010949698731,134.82299379725052,30
10,171.35131375132207,1800.0,1971.351313751322,-354.8333333333333,328.18593167155484,-354.8333333333333,354.8333333333333,328.18593167155484,0.42110087342056063,343.26347044373694,134.82299379725052,30
11,172.88169428987317,120.0,292.88169428987317,-359.5,317.6045850012136,-359.5,359.5,317.6045850012136,0.4202470988637171,343.2680329197681,134.82299379725052,30
12,160.59328386154712,1800.0,1960.5932838615472,-329.5,315.2911899859535,-359.5,329.5,315.2911899859535,0.42576794722064587,343.2680327405252,134.82299379725052,30
13,179.3422360833716,1106.625829788036,1285.9680658714076,-350.1666666666667,314.6434307366787,-359.5,350.1666666666667,314.6434307366787,0.42188872305859804,343.15281420234425,134.82299379725052,30
14,180.01345143010386,1800.0,1980.013451430104,-344.8333333333333,318.0790493088085,-359.5,344.8333333333333,318.0790493088085,0.42282074379940593,343.16025238559007,134.82299379725052,30
15,197.6589356407665,1800.0,1997.6589356407665,-332.8333333333333,315.66974048437277,-359.5,332.8333333333333,315.66974048437277,0.4249542634021433,343.225071658663,134.82299379725052,30
16,167.42802943251803,714.7445523135395,882.1725817460576,-340.8333333333333,318.88892059486943,-359.5,340.8333333333333,318.88892059486943,0.42363437430578366,343.2691427887957,134.82299379725052,30
17,189.08534930982935,120.0,309.0853493098293,-350.1666666666667,331.4240000604844,-359.5,350.1666666666667,331.4240000604844,0.4218456606518082,343.2122930177404,134.82299379725052,30
18,165.89855892345818,120.0,285.89855892345815,-335.5,319.3240436102271,-359.5,335.5,319.3240436102271,0.42462480235697114,343.254734243916,134.82299379725052,30
19,185.77334293110152,1020.9859578883878,1206.7593008194895,-340.8333333333333,316.55550075377187,-359.5,340.8333333333333,316.55550075377187,0.4235435535470359,343.1527852504271,134.82299379725052,30
20,177.8852620806467,120.0,297.8852620806467,-348.8333333333333,320.7670852636002,-359.5,348.8333333333333,320.7670852636002,0.4221469282687088,343.173734759004,134.82299379725052,30
21,175.76447689852776,758.0036248230721,933.7681017215998,-362.8333333333333,321.9056494167768,-362.8333333333333,362.8333333333333,321.9056494167768,0.41968714741059715,343.25940174980315,134.82299379725052,30
22,242.67194281040824,1800.0,2042.6719428104082,-191.5,291.75494558938,-362.8333333333333,191.5,291.75494558938,0.45013047380088084,343.2883771225113,134.82299379725052,30
23,170.02433345980154,1301.5050989869278,1471.5294324467293,-342.1666666666667,317.58866080397826,-362.8333333333333,342.1666666666667,317.58866080397826,0.42336697045919575,343.2742984520192,134.82299379725052,30
24,175.75214699987527,1800.0,1975.7521469998753,-362.8333333333333,321.9056494167768,-362.8333333333333,362.8333333333333,321.9056494167768,0.41968714741059715,343.25940174980315,134.82299379725052,30
25,184.30107554381186,1800.0,1984.3010755438117,-349.5,318.73713631920197,-362.8333333333333,349.5,318.73713631920197,0.4220089737433668,343.1910956002146,134.82299379725052,30
26,166.6228330662232,1800.0,1966.6228330662232,-338.1666666666667,314.5118914843403,-362.8333333333333,338.1666666666667,314.5118914843403,0.4241153626481378,343.29033942575614,134.82299379725052,30
27,181.47403561659635,671.6722625170609,853.1462981336572,-350.8333333333333,321.3781834250875,-362.8333333333333,350.8333333333333,321.3781834250875,0.42180808094049665,343.17096714232656,134.82299379725052,30
28,176.268026887911,1306.8727598111554,1483.1407866990664,-362.8333333333333,319.57483429181923,-362.8333333333333,362.8333333333333,319.57483429181923,0.41969321922948793,343.21399948606364,134.82299379725052,30
29,287.09613883588867,120.0,407.09613883588867,-128.16666666666666,286.2693551153544,-362.8333333333333,128.16666666666666,286.2693551153544,0.4614982041520328,343.3224815568789,134.82299379725052,30
