replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-588.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,170,101,0.3726937269372694,310.91025649890804,186.71187388992735,8.950989732365354,782.2150051281255,109.3254777929539,217,588.0,34,350,16,189,1,144,0.0005,1,1,1,1,1,1,1
1,313345,-247.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,157,123,0.4392857142857143,337.600670488369,201.84472261068439,17.187548032176835,782.5887783750775,135.416784777984,282,247.0,31,357,16,195,11,135,0.0005,1,1,1,1,1,1,1
2,314345,13.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,142,134,0.4855072463768116,373.98900734028507,235.40433388093825,12.633594345573625,955.3170768725124,148.05837788147468,286,-13.0,31,359,15,234,10,100,0.0005,1,1,1,1,1,1,1
3,315345,-454.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,170,118,0.4097222222222222,333.077268010391,205.93835197155497,11.067006805049784,773.0883273584673,124.84367175576061,239,454.0,22,359,40,189,0,130,0.0005,1,1,1,1,1,1,1
4,316345,109.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,140,141,0.501779359430605,372.27222400787116,225.03243847681773,18.396518633717015,843.3243522936968,152.08948657422883,304,-109.0,33,357,30,183,17,127,0.0005,1,1,1,1,1,1,1
5,317345,-420.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,164,113,0.40794223826714804,334.8211201728709,200.73172184751056,10.790077922669727,1021.0136416543834,126.39784038075321,251,420.0,30,352,28,4,0,320,0.0005,1,1,1,1,1,1,1
6,318345,-147.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,153,129,0.4574468085106383,347.65556874312887,208.13707303001044,8.83969723567143,1053.7369070714562,130.76134924175673,271,147.0,31,360,14,19,8,319,0.0005,1,1,1,1,1,1,1
7,319345,-347.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,339.7258800294629,201.67255479188304,11.613480675584368,1044.3458508285476,132.63484639295993,274,347.0,31,357,15,3,1,338,0.0005,1,1,1,1,1,1,1
8,320345,-137.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,153,130,0.45936395759717313,362.0909533205608,234.06849550186547,14.103620939431089,1086.0345820544915,150.57266652830006,285,137.0,31,358,11,64,2,281,0.0005,1,1,1,1,1,1,1
9,321345,-124.0,24,0.060053971670295046,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,149,127,0.4601449275362319,346.5983520534918,208.97720418898385,12.324706307787704,1002.2974992667457,142.01650264372986,297,124.0,32,354,6,74,0,274,0.0005,1,1,1,1,1,1,1
