trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.038120511516928676,0.04098331928253174,0.0609497906267643,175.214912,758.004,0.9972062050708864,0.0609497906267643,-94.2,153.29912661924146,-94.2,94.2,153.29912661924146,0.4664391863408273,10,1143.0,126,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_000
1,0.05090599673138932,0.11506338864564897,0.03592361274408177,175.214912,758.004,0.9966791657447828,0.03592361274408177,-28.2,181.28234577279966,-94.2,28.2,181.28234577279966,0.478304057053902,10,1123.0,126,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_001
2,0.07094898766577244,0.8,0.04927588627161458,175.214912,758.004,0.9969942060315206,0.04927588627161458,-84.2,233.52030604068105,-94.2,84.2,233.52030604068105,0.4682893992797261,10,1149.0,518,730345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_002
3,0.0176087525867857,0.8,0.014677046458702535,175.214912,758.004,0.9957874274104013,0.014677046458702535,-178.2,198.70961504444398,-178.2,178.2,198.70961504444398,0.45149517143005174,10,1142.0,934,1146345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_003
4,0.0040457176619209355,0.8,0.026129471271298825,175.214912,758.004,0.9963619423917609,0.026129471271298825,-90.2,263.2197223276064,-178.2,90.2,263.2197223276064,0.467187576098185,10,1183.0,126,338345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_004
5,0.06743438779115678,0.8,0.07074404575116933,175.214912,758.004,0.9973548177712197,0.07074404575116933,-230.2,249.5243475094164,-230.2,230.2,249.5243475094164,0.44235113823474237,10,1169.0,518,730345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_005
6,0.026202381843432276,0.8,0.08,175.214912,758.004,0.9974774583245799,0.08,-122.2,259.74209430809543,-230.2,122.2,259.74209430809543,0.46136962361676126,10,1162.0,934,1146345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_006
7,0.06085349365311674,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,-68.2,250.02435436928494,-230.2,68.2,250.02435436928494,0.47098992804573836,10,1209.0,668,880345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_007
8,0.08,0.8,0.08,175.214912,758.004,0.9974774583245799,0.08,-128.2,230.67283228754,-230.2,128.2,230.67283228754,0.4602807428319388,10,1137.0,718,930345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_008
9,0.08,0.8,0.08,175.214912,758.004,0.9974774583245799,0.08,-128.2,230.67283228754,-230.2,128.2,230.67283228754,0.4602807428319388,10,1137.0,718,930345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_009
