replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-448.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,163,108,0.3985239852398524,310.3228620070823,183.32025750002708,8.950989732365354,909.783566413669,109.3254777929539,217,448.0,34,350,4,54,102,190,0.049065704585389225,1,1,1,1,1,1,1
1,313345,-207.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,155,125,0.44642857142857145,336.7267418475248,200.4199935808846,17.187548032176835,1018.7232444121216,135.416784777984,282,207.0,31,357,8,92,54,203,0.049065704585389225,1,1,1,1,1,1,1
2,314345,73.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,139,137,0.4963768115942029,374.6172705581604,234.0978791986975,12.633594345573625,955.3170768725124,148.05837788147468,286,-73.0,31,359,25,239,68,27,0.049065704585389225,1,1,1,1,1,1,1
3,315345,-154.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,155,133,0.4618055555555556,333.0564707850354,203.20379325930074,11.067006805049784,773.0883273584673,124.84367175576061,239,154.0,22,359,17,217,83,42,0.049065704585389225,1,1,1,1,1,1,1
4,316345,9.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,145,136,0.48398576512455516,361.5532831176073,209.92342430264378,18.396518633717015,1076.0385424784645,152.08948657422883,304,-9.0,33,357,31,38,71,217,0.049065704585389225,1,1,1,1,1,1,1
5,317345,-180.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,152,125,0.45126353790613716,339.2619939859913,205.42129006983419,10.790077922669727,872.1467456237366,126.39784038075321,251,180.0,30,352,17,271,47,17,0.049065704585389225,1,1,1,1,1,1,1
6,318345,-7.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,352.3400812337844,208.08998936333987,8.83969723567143,789.8657069089925,130.76134924175673,271,7.0,31,360,31,210,91,28,0.049065704585389225,1,1,1,1,1,1,1
7,319345,-187.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,153,125,0.44964028776978415,339.88509926675243,204.0339824340533,11.613480675584368,966.7853104111985,132.63484639295993,274,187.0,31,357,3,63,282,9,0.049065704585389225,1,1,1,1,1,1,1
8,320345,23.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,145,138,0.4876325088339223,362.5305839183079,228.19417464498463,14.103620939431089,1046.779135933792,150.57266652830006,285,-23.0,31,358,76,13,258,11,0.049065704585389225,1,1,1,1,1,1,1
9,321345,-84.0,23,0.045627282882001144,0.8,0.049065704585388115,175.214912,758.004,0.9969899443596734,0.049065704585388115,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,147,129,0.4673913043478261,346.7121429248607,205.16338418439858,12.324706307787704,948.1399454287478,142.01650264372986,297,84.0,32,354,258,31,62,3,0.049065704585389225,1,1,1,1,1,1,1
