replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-508.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,166,105,0.3874538745387454,310.53027010829663,179.97713588677087,8.950989732365354,915.7892087748689,109.3254777929539,217,508.0,34,350,13,117,47,173,0.0005000000000001874,1,1,1,1,1,1,1
1,313345,-267.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,158,122,0.4357142857142857,334.88903635065014,195.79067147572675,11.817236253798981,1099.385269976235,135.416784777984,282,267.0,31,357,0,94,73,190,0.0005000000000001874,1,1,1,1,1,1,1
2,314345,153.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,135,141,0.5108695652173914,365.6181235750872,219.39331740429185,12.633594345573625,759.0760898479389,148.05837788147468,286,-153.0,31,359,13,99,38,209,0.0005000000000001874,1,1,1,1,1,1,1
3,315345,-74.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,151,137,0.4756944444444444,329.68661383812184,197.12478864276085,11.067006805049784,655.977419011903,124.84367175576061,239,74.0,22,359,7,115,58,179,0.0005000000000001874,1,1,1,1,1,1,1
4,316345,149.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,138,143,0.5088967971530249,361.32511805374975,210.49381683786797,18.396518633717015,1075.1007824162607,152.08948657422883,304,-149.0,33,357,11,89,55,202,0.0005000000000001874,1,1,1,1,1,1,1
5,317345,-200.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,153,124,0.44765342960288806,335.4024451848153,199.76791785360237,10.790077922669727,1118.6676708029627,126.39784038075321,251,200.0,30,352,7,98,46,201,0.0005000000000001874,1,1,1,1,1,1,1
6,318345,33.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,144,138,0.48936170212765956,347.3419052858495,207.51296399863114,8.83969723567143,1120.7410213355092,130.76134924175673,271,-33.0,31,360,21,99,46,194,0.0005000000000001874,1,1,1,1,1,1,1
7,319345,-347.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.83899971142574,197.9642207888384,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,7,87,71,192,0.0005000000000001874,1,1,1,1,1,1,1
8,320345,283.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,132,151,0.5335689045936396,363.0831209860563,221.42786015205675,12.505778783697268,963.9561495141293,150.57266652830006,285,-283.0,31,358,42,100,21,195,0.0005000000000001874,1,1,1,1,1,1,1
9,321345,56.0,26,0.0217866984159696,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,140,136,0.4927536231884058,346.55010953996987,204.26371987311015,12.324706307787704,1002.2974992667457,142.01650264372986,297,-56.0,32,354,37,95,23,199,0.0005000000000001874,1,1,1,1,1,1,1
