label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,0,312345,,,,26,,312345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,487,271,161,110,0.4059040590405904,312.11579148431093,185.99367853600273,8.950989732365354,782.2150051281255,109.3254777929539,217,408.0,34,350,45,248,33,24,0.05,1,1,1,1,1,1,1
,,1,313345,,,,26,,313345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,336.00391653486184,201.21977765931575,17.187548032176835,1204.4668108825322,135.416784777984,282,307.0,31,357,9,135,202,11,0.05,1,1,1,1,1,1,1
,,2,314345,,,,26,,314345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,561,276,134,142,0.5144927536231884,367.49222833261905,221.9046420878663,12.633594345573625,942.7479041066559,148.05837788147468,286,-173.0,31,359,7,95,222,35,0.05,1,1,1,1,1,1,1
,,3,315345,,,,26,,315345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,329.95937423227343,198.97839501741058,11.067006805049784,655.977419011903,124.84367175576061,239,274.0,22,359,13,129,205,12,0.05,1,1,1,1,1,1,1
,,4,316345,,,,26,,316345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,584,281,133,148,0.5266903914590747,374.7583268761924,225.4931869024178,18.396518633717015,847.6440227875798,152.08948657422883,304,-249.0,33,357,27,179,121,30,0.05,1,1,1,1,1,1,1
,,5,317345,,,,26,,317345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.4303962820691,201.28502556071663,10.790077922669727,1044.4442752146092,126.39784038075321,251,240.0,30,352,2,32,248,70,0.05,1,1,1,1,1,1,1
,,6,318345,,,,26,,318345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,552,282,149,133,0.4716312056737589,347.80483207294725,202.0874394460221,8.83969723567143,1000.2430306151637,130.76134924175673,271,67.0,31,360,95,13,207,45,0.05,1,1,1,1,1,1,1
,,7,319345,,,,26,,319345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,552,278,149,129,0.46402877697841727,339.91619582071985,200.28037943643196,11.613480675584368,964.8701965917235,132.63484639295993,274,107.0,31,357,119,0,230,8,0.05,1,1,1,1,1,1,1
,,8,320345,,,,26,,320345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,567,283,144,139,0.4911660777385159,364.3866242729546,232.7043810747258,14.103620939431089,1138.6455142313466,150.57266652830006,285,-43.0,31,358,128,24,193,13,0.05,1,1,1,1,1,1,1
,,9,321345,,,,26,,321345,1440,4,8,0.9,175.214912,758.004,933.218912,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,346.8807864539686,207.52177753658896,12.324706307787704,948.1399454287478,142.01650264372986,297,4.0,32,354,274,11,20,49,0.05,1,1,1,1,1,1,1
