replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-628.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,312345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,487,271,172,99,0.36531365313653136,310.5047751418925,180.49497024015875,8.950989732365354,915.7892087748689,109.3254777929539,217,628.0,34,350,66,117,147,20,0.08190520913734446,1,1,1,1,1,1,1
1,313345,-327.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,313345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,562,280,161,119,0.425,340.6811478184015,212.75801171973134,17.187548032176835,1087.9615755915688,135.416784777984,282,327.0,31,357,45,160,124,28,0.08190520913734446,1,1,1,1,1,1,1
2,314345,213.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,314345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,561,276,132,144,0.5217391304347826,374.2978192504812,237.518760952691,12.633594345573625,955.3170768725124,148.05837788147468,286,-213.0,31,359,111,211,0,37,0.08190520913734446,1,1,1,1,1,1,1
3,315345,-254.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,315345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,526,288,160,128,0.4444444444444444,329.7161896150736,200.2233586980889,11.067006805049784,655.977419011903,124.84367175576061,239,254.0,22,359,162,86,33,78,0.08190520913734446,1,1,1,1,1,1,1
4,316345,169.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,316345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,584,281,137,144,0.5124555160142349,372.51736124429823,223.90134379694004,18.396518633717015,932.6566133881975,152.08948657422883,304,-169.0,33,357,43,94,78,142,0.08190520913734446,1,1,1,1,1,1,1
5,317345,-240.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,317345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.40244518481524,204.48158904258585,10.790077922669727,1069.2161448596307,126.39784038075321,251,240.0,30,352,12,55,0,285,0.08190520913734446,1,1,1,1,1,1,1
6,318345,-227.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,318345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,552,282,157,125,0.4432624113475177,347.2901572625792,206.47008341314748,8.83969723567143,1120.7410213355092,130.76134924175673,271,227.0,31,360,39,92,21,208,0.08190520913734446,1,1,1,1,1,1,1
7,319345,-347.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,319345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.83899971142574,201.6888551560424,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,11,147,7,192,0.08190520913734446,1,1,1,1,1,1,1
8,320345,223.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,320345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,567,283,135,148,0.5229681978798587,367.0245805096959,233.4734539691179,14.103620939431089,963.3530609574703,150.57266652830006,285,-223.0,31,358,13,251,1,93,0.08190520913734446,1,1,1,1,1,1,1
9,321345,136.0,24,0.2693419109556473,0.5,0.08190520913734446,224.90010955332414,1440.0,0.9975009351882127,0.08190520913734446,,,,,,,321345,1440.0,4,8,0.9,1664.9001095533242,q_learning,False,,simulation ended,572,276,136,140,0.5072463768115942,352.2954286779025,220.34441284180443,12.324706307787704,798.8989075125816,142.01650264372986,297,-136.0,32,354,4,269,81,0,0.08190520913734446,1,1,1,1,1,1,1
