replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-528.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,167,104,0.3837638376383764,310.53027010829663,182.5361159172069,8.950989732365354,858.2987919396725,109.3254777929539,217,528.0,34,350,4,158,2,186,0.044318496286481976,1,1,1,1,1,1,1
1,313345,-287.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.8890363506502,200.46211780927786,11.817236253798981,1204.4668108825322,135.416784777984,282,287.0,31,357,3,139,11,204,0.044318496286481976,1,1,1,1,1,1,1
2,314345,133.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,136,140,0.5072463768115942,365.6181235750872,221.18390671161418,12.633594345573625,759.0760898479389,148.05837788147468,286,-133.0,31,359,10,123,14,212,0.044318496286481976,1,1,1,1,1,1,1
3,315345,-254.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,160,128,0.4444444444444444,329.68661383812184,200.97600559170778,11.067006805049784,655.977419011903,124.84367175576061,239,254.0,22,359,18,138,1,202,0.044318496286481976,1,1,1,1,1,1,1
4,316345,149.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,138,143,0.5088967971530249,361.24527944439416,212.94066179796062,18.396518633717015,1039.6574062749069,152.08948657422883,304,-149.0,33,357,82,79,12,184,0.044318496286481976,1,1,1,1,1,1,1
5,317345,-240.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.40244518481524,203.22658937552401,10.790077922669727,1006.3665999381559,126.39784038075321,251,240.0,30,352,14,57,10,271,0.044318496286481976,1,1,1,1,1,1,1
6,318345,-7.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,347.7237054346251,208.60683168021828,8.83969723567143,1091.506626128232,130.76134924175673,271,7.0,31,360,15,85,31,229,0.044318496286481976,1,1,1,1,1,1,1
7,319345,-327.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,340.2205302312603,198.70861784744244,11.613480675584368,983.7717102060137,132.63484639295993,274,327.0,31,357,10,87,63,197,0.044318496286481976,1,1,1,1,1,1,1
8,320345,243.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,134,149,0.5265017667844523,363.0831209860563,223.51252511997671,14.103620939431089,916.9683425839416,150.57266652830006,285,-243.0,31,358,34,116,28,180,0.044318496286481976,1,1,1,1,1,1,1
9,321345,16.0,23,0.012393187517044553,0.11661279332289821,0.04431849628648157,175.214912,758.004,0.9968884976226223,0.04431849628648157,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,346.51410173013454,203.69636772395884,12.324706307787704,991.9676256944584,142.01650264372986,297,-16.0,32,354,205,74,70,5,0.044318496286481976,1,1,1,1,1,1,1
