replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-628.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,172,99,0.36531365313653136,310.5047751418924,181.67195680836303,8.950989732365354,858.2987919396725,109.3254777929539,217,628.0,34,350,5,141,188,16,0.0005,1,1,1,1,1,1,1
1,313345,-307.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,334.8878264420991,199.41035546291863,17.187548032176835,1204.4668108825322,135.416784777984,282,307.0,31,357,3,128,220,6,0.0005,1,1,1,1,1,1,1
2,314345,173.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,134,142,0.5144927536231884,366.01316616720925,219.43402461856778,12.633594345573625,757.3597766994299,148.05837788147468,286,-173.0,31,359,8,89,238,24,0.0005,1,1,1,1,1,1,1
3,315345,-294.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,162,126,0.4375,329.95937423227343,200.08418581028852,11.067006805049784,655.977419011903,124.84367175576061,239,294.0,22,359,11,134,204,10,0.0005,1,1,1,1,1,1,1
4,316345,49.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,143,138,0.49110320284697506,361.7746752606405,212.82227935901673,18.396518633717015,1062.916918478226,152.08948657422883,304,-49.0,33,357,30,87,197,43,0.0005,1,1,1,1,1,1,1
5,317345,-220.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,154,123,0.44404332129963897,335.43039628206907,201.3916666081032,10.790077922669727,1044.4442752146092,126.39784038075321,251,220.0,30,352,11,100,29,212,0.0005,1,1,1,1,1,1,1
6,318345,-7.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,347.3419052858495,210.27980292138096,8.83969723567143,1120.7410213355092,130.76134924175673,271,7.0,31,360,9,130,9,212,0.0005,1,1,1,1,1,1,1
7,319345,-347.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.83899971142574,201.59541164666203,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,3,112,14,228,0.0005,1,1,1,1,1,1,1
8,320345,223.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,135,148,0.5229681978798587,365.29009434992736,231.60463458214804,14.103620939431089,1012.0835169616212,150.57266652830006,285,-223.0,31,358,16,118,34,190,0.0005,1,1,1,1,1,1,1
9,321345,56.0,24,0.030519903611056734,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,140,136,0.4927536231884058,346.5501095399698,208.89571414660412,12.324706307787704,1002.2974992667457,142.01650264372986,297,-56.0,32,354,4,76,11,263,0.0005,1,1,1,1,1,1,1
