replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-848.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,183,88,0.3247232472324723,310.5613309715242,186.25136765944094,8.950989732365354,997.6433225851245,109.3254777929539,217,848.0,34,350,0,1,195,154,0.0005000000000001874,1,1,1,1,1,1,1
1,313345,-447.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,167,113,0.4035714285714286,335.2000756054481,201.36588076399346,11.817236253798981,1088.4022945918748,135.416784777984,282,447.0,31,357,7,2,208,140,0.0005000000000001874,1,1,1,1,1,1,1
2,314345,-187.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,152,124,0.4492753623188406,365.4077416101423,218.86021887108467,10.768648519648394,794.4874481169156,148.05837788147468,286,187.0,31,359,10,8,228,113,0.0005000000000001874,1,1,1,1,1,1,1
3,315345,-574.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,176,112,0.3888888888888889,330.1285328913026,202.6639639182034,11.067006805049784,950.6175290659335,124.84367175576061,239,574.0,22,359,0,0,196,163,0.0005000000000001874,1,1,1,1,1,1,1
4,316345,-51.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,148,133,0.47330960854092524,361.3692820143409,213.20463567328204,18.396518633717015,1055.8085101943752,152.08948657422883,304,51.0,33,357,4,1,249,103,0.0005000000000001874,1,1,1,1,1,1,1
5,317345,-440.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,165,112,0.4043321299638989,334.4698413919339,199.36219219686134,10.790077922669727,1021.0136416543834,126.39784038075321,251,440.0,30,352,1,0,224,127,0.0005000000000001874,1,1,1,1,1,1,1
6,318345,-187.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,155,127,0.450354609929078,347.7004677474524,206.51846619210693,8.83969723567143,1053.7369070714562,130.76134924175673,271,187.0,31,360,8,3,217,132,0.0005000000000001874,1,1,1,1,1,1,1
7,319345,-327.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,339.7538873876671,198.61073506758774,11.613480675584368,1044.3458508285476,132.63484639295993,274,327.0,31,357,14,0,222,121,0.0005000000000001874,1,1,1,1,1,1,1
8,320345,-137.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,153,130,0.45936395759717313,362.7216417656367,227.92807121321295,14.103620939431089,1066.0812896093398,150.57266652830006,285,137.0,31,358,7,4,255,92,0.0005000000000001874,1,1,1,1,1,1,1
9,321345,-224.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,154,122,0.4420289855072464,346.0631420939655,203.87112265848464,12.324706307787704,956.3545582091127,142.01650264372986,297,224.0,32,354,9,0,247,98,0.0005000000000001874,1,1,1,1,1,1,1
10,322345,-681.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,322345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,297,186,111,0.37373737373737376,312.61922693151416,204.0007655633766,12.841325965380715,966.8512775015253,126.82927581498983,264,681.0,23,351,8,0,176,167,0.0005000000000001874,1,1,1,1,1,1,1
11,323345,229.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,323345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,255,121,134,0.5254901960784314,402.63847968423164,223.92796494993266,9.889845300335054,1130.2070431065026,148.23287656560672,274,-229.0,33,351,0,1,236,114,0.0005000000000001874,1,1,1,1,1,1,1
12,324345,-465.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,324345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,539,278,166,112,0.4028776978417266,331.61782258124873,178.04828796480078,11.679415142383341,885.5065771987861,120.2577648862026,262,465.0,25,358,8,0,230,120,0.0005000000000001874,1,1,1,1,1,1,1
13,325345,-170.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,325345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,573,278,152,126,0.45323741007194246,367.35332233124603,216.31035337189553,11.314777878645003,1125.9757227724263,150.52665345943666,295,170.0,30,357,1,3,208,145,0.0005000000000001874,1,1,1,1,1,1,1
14,326345,-388.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,326345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,535,281,165,116,0.4128113879003559,343.19961615047737,203.6331469678873,12.17802885191329,1028.3303936826849,133.06154947202782,255,388.0,34,357,10,0,245,102,0.0005000000000001874,1,1,1,1,1,1,1
15,327345,-423.0,25,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,327345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,556,294,171,123,0.41836734693877553,350.4980368138562,208.792371593289,16.544162234716865,1000.2748793681374,136.6186340765332,264,423.0,19,357,15,0,232,110,0.0005000000000001874,1,1,1,1,1,1,1
