replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-588.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,170,101,0.3726937269372694,310.91025649890804,187.68349980328742,8.950989732365354,782.2150051281255,109.3254777929539,217,588.0,34,350,2,250,3,95,0.22,1,1,1,1,1,1,1
1,313345,-247.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,157,123,0.4392857142857143,338.0137527933907,202.59507601593978,17.187548032176835,782.5887783750775,135.416784777984,282,247.0,31,357,1,262,12,82,0.22,1,1,1,1,1,1,1
2,314345,-107.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,148,128,0.463768115942029,365.30896993004643,220.17743048203343,12.633594345573625,794.4874481169156,148.05837788147468,286,107.0,31,359,1,72,9,277,0.22,1,1,1,1,1,1,1
3,315345,-494.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,172,116,0.4027777777777778,330.08286433036767,203.30049455089772,11.067006805049784,853.899298028464,124.84367175576061,239,494.0,22,359,3,88,14,254,0.22,1,1,1,1,1,1,1
4,316345,-91.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,150,131,0.46619217081850534,364.3055139723227,218.21965176972074,18.396518633717015,1065.3841315908924,152.08948657422883,304,91.0,33,357,6,80,34,237,0.22,1,1,1,1,1,1,1
5,317345,-440.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,165,112,0.4043321299638989,334.4698413919339,197.28518312920622,10.790077922669727,1021.0136416543834,126.39784038075321,251,440.0,30,352,6,36,235,75,0.22,1,1,1,1,1,1,1
6,318345,-167.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,154,128,0.45390070921985815,347.70046774745236,206.73910979273617,8.83969723567143,1053.7369070714562,130.76134924175673,271,167.0,31,360,3,30,226,101,0.22,1,1,1,1,1,1,1
7,319345,-327.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,339.7538873876671,199.91272857299256,11.613480675584368,1044.3458508285476,132.63484639295993,274,327.0,31,357,0,10,239,108,0.22,1,1,1,1,1,1,1
8,320345,-77.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,150,133,0.46996466431095407,364.3866242729546,238.3729755035651,12.505778783697268,1162.7844170957462,150.57266652830006,285,77.0,31,358,5,77,205,71,0.22,1,1,1,1,1,1,1
9,321345,-224.0,20,0.005,0.2,0.22,175.214912,758.004,0.9849727754527325,0.22,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,154,122,0.4420289855072464,346.0631420939655,205.2819957379502,12.324706307787704,956.3545582091127,142.01650264372986,297,224.0,32,354,0,47,239,68,0.22,1,1,1,1,1,1,1
