replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-668.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,174,97,0.35793357933579334,314.40906254499237,186.50803575435822,8.950989732365354,677.9672729854948,109.3254777929539,217,668.0,34,350,76,100,50,124,0.022484581634071896,1,1,1,1,1,1,1
1,313345,-407.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,165,115,0.4107142857142857,341.5306156576658,206.07126981310688,17.187548032176835,975.4017996548259,135.416784777984,282,407.0,31,357,162,47,24,124,0.022484581634071896,1,1,1,1,1,1,1
2,314345,33.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,141,135,0.4891304347826087,376.62066531051187,235.24400488883418,10.768648519648394,973.4413960513159,148.05837788147468,286,-33.0,31,359,66,117,44,132,0.022484581634071896,1,1,1,1,1,1,1
3,315345,-414.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,168,120,0.4166666666666667,334.56749836717205,203.74335306723998,11.067006805049784,719.5443152062571,124.84367175576061,239,414.0,22,359,87,124,35,113,0.022484581634071896,1,1,1,1,1,1,1
4,316345,49.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,143,138,0.49110320284697506,375.69217578931523,227.00819285040035,18.396518633717015,1035.0336999023955,152.08948657422883,304,-49.0,33,357,100,55,49,153,0.022484581634071896,1,1,1,1,1,1,1
5,317345,-240.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,340.7736225700397,202.3885925669389,10.790077922669727,826.5641568825887,126.39784038075321,251,240.0,30,352,67,133,44,108,0.022484581634071896,1,1,1,1,1,1,1
6,318345,-67.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,149,133,0.4716312056737589,353.4361438190424,210.20026627361946,8.83969723567143,897.1297515590783,130.76134924175673,271,67.0,31,360,120,35,59,146,0.022484581634071896,1,1,1,1,1,1,1
7,319345,-307.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,159,119,0.42805755395683454,346.10308177333,207.62328830906745,11.613480675584368,990.4179299068298,132.63484639295993,274,307.0,31,357,71,46,107,133,0.022484581634071896,1,1,1,1,1,1,1
8,320345,-97.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,151,132,0.4664310954063604,370.389175891819,234.53544448522666,14.103620939431089,1039.0254032370428,150.57266652830006,285,97.0,31,358,38,54,152,114,0.022484581634071896,1,1,1,1,1,1,1
9,321345,-64.0,20,0.0001,0.95,0.022484581634071837,175.214912,758.004,0.9627617953322517,0.022484581634071837,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,146,130,0.47101449275362317,355.974764109307,217.66258179303304,12.324706307787704,936.5076010765995,142.01650264372986,297,64.0,32,354,54,36,77,187,0.022484581634071896,1,1,1,1,1,1,1
