replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-508.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,166,105,0.3874538745387454,310.53027010829663,182.53712456314176,8.950989732365354,915.7892087748689,109.3254777929539,217,508.0,34,350,5,100,18,227,0.022883648393644627,1,1,1,1,1,1,1
1,313345,-287.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.88903635065014,199.47978893364188,17.187548032176835,1204.4668108825322,135.416784777984,282,287.0,31,357,3,67,20,267,0.022883648393644627,1,1,1,1,1,1,1
2,314345,253.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,130,146,0.5289855072463768,366.0088588996904,219.90898933889525,10.768648519648394,757.3597766994299,148.05837788147468,286,-253.0,31,359,7,47,56,249,0.022883648393644627,1,1,1,1,1,1,1
3,315345,-274.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,329.95937423227343,199.6463186074711,11.067006805049784,655.977419011903,124.84367175576061,239,274.0,22,359,11,89,197,62,0.022883648393644627,1,1,1,1,1,1,1
4,316345,89.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,141,140,0.498220640569395,361.2565729116759,211.40080549118895,18.396518633717015,1032.3434127467115,152.08948657422883,304,-89.0,33,357,18,39,237,63,0.022883648393644627,1,1,1,1,1,1,1
5,317345,-240.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.4024451848153,198.9931139218886,10.790077922669727,1006.3665999381559,126.39784038075321,251,240.0,30,352,11,82,246,13,0.022883648393644627,1,1,1,1,1,1,1
6,318345,-7.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,347.3333100003585,207.45348849110962,8.83969723567143,1120.7410213355092,130.76134924175673,271,7.0,31,360,9,95,244,12,0.022883648393644627,1,1,1,1,1,1,1
7,319345,-287.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,158,120,0.4316546762589928,339.7948882120416,201.17670467150063,11.613480675584368,1044.3458508285476,132.63484639295993,274,287.0,31,357,5,11,212,129,0.022883648393644627,1,1,1,1,1,1,1
8,320345,-97.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,151,132,0.4664310954063604,362.62771882440717,229.08463822979317,14.103620939431089,1058.8647078563326,150.57266652830006,285,97.0,31,358,12,15,251,80,0.022883648393644627,1,1,1,1,1,1,1
9,321345,-224.0,20,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,154,122,0.4420289855072464,346.0631420939655,204.00466195526735,12.324706307787704,956.3545582091127,142.01650264372986,297,224.0,32,354,205,7,46,96,0.022883648393644627,1,1,1,1,1,1,1
