trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.33571658954024314,0.35368744730949403,0.17207494497299194,63.1649374961853,406.5617823600769,0.9825556931504772,0.17207494497299194,-120.2,234.795797804532,-120.2,120.2,234.795797804532,0.4617912299504689,10,981.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_000
1,0.4114374960493296,0.6943753310944885,0.020385747849941255,268.20145547389984,1305.8517596125603,0.9618188106524594,0.020385747849941255,-102.2,201.55881413511926,-120.2,102.2,201.55881413511926,0.4651191774890906,10,721.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_001
2,0.5766912516672164,0.5426170458551496,0.1672482493147254,176.2079757452011,1698.2664909213781,0.9822761872013857,0.1672482493147254,-138.2,220.60764568195123,-138.2,138.2,220.60764568195123,0.45856982093951826,10,901.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_002
3,0.17587176479399202,0.880329107446596,0.11893726743757725,291.1761689186096,851.0599346458912,0.9789334748626449,0.11893726743757725,-64.2,187.86094147888574,-138.2,64.2,187.86094147888574,0.47185510168014666,10,1061.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_003
4,0.037635530657134944,0.42084177331998945,0.046680364832282065,353.15774500370026,573.2359649240971,0.9698204608147167,0.046680364832282065,-122.2,182.42611898762985,-138.2,122.2,182.42611898762985,0.4614350029650991,10,1041.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_004
5,0.6141597911948338,0.8318422458134591,0.19577842306345702,158.13082337379456,1550.872208699584,0.9838245334078838,0.19577842306345702,-120.2,270.8180200799053,-138.2,120.2,270.8180200799053,0.46213219828436436,10,941.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_005
6,0.45906184450257564,0.23486221982166172,0.0926416863501072,206.22065663337708,1161.9325652718544,0.9764905944410276,0.0926416863501072,-204.2,193.0876600004372,-204.2,204.2,193.0876600004372,0.4467217015763342,10,901.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_006
7,0.20900153725873677,0.6428868764080107,0.14354344967752694,81.24252378940582,132.21288956701756,0.9807760087054676,0.14354344967752694,-44.2,217.39508325217986,-204.2,44.2,217.39508325217986,0.4754008096919903,10,821.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_007
8,0.23264182947576045,0.5056744222994893,0.07778663717210293,129.46542710065842,1207.1918908506632,0.9747854765809798,0.07778663717210293,-80.2,202.2983495291601,-204.2,80.2,202.2983495291601,0.46907925740313344,10,1101.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_008
9,0.5255416376609355,0.9166343934368342,0.1287342692539096,324.4775655865669,505.2383378148079,0.9797086481998128,0.1287342692539096,-52.2,227.4285235702271,-204.2,52.2,227.4285235702271,0.4739450299381455,10,941.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_009
10,0.7,0.2,0.07731098921683588,356.22588721689215,1664.8348880812266,0.9747256894695805,0.07731098921683588,-38.2,251.17713979491757,-204.2,38.2,251.17713979491757,0.47654363547605455,10,841.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_010
11,0.6964608898248177,0.2,0.07704615561154772,114.14126661986965,1322.9305873624364,0.974692242887866,0.07704615561154772,-50.2,231.37309936790643,-204.2,50.2,231.37309936790643,0.47422615934463347,10,861.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_011
12,0.4077119448191418,0.2,0.1892810798331334,257.4062461548156,1597.1164453739939,0.9834925445227638,0.1892810798331334,-118.2,216.76654108356607,-204.2,118.2,216.76654108356607,0.46204757400504104,10,961.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_012
13,0.4360880424539749,0.2,0.02,73.73283337047616,1732.9931731116126,0.9616350847573034,0.02,-46.2,201.4551507849273,-204.2,46.2,201.4551507849273,0.4749509142145599,10,741.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_013
14,0.512620722140935,0.2,0.11307864160577052,217.45845988202208,163.51393752948383,0.9784391142982505,0.11307864160577052,-86.2,220.5290608211686,-204.2,86.2,220.5290608211686,0.46786219388812367,10,761.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_014
15,0.10110193653862673,0.2,0.02,239.07808599480092,1116.0234974541916,0.9616350847573034,0.02,-46.2,141.31823818759008,-204.2,46.2,141.31823818759008,0.47518561619636435,10,1101.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_015
16,0.43313136870123514,0.2,0.22,168.61210977677678,1176.1610933019176,0.9849727754527325,0.22,-116.2,224.28592862187716,-204.2,116.2,224.28592862187716,0.46252002441114026,10,921.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_016
17,0.5520647509508394,0.2,0.02,236.32193096877157,952.8230724312061,0.9616350847573034,0.02,-160.2,252.77165804557896,-204.2,160.2,252.77165804557896,0.45458823126653486,10,741.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_017
18,0.5133558832741578,0.2,0.05497528467181893,213.55416570144368,1800.0,0.9714079979839085,0.05497528467181893,-172.2,240.0910938234347,-204.2,172.2,240.0910938234347,0.45264446357683186,10,821.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_018
19,0.6837714542577056,0.2,0.18673804457485096,226.20171664786469,1655.8090815132946,0.9833595233521737,0.18673804457485096,-44.2,253.6983335468415,-204.2,44.2,253.6983335468415,0.475302941791492,10,921.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_019
20,0.4834596573738612,0.7911814833491072,0.037568371446839464,189.19829170758317,1790.8416663617936,0.9677166730535479,0.037568371446839464,-134.2,345.72718853004443,-204.2,134.2,345.72718853004443,0.45920292748624325,10,1081.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_020
21,0.402956174547997,0.2,0.02,241.4931341005037,1230.725677759125,0.9616350847573034,0.02,-146.2,222.63512750686942,-204.2,146.2,222.63512750686942,0.4571072346135523,10,701.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_021
22,0.46891305003699557,0.8297504970917017,0.02,183.849796431693,505.87455353395654,0.9616350847573034,0.02,-184.2,241.50123073070344,-204.2,184.2,241.50123073070344,0.45043234854923037,10,641.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_022
23,0.5870283307170413,0.95,0.02,228.26485655209893,1379.4300573842806,0.9616350847573034,0.02,-86.2,249.2784253266482,-204.2,86.2,249.2784253266482,0.46793140787353477,10,1121.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_023
24,0.42340029896197434,0.95,0.22,175.143542817309,1757.1415973579933,0.9849727754527325,0.22,-92.2,210.71138765830594,-204.2,92.2,210.71138765830594,0.4670344283666134,10,1001.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_024
25,0.42652157248141853,0.2,0.02,166.23571503298044,188.47753994846207,0.9616350847573034,0.02,-168.2,232.71575413414155,-204.2,168.2,232.71575413414155,0.45322309077029194,10,681.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_025
26,0.5202611720638629,0.95,0.02,110.79346434913994,255.18243911327005,0.9616350847573034,0.02,-88.2,213.49202431108392,-204.2,88.2,213.49202431108392,0.4676116178192675,10,1121.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_026
27,0.4588904745479507,0.95,0.2120176154816699,165.95499070077642,120.0,0.9846088146703293,0.2120176154816699,-210.2,251.30804470476733,-210.2,210.2,251.30804470476733,0.4458693233313783,10,981.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_027
28,0.005,0.2,0.22,40.0,1800.0,0.9849727754527325,0.22,-66.2,167.15182719112985,-210.2,66.2,167.15182719112985,0.4715971978559848,10,1081.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_028
29,0.40289253748340637,0.95,0.22,223.94011825830577,120.0,0.9849727754527325,0.22,-124.2,192.70749279095966,-210.2,124.2,192.70749279095966,0.46113765460880785,10,961.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_029
30,0.3471767061390148,0.2,0.22,194.63552113559138,120.0,0.9849727754527325,0.22,-270.2,173.05156585377796,-270.2,270.2,173.05156585377796,0.4350092805365525,10,881.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_030
31,0.4489054523687819,0.2,0.22,174.90872471407107,120.0,0.9849727754527325,0.22,-128.2,226.04070429902663,-270.2,128.2,226.04070429902663,0.4604907872948405,10,941.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_031
32,0.3580231255209477,0.2,0.02,204.12141190053597,120.0,0.9616350847573034,0.02,-198.2,176.12167511253247,-270.2,198.2,176.12167511253247,0.44800646747082296,10,721.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_032
33,0.3254865782431345,0.941400937373583,0.02,187.42797395044624,120.0,0.9616350847573034,0.02,-226.2,267.7431605102173,-270.2,226.2,267.7431605102173,0.4429030182687123,10,1081.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_033
34,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,-118.2,269.6766788417402,-270.2,118.2,269.6766788417402,0.4620358966517163,10,1181.0,91,303345,19,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_034
35,0.4292923238629415,0.2,0.02,213.17268846977245,120.0,0.9616350847573034,0.02,-74.2,218.49627507630927,-270.2,74.2,218.49627507630927,0.4701292121053136,10,687.0,75,287345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_035
36,0.2783340360558158,0.2,0.02,360.0,120.0,0.9616350847573034,0.02,-80.2,286.8064775341651,-270.2,80.2,286.8064775341651,0.4690504764157982,10,727.0,75,287345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_036
37,0.3266228930831382,0.95,0.22,172.3941173642554,120.0,0.9849727754527325,0.22,-230.2,204.97197640436391,-270.2,230.2,204.97197640436391,0.4423066221235253,10,1061.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_037
38,0.32518836135799967,0.2,0.22,197.79659376166578,1638.0726499302673,0.9849727754527325,0.22,-180.2,182.76931422485075,-270.2,180.2,182.76931422485075,0.451164291756713,10,961.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_100x100/stage1/trial_038
