replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-688.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,312345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,487,271,175,96,0.35424354243542433,309.89965692410317,181.97063460789812,8.950989732365354,958.1388504793879,109.3254777929539,217,688.0,34,350,62,14,71,203,0.22,1,1,1,1,1,1,1
1,313345,-47.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,313345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,562,280,147,133,0.475,337.4835923738167,198.98586388971057,17.187548032176835,973.1075709835659,135.416784777984,282,47.0,31,357,6,19,192,140,0.22,1,1,1,1,1,1,1
2,314345,-7.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,314345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,561,276,143,133,0.48188405797101447,365.3772890491626,217.34637397651582,10.768648519648394,777.0849836028766,148.05837788147468,286,7.0,31,359,20,10,321,8,0.22,1,1,1,1,1,1,1
3,315345,-194.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,315345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,526,288,157,131,0.4548611111111111,330.4002734370292,196.40444541584841,11.067006805049784,772.7530932132285,124.84367175576061,239,194.0,22,359,65,39,238,17,0.22,1,1,1,1,1,1,1
4,316345,229.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,316345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,584,281,134,147,0.5231316725978647,369.13159933154986,215.29042708238956,18.396518633717015,750.8437254213907,152.08948657422883,304,-229.0,33,357,233,85,3,36,0.22,1,1,1,1,1,1,1
5,317345,-260.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,317345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,527,277,156,121,0.4368231046931408,334.36459766550945,196.40683920323517,10.790077922669727,1033.7710052485486,126.39784038075321,251,260.0,30,352,291,12,1,48,0.22,1,1,1,1,1,1,1
6,318345,-107.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,318345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,552,282,151,131,0.4645390070921986,346.86225161911483,202.52659947276405,8.83969723567143,1021.2561041719118,130.76134924175673,271,107.0,31,360,302,31,8,19,0.22,1,1,1,1,1,1,1
7,319345,-347.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,319345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.83899971142574,198.59876356610528,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,215,73,30,39,0.22,1,1,1,1,1,1,1
8,320345,103.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,320345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,567,283,141,142,0.5017667844522968,367.6590676429945,231.20336257871787,14.103620939431089,963.3530609574703,150.57266652830006,285,-103.0,31,358,101,188,31,38,0.22,1,1,1,1,1,1,1
9,321345,136.0,19,0.25476427333650614,0.2,0.22,180.9810744274877,120.0,0.9849727754527325,0.22,,,,,,,321345,1440.0,4,8,0.9,300.98107442748767,q_learning,False,,simulation ended,572,276,136,140,0.5072463768115942,353.069763987375,217.5726189427494,12.324706307787704,881.0134353766297,142.01650264372986,297,-136.0,32,354,60,253,16,25,0.22,1,1,1,1,1,1,1
