replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-688.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,312345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,487,271,175,96,0.35424354243542433,310.28812994149257,183.7982359186149,8.950989732365354,967.723715470422,109.3254777929539,217,688.0,34,350,5,3,48,294,0.020000000000004278,1,1,1,1,1,1,1
1,313345,-207.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,313345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,562,280,155,125,0.44642857142857145,335.37554245579213,196.99619723766705,11.817236253798981,1016.8504341188846,135.416784777984,282,207.0,31,357,14,3,49,291,0.020000000000004278,1,1,1,1,1,1,1
2,314345,-47.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,314345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,561,276,145,131,0.4746376811594203,365.0135198649995,217.73437106036704,12.633594345573625,762.0369849223316,148.05837788147468,286,47.0,31,359,22,4,23,310,0.020000000000004278,1,1,1,1,1,1,1
3,315345,-574.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,315345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,526,288,176,112,0.3888888888888889,330.34343235982607,199.51388694445603,11.067006805049784,853.899298028464,124.84367175576061,239,574.0,22,359,11,1,54,293,0.020000000000004278,1,1,1,1,1,1,1
4,316345,-51.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,316345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,584,281,148,133,0.47330960854092524,361.4731110730075,210.3600049636415,18.396518633717015,1104.2628709581065,152.08948657422883,304,51.0,33,357,29,1,52,275,0.020000000000004278,1,1,1,1,1,1,1
5,317345,-160.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,317345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,527,277,151,126,0.4548736462093863,334.4760355426063,195.44108858732292,10.790077922669727,1021.451519171572,126.39784038075321,251,160.0,30,352,11,7,50,284,0.020000000000004278,1,1,1,1,1,1,1
6,318345,-247.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,318345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,552,282,158,124,0.4397163120567376,347.9565755842159,204.29754945486002,8.83969723567143,1029.5718137257772,130.76134924175673,271,247.0,31,360,18,5,30,307,0.020000000000004278,1,1,1,1,1,1,1
7,319345,-207.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,319345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,552,278,154,124,0.4460431654676259,339.97324003846404,200.349214285515,11.613480675584368,988.7785429909302,132.63484639295993,274,207.0,31,357,17,0,49,291,0.020000000000004278,1,1,1,1,1,1,1
8,320345,-57.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,320345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,567,283,149,134,0.4734982332155477,362.44332067608843,231.6605264840715,14.103620939431089,1046.779135933792,150.57266652830006,285,57.0,31,358,11,1,31,315,0.020000000000004278,1,1,1,1,1,1,1
9,321345,-284.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,321345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,572,276,157,119,0.4311594202898551,346.9365165320378,206.2270534529266,12.324706307787704,945.1195386678169,142.01650264372986,297,284.0,32,354,12,1,33,308,0.020000000000004278,1,1,1,1,1,1,1
10,322345,-581.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,322345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,561,297,181,116,0.39057239057239057,312.71816885000175,201.29130287789573,12.841325965380715,993.9740274871526,126.82927581498983,264,581.0,23,351,15,0,29,307,0.020000000000004278,1,1,1,1,1,1,1
11,323345,369.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,323345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,527,255,114,141,0.5529411764705883,402.6427156280704,220.36911063919794,9.889845300335054,1101.0648391922643,148.23287656560672,274,-369.0,33,351,1,4,29,317,0.020000000000004278,1,1,1,1,1,1,1
12,324345,-465.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,324345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,539,278,166,112,0.4028776978417266,331.6178225812488,173.3391357199175,11.679415142383341,765.7295677819147,120.2577648862026,262,465.0,25,358,12,0,19,327,0.020000000000004278,1,1,1,1,1,1,1
13,325345,-30.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,325345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,573,278,145,133,0.4784172661870504,367.6076977944884,212.17383431162415,11.314777878645003,1073.9568298527256,150.52665345943666,295,30.0,30,357,7,4,48,298,0.020000000000004278,1,1,1,1,1,1,1
14,326345,-248.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,326345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,535,281,158,123,0.4377224199288256,343.3455064475684,202.2159379986089,12.17802885191329,1017.5941576900707,133.06154947202782,255,248.0,34,357,17,0,37,303,0.020000000000004278,1,1,1,1,1,1,1
15,327345,-323.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,327345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,556,294,166,128,0.43537414965986393,350.64990885303195,208.52273014450537,16.544162234716865,1063.5869033422011,136.6186340765332,264,323.0,19,357,32,0,32,293,0.020000000000004278,1,1,1,1,1,1,1
16,328345,6.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,328345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,528,276,144,132,0.4782608695652174,346.3907612033114,191.33854811396085,9.866113810889903,913.7910116995863,129.12384642981777,252,-6.0,42,355,7,0,50,298,0.020000000000004278,1,1,1,1,1,1,1
17,329345,-441.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,329345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,512,284,169,115,0.40492957746478875,311.0108846501915,185.8528796915766,9.879101366234648,895.7332122911301,110.08996564603814,229,441.0,33,358,25,0,35,298,0.020000000000004278,1,1,1,1,1,1,1
18,330345,264.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,330345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,613,276,129,147,0.532608695652174,404.680630284816,231.0338685059568,12.104969750158673,1174.3955981333534,175.8695387715625,338,-264.0,28,355,10,0,23,322,0.020000000000004278,1,1,1,1,1,1,1
19,331345,-796.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,331345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,528,278,183,95,0.34172661870503596,313.2255268229906,201.62999211350535,9.18877988677093,1007.3713344467959,122.75888545668477,250,796.0,28,358,22,0,35,301,0.020000000000004278,1,1,1,1,1,1,1
20,332345,29.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,332345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,595,283,145,138,0.4876325088339223,367.4102571659111,207.9016586933622,11.902551930267954,1080.7634758901645,159.54872356859133,313,-29.0,33,355,9,2,32,312,0.020000000000004278,1,1,1,1,1,1,1
21,333345,-394.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,333345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,531,272,162,110,0.40441176470588236,316.8818470481636,194.83922731368125,11.350712639490974,870.1240300962127,123.75041321105593,262,394.0,42,348,8,11,34,295,0.020000000000004278,1,1,1,1,1,1,1
22,334345,29.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,334345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,554,283,145,138,0.4876325088339223,370.379653073009,207.7472882155865,9.86054462359245,1048.5677850266834,142.12413425519992,272,-29.0,33,359,4,0,25,330,0.020000000000004278,1,1,1,1,1,1,1
23,335345,-585.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,335345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,521,283,176,107,0.37809187279151946,301.08210538214877,181.64236868024318,11.00075071128366,965.5252264366957,114.11354165497497,238,585.0,35,357,18,0,32,307,0.020000000000004278,1,1,1,1,1,1,1
24,336345,56.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,336345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,576,279,140,139,0.4982078853046595,375.8038566358361,202.8195713152326,10.049527712952708,965.8655300608291,149.7635530452347,297,-56.0,22,359,25,0,43,291,0.020000000000004278,1,1,1,1,1,1,1
25,337345,-302.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,337345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,558,288,163,125,0.4340277777777778,337.19090562147267,192.71431273607644,10.287700534497965,1008.0089974554,134.83492285531082,270,302.0,26,356,14,5,38,299,0.020000000000004278,1,1,1,1,1,1,1
26,338345,-1123.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,338345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,505,283,202,81,0.2862190812720848,270.5131240968264,166.8827763687175,12.919051590771486,808.6715915047237,101.01474452687904,223,1123.0,29,358,17,1,78,262,0.020000000000004278,1,1,1,1,1,1,1
27,339345,-230.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,339345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,556,280,156,124,0.44285714285714284,334.65683222181656,204.8440685576621,18.86643466134458,1078.045992955826,132.8785693544596,278,230.0,30,358,34,4,34,286,0.020000000000004278,1,1,1,1,1,1,1
28,340345,-294.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,340345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,570,290,163,127,0.4379310344827586,348.18572050733684,190.3067193354544,11.7425146016126,922.5114079560294,135.13095355104335,280,294.0,22,357,17,0,22,318,0.020000000000004278,1,1,1,1,1,1,1
29,341345,-104.0,26,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,,,,,,,341345,1440.0,4,8,0.9,2007.7220804248782,q_learning,False,,simulation ended,572,286,153,133,0.46503496503496505,359.8311972090733,201.6641107129249,12.492307912519305,1077.4928012613684,146.04426334596488,287,104.0,32,360,18,1,35,306,0.020000000000004278,1,1,1,1,1,1,1
