replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-448.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,312345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,487,271,163,108,0.3985239852398524,310.3854958792072,176.39593578508283,8.950989732365354,876.3236235437255,109.3254777929539,217,448.0,34,350,178,17,42,113,0.005,1,1,1,1,1,1,1
1,313345,-227.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,313345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,562,280,156,124,0.44285714285714284,334.921979419163,194.1577460468529,11.817236253798981,1036.1846537110587,135.416784777984,282,227.0,31,357,193,16,34,114,0.005,1,1,1,1,1,1,1
2,314345,173.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,314345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,561,276,134,142,0.5144927536231884,366.22732338399373,217.35856704752652,12.633594345573625,753.8411952169415,148.05837788147468,286,-173.0,31,359,218,17,23,101,0.005,1,1,1,1,1,1,1
3,315345,-114.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,315345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,526,288,153,135,0.46875,330.00434347875705,195.05925157367005,11.067006805049784,655.977419011903,124.84367175576061,239,114.0,22,359,190,23,59,87,0.005,1,1,1,1,1,1,1
4,316345,289.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,316345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,584,281,131,150,0.5338078291814946,361.33679598043756,210.5655090295434,18.396518633717015,1035.7222313206107,152.08948657422883,304,-289.0,33,357,220,21,46,70,0.005,1,1,1,1,1,1,1
5,317345,-240.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,317345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.40244518481524,200.39121058267804,10.790077922669727,1118.6676708029627,126.39784038075321,251,240.0,30,352,212,16,41,83,0.005,1,1,1,1,1,1,1
6,318345,93.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,318345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,552,282,141,141,0.5,347.8881244518645,203.14614806053763,8.83969723567143,967.6807204370543,130.76134924175673,271,-93.0,31,360,204,19,36,101,0.005,1,1,1,1,1,1,1
7,319345,-467.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,319345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,552,278,167,111,0.39928057553956836,339.47205011290066,199.51337548461942,11.613480675584368,1052.5571110593266,132.63484639295993,274,467.0,31,357,195,5,56,101,0.005,1,1,1,1,1,1,1
8,320345,123.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,320345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,567,283,140,143,0.5053003533568905,363.20029223079274,231.36005417024685,14.103620939431089,1057.2567266793246,150.57266652830006,285,-123.0,31,358,202,69,22,65,0.005,1,1,1,1,1,1,1
9,321345,16.0,23,0.005,0.99,0.005,122.46205529686888,30.0,0.9947156939605025,0.005,,,,,,,321345,1440.0,4,8,0.9,152.46205529686887,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,345.9788501782048,201.97261630289924,12.324706307787704,961.1218513545739,142.01650264372986,297,-16.0,32,354,205,19,61,69,0.005,1,1,1,1,1,1,1
