trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.038120511516928676,0.20262160062789916,0.0609497906267643,175.214912,120.0,0.9972062050708864,0.0609497906267643,-112.2,211.54290344986757,-112.2,112.2,211.54290344986757,0.46324571257584174,10,1242.0,934,1146345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_000
1,0.05090599673138932,0.5507979266345501,0.03592361274408177,175.214912,120.0,0.9966791657447828,0.03592361274408177,-194.2,187.19734091178873,-194.2,194.2,187.19734091178873,0.44853114455217113,10,1122.0,934,1146345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_001
2,0.07094898766577244,0.3196516889706254,0.04927588627161458,175.214912,120.0,0.9969942060315206,0.04927588627161458,-84.2,213.88096377814145,-194.2,84.2,213.88096377814145,0.46827682522818537,10,1142.0,934,1146345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_002
3,0.0176087525867857,0.9037317604012787,0.014677046458702535,175.214912,120.0,0.9957874274104013,0.014677046458702535,-342.2,240.52572050037023,-342.2,342.2,240.52572050037023,0.422054720370299,10,1177.0,718,930345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_003
4,0.0040457176619209355,0.43479626696556806,0.026129471271298825,175.214912,120.0,0.9963619423917609,0.026129471271298825,-266.2,221.72495474248169,-342.2,266.2,221.72495474248169,0.43558501249483417,10,1229.0,518,730345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_004
5,0.06743438779115678,0.790316378865391,0.07074404575116933,175.214912,120.0,0.9973548177712197,0.07074404575116933,-150.2,208.359091740944,-342.2,150.2,208.359091740944,0.4564990601630887,10,1123.0,126,338345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_005
6,0.0001,0.5986752737567634,0.0005,175.214912,120.0,0.9924279113496888,0.0005,-50.2,98.2070375391816,-342.2,50.2,98.2070375391816,0.4743926927094149,10,977.0,718,930345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_006
7,0.024332567761608137,0.9366410686750793,0.022517615557713307,175.214912,120.0,0.9962137287074126,0.022517615557713307,-100.2,199.54436989190037,-342.2,100.2,199.54436989190037,0.4653428357194652,10,1109.0,668,880345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_007
8,0.02771149023142819,0.95,0.011168432725434014,175.214912,120.0,0.9955154218988221,0.011168432725434014,-140.2,259.41849501443716,-342.2,140.2,259.41849501443716,0.4581701793917531,10,1122.0,934,1146345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_008
9,0.012122961167512799,0.744244208169389,0.019019442028463333,175.214912,120.0,0.9960455459691954,0.019019442028463333,-120.2,237.56206206659627,-342.2,120.2,237.56206206659627,0.4618193300423118,10,1183.0,126,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage1/trial_009
