replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-288.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,312345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,487,271,155,116,0.4280442804428044,311.91270878783297,182.8761944038845,8.950989732365354,782.2150051281255,109.3254777929539,217,288.0,34,350,163,148,2,37,0.08,1,1,1,1,1,1,1
1,313345,-87.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,313345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,562,280,149,131,0.46785714285714286,336.53212721481543,196.30764009899454,11.817236253798981,1006.3077196225072,135.416784777984,282,87.0,31,357,132,15,20,190,0.08,1,1,1,1,1,1,1
2,314345,173.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,314345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,561,276,134,142,0.5144927536231884,374.73445588832294,233.5107986468269,12.633594345573625,890.1958522836642,148.05837788147468,286,-173.0,31,359,45,164,118,32,0.08,1,1,1,1,1,1,1
3,315345,-314.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,315345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,526,288,163,125,0.4340277777777778,330.40153073444174,199.9577882224574,11.067006805049784,824.7321602138229,124.84367175576061,239,314.0,22,359,27,58,83,191,0.08,1,1,1,1,1,1,1
4,316345,89.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,316345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,584,281,141,140,0.498220640569395,362.91742540377425,211.9432271260397,18.396518633717015,1076.0385424784645,152.08948657422883,304,-89.0,33,357,227,21,92,17,0.08,1,1,1,1,1,1,1
5,317345,-20.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,317345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,527,277,144,133,0.48014440433212996,334.5146188650319,194.90236301202825,10.790077922669727,1026.4011990726003,126.39784038075321,251,20.0,30,352,51,13,65,223,0.08,1,1,1,1,1,1,1
6,318345,73.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,318345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,282,142,140,0.49645390070921985,347.81545167500394,204.29396292925495,8.83969723567143,1093.7368003308864,130.76134924175673,271,-73.0,31,360,127,29,18,186,0.08,1,1,1,1,1,1,1
7,319345,-107.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,319345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,278,149,129,0.46402877697841727,339.91619582071985,200.16898927300383,11.613480675584368,964.8701965917235,132.63484639295993,274,107.0,31,357,108,8,238,3,0.08,1,1,1,1,1,1,1
8,320345,-37.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,320345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,567,283,148,135,0.47703180212014135,365.3872951053757,238.354009928965,14.103620939431089,1182.437414607199,150.57266652830006,285,37.0,31,358,73,57,210,18,0.08,1,1,1,1,1,1,1
9,321345,176.0,23,0.05482279959679704,0.7296376339637758,0.08,175.214912,120.0,0.9974774583245799,0.08,,,,,,,321345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,572,276,134,142,0.5144927536231884,353.8513189178473,216.85361621470133,12.324706307787704,903.9580064368694,142.01650264372986,297,-176.0,32,354,99,166,70,19,0.08,1,1,1,1,1,1,1
