candidate_rank,source_trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,stage1_objective_mean,stage1_total_reward_mean,objective_mean,objective_std,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,best_evaluation_reward,best_evaluation_replication,best_evaluation_seed,q_table_size,candidate_dir,q_table_path
10,18,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,-332.2,332.2,-352.8333333333333,318.59898947101834,352.8333333333333,318.59898947101834,0.42137013695578074,30,1550.0,3549,3761345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_10_trial_018,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_10_trial_018/q_table.pkl
6,40,0.0051022227669158,0.5086237924286071,0.0370327869125464,175.214912,120.0,0.9996704591479236,0.0370327869125464,-336.2,336.2,-351.5,330.99992186685193,351.5,330.99992186685193,0.42164201491262193,30,1336.0,3149,3361345,1243.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_06_trial_040,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_06_trial_040/q_table.pkl
7,38,0.0045040642369202,0.3431710789378388,0.0340269755234768,175.214912,120.0,0.9996619969687807,0.0340269755234768,-334.2,334.2,-348.1666666666667,311.633857145754,348.1666666666667,311.633857145754,0.42215429250777137,30,1466.0,7830,8042345,1203.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_07_trial_038,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_07_trial_038/q_table.pkl
2,61,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,-344.2,344.2,-332.8333333333333,308.11631070026175,332.8333333333333,308.11631070026175,0.4249027020318878,30,1380.0,4392,4604345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_02_trial_061,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_02_trial_061/q_table.pkl
3,3,0.0176087525867857,0.9037317604012788,0.0146770464587025,175.214912,120.0,0.9995779420444327,0.0146770464587025,-342.2,342.2,-238.16666666666666,291.49638707565646,238.16666666666666,291.49638707565646,0.44179966745918037,30,1376.0,9396,9608345,763.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_03_trial_003,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_03_trial_003/q_table.pkl
1,55,0.0171149191326407,0.95,0.0138224217591242,175.214912,120.0,0.9995719453175415,0.0138224217591242,-346.2,346.2,-220.16666666666666,304.2069489937598,220.16666666666666,304.2069489937598,0.44507904532711257,30,1340.0,4392,4604345,963.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_01_trial_055,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_01_trial_055/q_table.pkl
4,72,0.0060061644631011,0.2586296720946688,0.0053622223315081,175.214912,120.0,0.9994772989782271,0.0053622223315081,-342.2,342.2,-159.5,329.8666135858867,159.5,329.8666135858867,0.4558396294421667,30,1335.0,7802,8014345,963.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_04_trial_072,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_04_trial_072/q_table.pkl
9,24,0.0021024381357913,0.3593537741741787,0.0746054530518612,175.214912,120.0,0.9997404795135455,0.0746054530518612,-332.2,332.2,-153.5,323.1679130111775,153.5,323.1679130111775,0.456986733285104,30,1506.0,7830,8042345,923.0,26,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_09_trial_024,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_09_trial_024/q_table.pkl
8,28,0.015455757642946,0.8719511327798988,0.0005,175.214912,120.0,0.999240198549462,0.0005,-332.2,332.2,-143.5,333.3253303636988,143.5,333.3253303636988,0.4587851910472819,30,1426.0,7830,8042345,903.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_08_trial_028,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_08_trial_028/q_table.pkl
5,43,0.0188789763627953,0.95,0.0119319630651844,175.214912,120.0,0.999557244594338,0.0119319630651844,-340.2,340.2,-88.83333333333333,323.0892994240119,88.83333333333333,323.0892994240119,0.46853585896247935,30,1466.0,7830,8042345,983.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_05_trial_043,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_fixed120/stage2/candidate_rank_05_trial_043/q_table.pkl
