replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-608.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,171,100,0.36900369003690037,310.5047751418925,181.89775112889663,8.950989732365354,915.7892087748689,109.3254777929539,217,608.0,34,350,190,142,18,0,0.06877107634956704,1,1,1,1,1,1,1
1,313345,-307.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,334.8878264420991,199.18358216173598,17.187548032176835,1204.4668108825322,135.416784777984,282,307.0,31,357,215,135,4,3,0.06877107634956704,1,1,1,1,1,1,1
2,314345,273.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,129,147,0.532608695652174,366.0088588996904,219.73462093860002,12.633594345573625,759.0760898479389,148.05837788147468,286,-273.0,31,359,241,101,13,4,0.06877107634956704,1,1,1,1,1,1,1
3,315345,-274.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,329.95937423227343,198.9596846003688,11.067006805049784,655.977419011903,124.84367175576061,239,274.0,22,359,222,127,9,1,0.06877107634956704,1,1,1,1,1,1,1
4,316345,89.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,141,140,0.498220640569395,361.2565729116759,211.1424140415525,18.396518633717015,1032.3434127467115,152.08948657422883,304,-89.0,33,357,240,86,31,0,0.06877107634956704,1,1,1,1,1,1,1
5,317345,-200.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,153,124,0.44765342960288806,335.4024451848153,201.36448418199984,10.790077922669727,992.7568064247666,126.39784038075321,251,200.0,30,352,237,103,5,7,0.06877107634956704,1,1,1,1,1,1,1
6,318345,-47.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.33331000035844,208.9498984613145,8.83969723567143,1120.7410213355092,130.76134924175673,271,47.0,31,360,208,133,17,2,0.06877107634956704,1,1,1,1,1,1,1
7,319345,-347.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.83899971142574,201.33951148751544,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,215,139,3,0,0.06877107634956704,1,1,1,1,1,1,1
8,320345,263.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,133,150,0.5300353356890459,369.90387013215474,234.68739801248705,14.103620939431089,1041.8497172205693,150.57266652830006,285,-263.0,31,358,164,126,53,15,0.06877107634956704,1,1,1,1,1,1,1
9,321345,-4.0,23,0.003362586851661525,0.9039799904638112,0.06877107634956704,175.214912,758.004,0.9973266078701389,0.06877107634956704,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,347.5905951661874,207.08548597703762,12.324706307787704,991.9676256944584,142.01650264372986,297,4.0,32,354,20,110,206,18,0.06877107634956704,1,1,1,1,1,1,1
