trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.038120511516928676,0.04098331928253174,0.0609497906267643,175.214912,758.004,0.9972062050708864,0.0609497906267643,-94.2,153.29912661924146,-94.2,94.2,153.29912661924146,0.4664391863408273,10,1143.0,126,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_000
1,0.05090599673138932,0.11506338864564897,0.03592361274408177,175.214912,758.004,0.9966791657447828,0.03592361274408177,-28.2,181.28234577279966,-94.2,28.2,181.28234577279966,0.478304057053902,10,1123.0,126,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_001
2,0.07094898766577244,0.06588333807885648,0.04927588627161458,175.214912,758.004,0.9969942060315206,0.04927588627161458,-302.2,238.17677841842132,-302.2,302.2,238.17677841842132,0.4291278631122152,10,1202.0,934,1146345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_002
3,0.0176087525867857,0.19015569370239974,0.014677046458702535,175.214912,758.004,0.9957874274104013,0.014677046458702535,-324.2,262.8107895637299,-324.2,324.2,262.8107895637299,0.42526294498235384,10,1149.0,668,880345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_003
4,0.0040457176619209355,0.09038218446075917,0.026129471271298825,175.214912,758.004,0.9963619423917609,0.026129471271298825,-346.2,239.83735229433208,-346.2,346.2,239.83735229433208,0.4213352959098674,10,1169.0,518,730345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_004
5,0.06743438779115678,0.1660247614607215,0.07074404575116933,175.214912,758.004,0.9973548177712197,0.07074404575116933,-110.2,202.1225151018835,-346.2,110.2,202.1225151018835,0.4635824129176534,10,1182.0,934,1146345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_005
6,0.08,0.0,0.02189371852449894,175.214912,758.004,0.9961857373416171,0.02189371852449894,-120.2,252.08499448488487,-346.2,120.2,252.08499448488487,0.4617711231427017,10,1142.0,934,1146345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_006
7,0.0039589249743559795,0.16002500842851602,0.013241647276108541,175.214912,758.004,0.9956849483842218,0.013241647276108541,-322.2,243.28163834444135,-346.2,322.2,243.28163834444135,0.42558877912409293,10,1177.0,718,930345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_007
8,0.008337553403110484,0.1684966583232806,0.046649292722279634,175.214912,758.004,0.996939595102547,0.046649292722279634,-158.2,242.9105002076096,-346.2,158.2,242.9105002076096,0.4549502420913062,10,1157.0,718,930345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_008
9,0.012247851667128768,0.0553732184783227,0.01369825917411626,175.214912,758.004,0.9957187044661906,0.01369825917411626,-134.2,176.83187244134217,-346.2,134.2,176.83187244134217,0.4592703169784609,10,1147.0,633,845345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_009
