replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-768.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,179,92,0.33948339483394835,310.4323371966974,183.88808092814975,8.950989732365354,997.6433225851245,109.3254777929539,217,768.0,34,350,44,3,2,301,0.08000000000000056,1,1,1,1,1,1,1
1,313345,-387.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,164,116,0.4142857142857143,335.4143169300268,196.8252546593191,17.187548032176835,1088.4022945918748,135.416784777984,282,387.0,31,357,77,3,9,268,0.08000000000000056,1,1,1,1,1,1,1
2,314345,-87.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,147,129,0.4673913043478261,365.3017878399713,217.1909898142063,12.633594345573625,729.807828241211,148.05837788147468,286,87.0,31,359,32,8,7,312,0.08000000000000056,1,1,1,1,1,1,1
3,315345,-314.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,163,125,0.4340277777777778,330.08286433036756,199.8461974989043,11.067006805049784,819.4900632231792,124.84367175576061,239,314.0,22,359,79,0,1,279,0.08000000000000056,1,1,1,1,1,1,1
4,316345,-11.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,146,135,0.4804270462633452,361.130678848481,210.98643622991608,18.396518633717015,1065.3841315908924,152.08948657422883,304,11.0,33,357,62,1,5,289,0.08000000000000056,1,1,1,1,1,1,1
5,317345,-300.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,158,119,0.4296028880866426,334.46984139193387,195.13596598830375,10.790077922669727,1021.0136416543834,126.39784038075321,251,300.0,30,352,83,0,0,269,0.08000000000000056,1,1,1,1,1,1,1
6,318345,-127.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,152,130,0.46099290780141844,347.6555687431289,206.51763250261337,8.83969723567143,1053.7369070714562,130.76134924175673,271,127.0,31,360,35,4,8,313,0.08000000000000056,1,1,1,1,1,1,1
7,319345,-327.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,339.7258800294629,198.68119481156785,11.613480675584368,1044.3458508285476,132.63484639295993,274,327.0,31,357,14,0,47,296,0.08000000000000056,1,1,1,1,1,1,1
8,320345,-117.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,152,131,0.4628975265017668,362.5809572719366,230.44871299078744,12.505778783697268,1058.8647078563326,150.57266652830006,285,117.0,31,358,18,4,38,298,0.08000000000000056,1,1,1,1,1,1,1
9,321345,-124.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,149,127,0.4601449275362319,346.1559116904681,203.79362092453874,12.324706307787704,1002.2974992667457,142.01650264372986,297,124.0,32,354,16,0,48,290,0.08000000000000056,1,1,1,1,1,1,1
10,322345,-541.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,322345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,297,179,118,0.39730639730639733,312.7141295645276,200.33440492607076,12.841325965380715,966.8512775015253,126.82927581498983,264,541.0,23,351,11,0,140,200,0.08000000000000056,1,1,1,1,1,1,1
11,323345,509.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,323345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,255,107,148,0.5803921568627451,402.05131205252655,220.96699741392874,9.889845300335054,1128.724438382921,148.23287656560672,274,-509.0,33,351,12,1,60,278,0.08000000000000056,1,1,1,1,1,1,1
12,324345,-125.0,25,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,,,,,,,324345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,539,278,149,129,0.46402877697841727,331.62593725629415,169.53655102593606,11.679415142383341,637.078430703064,120.2577648862026,262,125.0,25,358,20,18,91,229,0.08000000000000056,1,1,1,1,1,1,1
