candidate_rank,source_trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,stage1_objective_mean,stage1_total_reward_mean,objective_mean,objective_std,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,best_evaluation_reward,best_evaluation_replication,best_evaluation_seed,q_table_size,candidate_dir,q_table_path
7,55,0.0038847864750823,0.2,0.0442448713916392,175.214912,758.004,0.9996882470235614,0.0442448713916392,-332.2,332.2,-363.5,312.779943576068,363.5,312.779943576068,0.41947629027332456,30,1376.0,9396,9608345,1243.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_07_trial_055,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_07_trial_055/q_table.pkl
6,35,0.0045557052381346,0.0906261507322536,0.0021545290891333,175.214912,758.004,0.9993861701607227,0.0021545290891333,-332.2,332.2,-349.5,321.3445620921675,349.5,321.3445620921675,0.42192613249003175,30,1436.0,3149,3361345,1203.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_06_trial_035,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_06_trial_035/q_table.pkl
1,4,0.0040457176619209,0.0903821844607591,0.0261294712712988,175.214912,758.004,0.9996355972673897,0.0261294712712988,-346.2,346.2,-344.8333333333333,315.48835525079306,344.8333333333333,315.48835525079306,0.42272210386714515,30,1356.0,9396,9608345,1203.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_01_trial_004,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_01_trial_004/q_table.pkl
3,18,0.0158845188586127,0.2,0.0173052805939829,175.214912,758.004,0.999594407915976,0.0173052805939829,-342.2,342.2,-342.1666666666667,326.59656472772946,342.1666666666667,326.59656472772946,0.42333227860476913,30,1320.0,4392,4604345,1243.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_03_trial_018,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_03_trial_018/q_table.pkl
9,69,0.0038854186194242,0.2,0.026545907997016,175.214912,758.004,0.9996371778691164,0.026545907997016,-330.2,330.2,-333.5,322.27892716799175,333.5,322.27892716799175,0.42483901535959084,30,1277.0,9885,10097345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_09_trial_069,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_09_trial_069/q_table.pkl
8,15,0.0038985585356935,0.1651577095951491,0.0580275881821405,175.214912,758.004,0.9997153568462304,0.0580275881821405,-332.2,332.2,-248.16666666666666,334.21623016506413,248.16666666666666,334.21623016506413,0.44013344422343065,30,1376.0,9396,9608345,1243.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_08_trial_015,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_08_trial_015/q_table.pkl
5,21,0.0037055097481234,0.1826382418474264,0.0377700363896198,175.214912,758.004,0.9996724297449747,0.0377700363896198,-336.2,336.2,-193.5,303.71081413194634,193.5,303.71081413194634,0.44967696773381666,30,1356.0,9396,9608345,868.0,0,312345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_05_trial_021,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_05_trial_021/q_table.pkl
10,24,0.0035953571092659,0.2,0.08,175.214912,758.004,0.9997474590294099,0.08,-326.2,326.2,-172.16666666666666,319.8185998055917,172.16666666666666,319.8185998055917,0.45358201271166537,30,1316.0,9396,9608345,963.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_10_trial_024,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_10_trial_024/q_table.pkl
4,90,0.0193620926112375,0.0,0.0005,175.214912,758.004,0.999240198549462,0.0005,-338.2,338.2,-142.16666666666666,313.50818977735054,142.16666666666666,313.50818977735054,0.4590323829225659,30,1550.0,3549,3761345,923.0,26,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_04_trial_090,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_04_trial_090/q_table.pkl
2,87,0.0255418122825113,0.0,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-112.16666666666667,288.50830183876,112.16666666666667,288.50830183876,0.4644232624353504,30,1396.0,3149,3361345,763.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_02_trial_087,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage2/candidate_rank_02_trial_087/q_table.pkl
