replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-468.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,164,107,0.3948339483394834,309.92755016640047,178.21472839239726,8.950989732365354,909.783566413669,109.3254777929539,217,468.0,34,350,2,5,136,207,0.06085394051671028,1,1,1,1,1,1,1
1,313345,-287.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.8890363506502,200.59111146155186,17.187548032176835,1204.4668108825322,135.416784777984,282,287.0,31,357,1,59,4,293,0.06085394051671028,1,1,1,1,1,1,1
2,314345,133.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,136,140,0.5072463768115942,365.6181235750873,221.70032279538287,12.633594345573625,759.0760898479389,148.05837788147468,286,-133.0,31,359,1,54,31,273,0.06085394051671028,1,1,1,1,1,1,1
3,315345,-274.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,329.6778037279154,200.98859221193948,11.067006805049784,655.977419011903,124.84367175576061,239,274.0,22,359,3,108,156,92,0.06085394051671028,1,1,1,1,1,1,1
4,316345,89.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,141,140,0.498220640569395,361.24527944439416,213.04914287138723,18.396518633717015,1039.6574062749069,152.08948657422883,304,-89.0,33,357,6,73,37,241,0.06085394051671028,1,1,1,1,1,1,1
5,317345,-200.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,153,124,0.44765342960288806,335.4024451848153,197.92441099023065,10.790077922669727,992.7568064247666,126.39784038075321,251,200.0,30,352,6,57,52,237,0.06085394051671028,1,1,1,1,1,1,1
6,318345,13.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,145,137,0.4858156028368794,348.2761264567997,209.70791021902335,8.83969723567143,1120.7410213355092,130.76134924175673,271,-13.0,31,360,5,115,30,210,0.06085394051671028,1,1,1,1,1,1,1
7,319345,-107.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,149,129,0.46402877697841727,343.1709087235547,207.05917999965214,11.613480675584368,787.2219137876621,132.63484639295993,274,107.0,31,357,0,248,26,83,0.06085394051671028,1,1,1,1,1,1,1
8,320345,43.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,144,139,0.4911660777385159,367.42050857170165,236.83932580685,12.505778783697268,904.8609839688646,150.57266652830006,285,-43.0,31,358,17,210,15,116,0.06085394051671028,1,1,1,1,1,1,1
9,321345,-4.0,20,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,350.0471448374989,213.66105205339412,12.324706307787704,1002.2974992667457,142.01650264372986,297,4.0,32,354,16,44,4,290,0.06085394051671028,1,1,1,1,1,1,1
