replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-868.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,184,87,0.3210332103321033,311.26835793782914,188.4910376831212,8.950989732365354,997.6433225851245,109.3254777929539,217,868.0,34,350,21,48,123,158,0.0005,1,1,1,1,1,1,1
1,313345,-267.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,158,122,0.4357142857142857,341.9607925733591,205.09185075515222,17.187548032176835,751.0063416263217,135.416784777984,282,267.0,31,357,33,132,32,160,0.0005,1,1,1,1,1,1,1
2,314345,-87.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,147,129,0.4673913043478261,376.38975592130254,236.5874816206732,10.768648519648394,1100.9847348719347,148.05837788147468,286,87.0,31,359,40,65,33,221,0.0005,1,1,1,1,1,1,1
3,315345,-574.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,176,112,0.3888888888888889,334.9770496592134,210.90038793958675,11.067006805049784,950.6175290659335,124.84367175576061,239,574.0,22,359,32,50,119,158,0.0005,1,1,1,1,1,1,1
4,316345,-51.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,148,133,0.47330960854092524,375.95300800294007,227.74837219805624,18.396518633717015,864.2050762811402,152.08948657422883,304,51.0,33,357,45,109,91,112,0.0005,1,1,1,1,1,1,1
5,317345,-440.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,165,112,0.4043321299638989,339.407819521812,207.40471559697298,10.790077922669727,927.08009158264,126.39784038075321,251,440.0,30,352,29,68,131,124,0.0005,1,1,1,1,1,1,1
6,318345,-127.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,152,130,0.46099290780141844,352.5472389078282,211.47426094515026,8.83969723567143,906.7566055551167,130.76134924175673,271,127.0,31,360,94,58,46,162,0.0005,1,1,1,1,1,1,1
7,319345,-287.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,158,120,0.4316546762589928,345.9307696726289,211.3397269675535,11.613480675584368,1036.0989043101663,132.63484639295993,274,287.0,31,357,115,62,32,148,0.0005,1,1,1,1,1,1,1
8,320345,-117.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,152,131,0.4628975265017668,370.5348225736791,243.5312697724768,14.103620939431089,948.0014978807374,150.57266652830006,285,117.0,31,358,95,107,40,116,0.0005,1,1,1,1,1,1,1
9,321345,-24.0,20,0.0001,0.9286669696313103,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,144,132,0.4782608695652174,354.4365070664677,219.2166897952641,12.324706307787704,747.285858658642,142.01650264372986,297,24.0,32,354,34,174,41,105,0.0005,1,1,1,1,1,1,1
