replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-628.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,312345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,487,271,172,99,0.36531365313653136,310.5047751418924,179.31798209201293,8.950989732365354,858.2987919396725,109.3254777929539,217,628.0,34,350,2,112,39,197,0.02000000000000006,1,1,1,1,1,1,1
1,313345,-267.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,313345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,562,280,158,122,0.4357142857142857,335.37554245579213,196.64038009201258,17.187548032176835,992.0335216690823,135.416784777984,282,267.0,31,357,53,13,10,281,0.02000000000000006,1,1,1,1,1,1,1
2,314345,-67.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,314345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,561,276,146,130,0.47101449275362317,366.6578584833659,222.12694023861474,12.633594345573625,871.0846013115729,148.05837788147468,286,67.0,31,359,149,17,35,158,0.02000000000000006,1,1,1,1,1,1,1
3,315345,-494.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,315345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,526,288,172,116,0.4027777777777778,330.21780717457466,200.98957151545605,11.067006805049784,857.3732712377309,124.84367175576061,239,494.0,22,359,29,2,68,260,0.02000000000000006,1,1,1,1,1,1,1
4,316345,129.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,316345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,584,281,139,142,0.505338078291815,361.24527944439416,212.70671536926486,18.396518633717015,1039.6574062749069,152.08948657422883,304,-129.0,33,357,63,80,54,160,0.02000000000000006,1,1,1,1,1,1,1
5,317345,-300.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,317345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,527,277,158,119,0.4296028880866426,335.4024451848153,201.60442975312532,10.790077922669727,1006.3665999381559,126.39784038075321,251,300.0,30,352,4,64,216,68,0.02000000000000006,1,1,1,1,1,1,1
6,318345,-47.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,318345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,350.45008130082783,208.35869072872117,8.83969723567143,1002.743692246658,130.76134924175673,271,47.0,31,360,80,23,176,81,0.02000000000000006,1,1,1,1,1,1,1
7,319345,-187.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,319345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,552,278,153,125,0.44964028776978415,339.88509926675243,203.8240685644953,11.613480675584368,966.7853104111985,132.63484639295993,274,187.0,31,357,259,70,24,4,0.02000000000000006,1,1,1,1,1,1,1
8,320345,223.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,320345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,567,283,135,148,0.5229681978798587,364.0102261597325,229.10197887752255,12.505778783697268,950.4154982611279,150.57266652830006,285,-223.0,31,358,189,143,4,22,0.02000000000000006,1,1,1,1,1,1,1
9,321345,-4.0,22,0.6968951971940878,0.95,0.02,206.13337996715148,120.0,0.9616350847573034,0.02,,,,,,,321345,1440.0,4,8,0.9,326.1333799671515,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,346.84644799634896,206.68609828045822,12.324706307787704,948.1399454287478,142.01650264372986,297,4.0,32,354,296,47,8,3,0.02000000000000006,1,1,1,1,1,1,1
