label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,0,312345,,,,25,,312345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2689,1393,166,1227,0.8808327351040919,1640.3286223208481,1066.7198758925613,8.950989732365354,6179.908938934864,624.3978118260575,1296,-11090.0,160,1792,288,107,1352,45,0.05,1,1,1,1,1,1,1
,,1,313345,,,,25,,313345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2793,1418,140,1278,0.9012693935119888,1709.3489805635863,996.4383714305858,17.187548032176835,4218.391760209959,667.4593431621073,1375,-11842.0,154,1799,244,1325,148,82,0.05,1,1,1,1,1,1,1
,,2,314345,,,,25,,314345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2750,1392,128,1264,0.9080459770114943,1845.9646042035465,1053.8413559859127,12.633594345573625,4729.04189467067,689.5399533529767,1358,-11867.0,169,1797,62,1472,107,156,0.05,1,1,1,1,1,1,1
,,3,315345,,,,25,,315345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2797,1416,142,1274,0.8997175141242938,1654.5466368878228,1016.2513173423974,11.067006805049784,4901.548983007093,669.7127986507303,1381,-11788.0,156,1797,66,90,61,1580,0.05,1,1,1,1,1,1,1
,,4,316345,,,,25,,316345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2787,1418,132,1286,0.9069111424541608,1787.840952214865,1044.1947178632938,18.396518633717015,5282.625712694195,696.7132521473444,1371,-11975.0,145,1788,135,19,38,1596,0.05,1,1,1,1,1,1,1
,,5,317345,,,,25,,317345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2784,1426,155,1271,0.8913043478260869,1721.0888462601195,1060.7596371119905,10.790077922669727,5330.272931172495,683.1246894276989,1360,-11628.0,156,1786,1606,98,13,69,0.05,1,1,1,1,1,1,1
,,6,318345,,,,25,,318345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2727,1395,136,1259,0.9025089605734767,1736.3869315732627,1059.4514163916724,8.83969723567143,5285.058925169001,677.4935475008313,1334,-11734.0,168,1794,31,16,17,1730,0.05,1,1,1,1,1,1,1
,,7,319345,,,,25,,319345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2722,1428,139,1289,0.9026610644257703,1639.247162857814,968.0118427079623,11.613480675584368,4871.890338508866,633.3785771288382,1295,-11974.0,158,1803,2,28,30,1743,0.05,1,1,1,1,1,1,1
,,8,320345,,,,25,,320345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2859,1418,134,1284,0.9055007052186178,1806.6331087466501,1100.152907615726,14.103620939431089,6254.411263363674,729.3306873564258,1441,-11950.0,150,1804,24,26,144,1610,0.05,1,1,1,1,1,1,1
,,9,321345,,,,25,,321345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,False,,simulation ended,2788,1396,131,1265,0.9061604584527221,1788.0504266709524,1068.1085445697195,12.324706307787704,5378.780405558808,710.8544284649198,1392,-11850.0,170,1791,1,7,55,1728,0.05,1,1,1,1,1,1,1
