label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,,,0,,,9,-11881.0,212345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2798,1442,149,1293,0.8966712898751734,1786.9166948995578,1052.4604339875045,10.933230869630583,4555.8750769459075,692.2860870163287,1356,-11881.0,147,1805,446,447,464,448,1.0,1,1,1,1,1,1,1
,,,,1,,,11,-11881.0,213345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2748,1413,118,1295,0.916489738145789,1782.1500098925987,1034.1099488257348,11.144451947627218,4356.377090935222,687.0532468577077,1335,-12226.0,152,1799,456,468,458,417,0.995,1,1,1,1,1,1,1
,,,,2,,,14,-11881.0,214345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2831,1421,121,1300,0.9148486980999296,1821.1410273613965,1026.6080723318,14.069576292164854,3908.7830836502662,717.1810975554555,1410,-12246.0,152,1801,423,445,471,462,0.990025,1,1,1,1,1,1,1
,,,,3,,,14,-11881.0,215345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2775,1403,110,1293,0.9215965787598004,1799.1810793719278,1011.5117433258963,12.854460419088687,4205.520340526604,695.635279588078,1374,-12286.0,152,1799,439,467,459,434,0.985074875,1,1,1,1,1,1,1
,,,,4,,,16,-11881.0,216345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2837,1422,132,1290,0.9071729957805907,1819.0374662198549,1061.4150004149462,10.280748546978902,4166.748812426033,719.0717480296272,1416,-12015.0,145,1791,396,468,450,477,0.9801495006250001,1,1,1,1,1,1,1
,,,,5,,,16,-11686.0,217345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2793,1388,134,1254,0.9034582132564841,1749.5351314522422,1037.330611414965,22.041852979509542,4166.403945564695,689.1927392897259,1405,-11686.0,162,1800,460,449,435,456,0.9752487531218751,1,1,1,1,1,1,1
,,,,6,,,16,-11686.0,218345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2776,1410,119,1291,0.9156028368794327,1801.5499619913776,1048.1203989351418,11.89061371139483,4721.219122754956,701.8483260106931,1368,-12206.0,162,1793,448,457,440,448,0.9703725093562657,1,1,1,1,1,1,1
,,,,7,,,16,-11686.0,219345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2807,1408,137,1271,0.9026988636363636,1828.025981396856,1061.7392173793849,12.058029675190001,4488.572242913893,705.8179276926327,1400,-11871.0,177,1789,459,471,424,435,0.9655206468094844,1,1,1,1,1,1,1
,,,,8,,,17,-11686.0,220345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2790,1407,126,1281,0.9104477611940298,1846.8845825144463,1055.3878118904624,9.283860017249422,4233.554957221964,726.9017375342552,1384,-12021.0,157,1799,452,446,456,445,0.960693043575437,1,1,1,1,1,1,1
,,,,9,,,18,-11686.0,221345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2847,1415,139,1276,0.9017667844522969,1832.8101018133887,1063.1400990709135,9.787909181712603,4440.193231929063,729.6056250696972,1433,-11841.0,157,1797,460,434,454,449,0.9558895783575597,1,1,1,1,1,1,1
,,,,10,,,18,-11686.0,222345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2756,1396,107,1289,0.923352435530086,1845.7164464583855,1043.061615534665,13.678484206979455,4379.567609698981,704.6995594037128,1363,-12300.0,160,1793,435,443,422,493,0.9511101304657719,1,1,1,1,1,1,1
,,,,11,,,18,-11686.0,223345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2663,1418,143,1275,0.8991537376586742,1700.224942784164,1001.6776243579188,9.797021738823169,4104.739522350013,633.0537834939286,1245,-11779.0,153,1796,438,451,478,429,0.946354579813443,1,1,1,1,1,1,1
,,,,12,,,18,-11686.0,224345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2713,1385,128,1257,0.9075812274368231,1669.5499847531114,942.4564459369498,11.669811575629993,3988.2073313460696,635.3034193195299,1328,-11848.0,186,1793,451,460,454,428,0.9416228069143757,1,1,1,1,1,1,1
,,,,13,,,18,-11686.0,225345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2779,1414,143,1271,0.8988684582743989,1767.2505822120308,1044.4734535647412,11.81727032503918,4153.391769867086,691.2223784829446,1365,-11739.0,153,1793,445,454,444,450,0.9369146928798039,1,1,1,1,1,1,1
,,,,14,,,18,-11686.0,226345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2817,1412,129,1283,0.9086402266288952,1879.4100846658334,1091.0958189963444,8.724120623498804,4377.714822144523,735.7138480221698,1406,-11993.0,151,1792,476,411,450,455,0.9322301194154049,1,1,1,1,1,1,1
