label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,0,312345,,,512345,,,312345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,487,271,156,115,0.42435424354243545,315.17785035934986,179.64445049985585,8.950989732365354,742.2392450566779,109.3254777929539,217,308.0,34,350,80,92,96,82,,1,1,1,1,1,1,1
,,1,313345,,,513345,,,313345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,562,280,144,136,0.4857142857142857,341.8404704396595,194.51590043922747,17.187548032176835,707.6808422846964,135.416784777984,282,-13.0,31,357,77,84,95,101,,1,1,1,1,1,1,1
,,2,314345,,,514345,,,314345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,561,276,135,141,0.5108695652173914,376.3626281449553,228.68941072338575,12.633594345573625,902.3963569149504,148.05837788147468,286,-153.0,31,359,79,105,88,87,,1,1,1,1,1,1,1
,,3,315345,,,515345,,,315345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,526,288,154,134,0.4652777777777778,335.2078514082306,201.6119337099096,11.067006805049784,720.4167841135393,124.84367175576061,239,134.0,22,359,89,91,92,87,,1,1,1,1,1,1,1
,,4,316345,,,516345,,,316345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,584,281,131,150,0.5338078291814946,374.21553901198683,220.71113777515907,18.396518633717015,822.0494449879046,152.08948657422883,304,-289.0,33,357,87,86,107,77,,1,1,1,1,1,1,1
,,5,317345,,,517345,,,317345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,527,277,142,135,0.48736462093862815,342.8077673413205,199.95814183902542,10.790077922669727,882.0090503918198,126.39784038075321,251,-20.0,30,352,75,91,93,93,,1,1,1,1,1,1,1
,,6,318345,,,518345,,,318345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,552,282,140,142,0.5035460992907801,353.629454961014,204.10392300720554,8.83969723567143,827.911926319517,130.76134924175673,271,-113.0,31,360,94,89,83,94,,1,1,1,1,1,1,1
,,7,319345,,,519345,,,319345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,552,278,145,133,0.4784172661870504,344.7728270646567,199.85921253499552,11.613480675584368,764.5779378296569,132.63484639295993,274,27.0,31,357,78,80,102,97,,1,1,1,1,1,1,1
,,8,320345,,,520345,,,320345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,567,283,138,145,0.5123674911660777,369.4721164640155,226.4375123151502,12.505778783697268,901.2816331853708,150.57266652830006,285,-163.0,31,358,84,102,77,95,,1,1,1,1,1,1,1
,,9,321345,,,521345,,,321345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,572,276,135,141,0.5108695652173914,355.63396593076016,211.536044450627,12.324706307787704,875.5733480331811,142.01650264372986,297,-156.0,32,354,100,80,97,77,,1,1,1,1,1,1,1
,,10,322345,,,522345,,,322345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,561,297,171,126,0.42424242424242425,319.2061782905975,207.5309727931754,12.841325965380715,832.8140476304818,126.82927581498983,264,381.0,23,351,82,87,105,77,,1,1,1,1,1,1,1
,,11,323345,,,523345,,,323345,1440,4,8,0.9,0.0,120.0,120.0,random,False,,simulation ended,527,255,100,155,0.6078431372549019,409.85631945755813,218.0546990931707,9.889845300335054,956.4883974272625,148.23287656560672,274,-649.0,33,351,87,89,89,86,,1,1,1,1,1,1,1
