replication,eval_seed,objective_value,q_table_size,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-628.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,312345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,487,271,172,99,0.36531365313653136,310.5047751418924,182.1157233550864,8.950989732365354,858.2987919396725,109.3254777929539,217,628.0,34,350,0,162,185,3,0.3676954247709635,1,1,1,1,1,1,1
1,313345,-307.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,313345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,334.88782644209914,200.26689509349177,17.187548032176835,1204.4668108825322,135.416784777984,282,307.0,31,357,0,144,202,11,0.3676954247709635,1,1,1,1,1,1,1
2,314345,113.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,314345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,367.41694032928024,224.24238132810788,12.633594345573625,1020.174853000681,148.05837788147468,286,-113.0,31,359,6,117,211,25,0.3676954247709635,1,1,1,1,1,1,1
3,315345,-134.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,315345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,526,288,154,134,0.4652777777777778,330.7318699891169,200.18420034429056,11.067006805049784,793.1039237101103,124.84367175576061,239,134.0,22,359,194,71,21,73,0.3676954247709635,1,1,1,1,1,1,1
4,316345,9.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,316345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,584,281,145,136,0.48398576512455516,363.8883899602227,214.53830891439546,18.396518633717015,1090.6752764319076,152.08948657422883,304,-9.0,33,357,23,87,234,13,0.3676954247709635,1,1,1,1,1,1,1
5,317345,-200.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,317345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,527,277,153,124,0.44765342960288806,337.43206951884315,203.2203878459211,10.790077922669727,820.6239783506248,126.39784038075321,251,200.0,30,352,1,114,31,206,0.3676954247709635,1,1,1,1,1,1,1
6,318345,-27.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,318345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,552,282,147,135,0.4787234042553192,351.1826676703239,206.20737048985572,8.83969723567143,741.2668533813745,130.76134924175673,271,27.0,31,360,30,70,79,181,0.3676954247709635,1,1,1,1,1,1,1
7,319345,-327.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,319345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,340.2205302312603,201.47651763947974,11.613480675584368,983.7717102060137,132.63484639295993,274,327.0,31,357,199,134,19,5,0.3676954247709635,1,1,1,1,1,1,1
8,320345,223.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,320345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,567,283,135,148,0.5229681978798587,366.25423444739084,231.77966400165514,14.103620939431089,920.3849174679808,150.57266652830006,285,-223.0,31,358,109,174,19,56,0.3676954247709635,1,1,1,1,1,1,1
9,321345,136.0,23,0.02,0.7,0.999,0.1,-23.256676136023934,360.0,,,,,,,321345,1440.0,4,8,0.9,336.74332386397606,q_learning,False,,simulation ended,572,276,136,140,0.5072463768115942,354.49584797211253,222.76457333722217,12.324706307787704,881.0134353766297,142.01650264372986,297,-136.0,32,354,5,295,35,19,0.3676954247709635,1,1,1,1,1,1,1
