trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.038120511516928676,0.20262160062789916,0.0609497906267643,175.214912,758.004,0.9972062050708864,0.0609497906267643,-78.2,268.38811035099485,-78.2,78.2,268.38811035099485,0.46931485421082425,10,1202.0,934,1146345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_000
1,0.05090599673138932,0.5507979266345501,0.03592361274408177,175.214912,758.004,0.9966791657447828,0.03592361274408177,-122.2,258.55014557678703,-122.2,122.2,258.55014557678703,0.46138694676327247,10,1143.0,126,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_001
2,0.07094898766577244,0.3196516889706254,0.04927588627161458,175.214912,758.004,0.9969942060315206,0.04927588627161458,-122.2,228.0237804362616,-122.2,122.2,228.0237804362616,0.4614480207464351,10,1109.0,518,730345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_002
3,0.0176087525867857,0.9037317604012787,0.014677046458702535,175.214912,758.004,0.9957874274104013,0.014677046458702535,-126.2,204.77022352980046,-126.2,126.2,204.77022352980046,0.46079577043535264,10,1177.0,718,930345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_003
4,0.0040457176619209355,0.43479626696556806,0.026129471271298825,175.214912,758.004,0.9963619423917609,0.026129471271298825,-326.2,241.83961627491885,-326.2,326.2,241.83961627491885,0.42487189640764705,10,1129.0,518,730345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_004
5,0.06743438779115678,0.790316378865391,0.07074404575116933,175.214912,758.004,0.9973548177712197,0.07074404575116933,-62.2,283.1869425740608,-326.2,62.2,283.1869425740608,0.47205556044682934,10,1169.0,518,730345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_005
6,0.0001,0.2511601497865636,0.009534502027818647,175.214912,758.004,0.9953579694163306,0.009534502027818647,-78.2,169.9181502305677,-326.2,78.2,169.9181502305677,0.46932644476021157,10,1037.0,718,930345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_006
7,0.0001,0.2838005185433573,0.03300966791236769,175.214912,758.004,0.9965948559043672,0.03300966791236769,-78.2,169.9181502305677,-326.2,78.2,169.9181502305677,0.46932644476021157,10,1029.0,518,730345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_007
8,0.0001,0.48579970338611955,0.0005,175.214912,758.004,0.9924279113496888,0.0005,-12.2,186.77187511328714,-326.2,12.2,186.77187511328714,0.48114876135638374,10,997.0,718,930345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_008
9,0.0001,0.5035252801013741,0.028544281132870875,175.214912,758.004,0.9964500174670211,0.028544281132870875,-84.2,172.09351463020846,-326.2,84.2,172.09351463020846,0.4682473080695641,10,997.0,718,930345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage1/trial_009
