trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.33571658954024314,0.35368744730949403,0.17207494497299194,175.214912,120.0,0.9825556931504772,0.17207494497299194,-116.2,266.50361681931776,-116.2,116.2,266.50361681931776,0.4624068037925128,10,901.0,91,303345,19,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_000
1,0.4469295084895566,0.6314877074211835,0.10911600690335037,175.214912,120.0,0.9780901485225851,0.10911600690335037,-88.2,162.64808637054418,-116.2,88.2,162.64808637054418,0.4676329203633429,10,801.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_001
2,0.621270918995142,0.44706251779571177,0.142706632129848,175.214912,120.0,0.9807186666139265,0.142706632129848,-198.2,239.97444308370285,-198.2,198.2,239.97444308370285,0.44789364863895303,10,921.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_002
3,0.15729766017291694,0.913083851383999,0.055665525682270525,175.214912,120.0,0.9715292111542789,0.055665525682270525,-58.2,236.89885324050573,-198.2,58.2,236.89885324050573,0.47295667228901,10,1101.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_003
4,0.03932132384274154,0.5389331917278468,0.08447665728628637,175.214912,120.0,0.9755900609902411,0.08447665728628637,-84.2,273.9557141826637,-198.2,84.2,273.9557141826637,0.46831667017266393,10,1081.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_004
5,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,-122.2,154.73044661963306,-198.2,122.2,154.73044661963306,0.46153997991453,10,821.0,91,303345,19,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_005
6,0.7,0.2,0.22,175.214912,120.0,0.9849727754527325,0.22,-148.2,208.04102159590227,-198.2,148.2,208.04102159590227,0.4568442441453615,10,941.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_006
7,0.7,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,-304.2,218.86210778072623,-304.2,304.2,218.86210778072623,0.4288623057070133,10,1021.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_007
8,0.7,0.5149084201579145,0.02,175.214912,120.0,0.9616350847573034,0.02,-222.2,234.433975542985,-304.2,222.2,234.433975542985,0.44359758004949257,10,1021.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_008
9,0.5123849820879626,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,-154.2,202.51353864207036,-304.2,154.2,202.51353864207036,0.45579849978845777,10,781.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_009
10,0.7,0.95,0.02,175.214912,120.0,0.9616350847573034,0.02,-190.2,278.4005108552145,-304.2,190.2,278.4005108552145,0.449249729424693,10,1121.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_010
11,0.005,0.2,0.22,175.214912,120.0,0.9849727754527325,0.22,-138.2,177.61681602070604,-304.2,138.2,177.61681602070604,0.45854068984247737,10,1041.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100/stage1/trial_011
