replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-428.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,312345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,487,271,162,109,0.4022140221402214,315.1174626370189,193.36862467329277,8.950989732365354,1076.67274700514,109.3254777929539,217,428.0,34,350,63,34,94,159,0.19671458050608648,1,1,1,1,1,1,1
1,313345,-107.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,313345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,562,280,150,130,0.4642857142857143,339.6909865515659,202.92223250755583,11.817236253798981,938.9436280096617,135.416784777984,282,107.0,31,357,70,18,238,31,0.19671458050608648,1,1,1,1,1,1,1
2,314345,-27.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,314345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,561,276,144,132,0.4782608695652174,365.5333309434338,218.99772030629092,12.633594345573625,812.0943611601606,148.05837788147468,286,27.0,31,359,157,75,87,40,0.19671458050608648,1,1,1,1,1,1,1
3,315345,-234.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,315345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,526,288,159,129,0.4479166666666667,332.9904169814872,204.2204295136127,11.067006805049784,773.0883273584673,124.84367175576061,239,234.0,22,359,25,242,43,49,0.19671458050608648,1,1,1,1,1,1,1
4,316345,-11.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,316345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,584,281,146,135,0.4804270462633452,363.1328002082812,213.4869751818734,18.396518633717015,1065.3841315908924,152.08948657422883,304,11.0,33,357,28,61,44,224,0.19671458050608648,1,1,1,1,1,1,1
5,317345,-260.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,317345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,527,277,156,121,0.4368231046931408,339.4408299904593,203.0572252222409,10.790077922669727,826.5641568825887,126.39784038075321,251,260.0,30,352,89,130,52,81,0.19671458050608648,1,1,1,1,1,1,1
6,318345,-167.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,318345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,282,154,128,0.45390070921985815,349.83155979164485,210.13000721031068,8.83969723567143,1053.7369070714562,130.76134924175673,271,167.0,31,360,200,28,18,114,0.19671458050608648,1,1,1,1,1,1,1
7,319345,-107.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,319345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,278,149,129,0.46402877697841727,343.1709087235547,205.01359808790778,11.613480675584368,787.2219137876621,132.63484639295993,274,107.0,31,357,6,194,54,103,0.19671458050608648,1,1,1,1,1,1,1
8,320345,43.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,320345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,567,283,144,139,0.4911660777385159,365.9319266761984,228.88831816502298,14.103620939431089,791.6110564421969,150.57266652830006,285,-43.0,31,358,23,102,42,191,0.19671458050608648,1,1,1,1,1,1,1
9,321345,76.0,19,0.5906996184587479,0.8225928554777056,0.19671458050608634,175.214912,120.0,0.9838714661361333,0.19671458050608634,,,,,,,321345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,572,276,139,137,0.4963768115942029,346.0606806843407,207.1548850109537,12.324706307787704,1002.2974992667457,142.01650264372986,297,-76.0,32,354,51,3,85,215,0.19671458050608648,1,1,1,1,1,1,1
