trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.038120511516928676,0.20286743044853212,0.06085394051671028,175.214912,758.004,0.9723953806271725,0.06085394051671028,-106.2,195.15737239469075,-106.2,106.2,195.15737239469075,0.46439639902132673,10,981.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_000
1,0.05090599673138932,0.5695637737959623,0.03570184475788847,175.214912,758.004,0.9672236488176854,0.03570184475788847,-80.2,234.44535018255795,-106.2,80.2,234.44535018255795,0.4687695528033576,10,1061.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_001
2,0.07094898766577244,0.3261225234903395,0.04912129953587428,175.214912,758.004,0.9703148957324641,0.04912129953587428,-26.2,215.26665634355297,-106.2,26.2,215.26665634355297,0.478821493753525,10,1101.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_002
3,0.0176087525867857,0.9412706838268786,0.014348377510067074,175.214912,758.004,0.958446835789198,0.014348377510067074,-322.2,243.28163834444135,-322.2,322.2,243.28163834444135,0.42558877912409293,10,1241.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_003
4,0.0040457176619209355,0.44739181308075787,0.025858424585871398,175.214912,758.004,0.9641087415613191,0.025858424585871398,-286.2,225.03767585796732,-322.2,286.2,225.03767585796732,0.43209278498977355,10,1261.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_004
5,0.06743438779115678,0.8218225692305714,0.0706974749121815,175.214912,758.004,0.9738544184490583,0.0706974749121815,-184.2,297.6175024721795,-322.2,184.2,297.6175024721795,0.4500892169558733,10,1061.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_005
6,0.0001,0.99,0.00010000000000000286,175.214912,758.004,0.91201083935591,0.00010000000000000286,-166.2,178.2811761734193,-322.2,166.2,178.2811761734193,0.45365349349713924,10,787.0,75,287345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_006
7,0.0001,0.99,0.029565615004263995,175.214912,758.004,0.9654012774897244,0.029565615004263995,-232.2,270.07686148782,-322.2,232.2,270.07686148782,0.4416680636191779,10,1301.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_007
8,0.017325148074027887,0.0047360551205403376,0.011141183442886157,175.214912,758.004,0.9560251409948748,0.011141183442886157,-114.2,251.6491384624412,-322.2,114.2,251.6491384624412,0.46285514195468913,10,781.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_008
9,0.011800117728996716,0.8068825886927419,0.0572286265794737,175.214912,758.004,0.9717982960466206,0.0572286265794737,-298.2,271.9414969764228,-322.2,298.2,271.9414969764228,0.4299147863912447,10,1261.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_009
10,0.0001,0.5509854315894334,0.08,175.214912,758.004,0.975059010288356,0.08,-50.2,210.74513306624928,-322.2,50.2,210.74513306624928,0.47434354157102065,10,1081.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_010
11,0.021754582305944983,0.99,0.03862290866056312,175.214912,758.004,0.9679846038947979,0.03862290866056312,-144.2,304.9709640095084,-322.2,144.2,304.9709640095084,0.45746597895110874,10,1041.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_011
12,0.02469878523169011,0.6744222392911017,0.0001,175.214912,758.004,0.9120108393559098,0.0001,-110.2,266.0329135861033,-322.2,110.2,266.0329135861033,0.4635106906452496,10,1101.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_012
13,0.0001,0.9235097399602575,0.01816706293415857,175.214912,758.004,0.9607111855270632,0.01816706293415857,-264.2,223.46404135291604,-322.2,264.2,223.46404135291604,0.4359950051205467,10,901.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_013
14,0.0001,0.5601184054586843,0.03617587525774415,175.214912,758.004,0.9673512350562611,0.03617587525774415,-214.2,264.2359215213219,-322.2,214.2,264.2359215213219,0.4449659117960268,10,1221.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_014
15,0.046293368787429935,0.99,0.08,175.214912,758.004,0.975059010288356,0.08,-34.2,221.8171419084748,-322.2,34.2,221.8171419084748,0.47729004483633614,10,721.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc50x100_4/stage0/trial_015
