replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-748.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,178,93,0.34317343173431736,311.98861934496824,188.79972259489614,8.950989732365354,997.6433225851245,109.3254777929539,217,748.0,34,350,18,38,16,278,0.0005,1,1,1,1,1,1,1
1,313345,-247.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,157,123,0.4392857142857143,341.197081634067,205.7577776932616,17.187548032176835,751.0063416263217,135.416784777984,282,247.0,31,357,24,151,27,155,0.0005,1,1,1,1,1,1,1
2,314345,-187.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,152,124,0.4492753623188406,375.11707364678205,237.76240455349256,10.768648519648394,1100.9847348719347,148.05837788147468,286,187.0,31,359,147,52,27,133,0.0005,1,1,1,1,1,1,1
3,315345,-574.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,176,112,0.3888888888888889,331.87746060892925,207.66670519129784,11.067006805049784,1069.971598972808,124.84367175576061,239,574.0,22,359,27,49,136,147,0.0005,1,1,1,1,1,1,1
4,316345,-71.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,149,132,0.4697508896797153,372.74246638202135,226.71632426193062,18.396518633717015,1008.4905234458399,152.08948657422883,304,71.0,33,357,128,68,37,124,0.0005,1,1,1,1,1,1,1
5,317345,-260.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,156,121,0.4368231046931408,342.25392605756826,212.1697322383176,10.790077922669727,877.1181188156886,126.39784038075321,251,260.0,30,352,29,177,16,130,0.0005,1,1,1,1,1,1,1
6,318345,-167.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,154,128,0.45390070921985815,353.5845247900922,214.83410680943626,8.83969723567143,857.1694934787841,130.76134924175673,271,167.0,31,360,34,137,30,159,0.0005,1,1,1,1,1,1,1
7,319345,-327.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,344.1373292276656,209.67851816366215,11.613480675584368,990.6252558658921,132.63484639295993,274,327.0,31,357,31,54,133,139,0.0005,1,1,1,1,1,1,1
8,320345,43.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,144,139,0.4911660777385159,370.2941503452296,237.3377577237716,14.103620939431089,912.4084456348819,150.57266652830006,285,-43.0,31,358,35,162,41,120,0.0005,1,1,1,1,1,1,1
9,321345,-144.0,20,0.0001,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,150,126,0.45652173913043476,354.043135839183,219.64159582307138,12.324706307787704,950.7089884023351,142.01650264372986,297,144.0,32,354,24,101,29,200,0.0005,1,1,1,1,1,1,1
