replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-748.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,178,93,0.34317343173431736,315.4343539197849,197.7464757752058,8.950989732365354,997.6433225851245,109.3254777929539,217,748.0,34,350,27,51,22,250,0.0005,1,1,1,1,1,1,1
1,313345,-447.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,167,113,0.4035714285714286,340.76804472393826,210.72141068552796,17.187548032176835,1000.9009593250332,135.416784777984,282,447.0,31,357,29,53,115,160,0.0005,1,1,1,1,1,1,1
2,314345,-107.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,148,128,0.463768115942029,377.0707443564826,238.76871753937198,10.768648519648394,1100.9847348719347,148.05837788147468,286,107.0,31,359,41,66,33,219,0.0005,1,1,1,1,1,1,1
3,315345,-454.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,170,118,0.4097222222222222,335.1108678787376,212.09196146222834,11.067006805049784,950.6175290659335,124.84367175576061,239,454.0,22,359,38,50,32,239,0.0005,1,1,1,1,1,1,1
4,316345,-11.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,146,135,0.4804270462633452,375.29083501749085,227.303357372895,18.396518633717015,1017.8402208440539,152.08948657422883,304,11.0,33,357,53,78,40,186,0.0005,1,1,1,1,1,1,1
5,317345,-440.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,165,112,0.4043321299638989,341.7633557741487,212.14818703037338,10.790077922669727,986.0130807618393,126.39784038075321,251,440.0,30,352,147,52,22,131,0.0005,1,1,1,1,1,1,1
6,318345,-187.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,155,127,0.450354609929078,353.27564718276113,211.07743970762263,8.83969723567143,880.9641362237521,130.76134924175673,271,187.0,31,360,91,57,40,172,0.0005,1,1,1,1,1,1,1
7,319345,-347.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,344.379502061606,207.60229695433958,11.613480675584368,976.02821343291,132.63484639295993,274,347.0,31,357,33,61,37,226,0.0005,1,1,1,1,1,1,1
8,320345,-117.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,152,131,0.4628975265017668,370.0843300695179,244.25852924809845,14.103620939431089,1206.0300552976119,150.57266652830006,285,117.0,31,358,101,105,43,109,0.0005,1,1,1,1,1,1,1
9,321345,-224.0,20,0.0001,0.8614686346277453,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,154,122,0.4420289855072464,354.9768483102953,219.32583775652228,12.324706307787704,947.4395465346573,142.01650264372986,297,224.0,32,354,113,98,37,106,0.0005,1,1,1,1,1,1,1
