trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.038120511516928676,0.04098331928253174,0.0609497906267643,175.214912,758.004,0.9724106847489858,0.0609497906267643,-114.2,263.410452842454,-114.2,114.2,263.410452842454,0.4628590071232105,10,1081.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_000
1,0.05090599673138932,0.11506338864564897,0.03592361274408177,175.214912,758.004,0.9672835455569905,0.03592361274408177,-108.2,195.08676132542783,-114.2,108.2,195.08676132542783,0.46396051665266436,10,1101.0,91,303345,22,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_001
2,0.07094898766577244,0.06588333807885648,0.04927588627161458,175.214912,758.004,0.9703453844687252,0.04927588627161458,-216.2,197.88256899260006,-216.2,216.2,197.88256899260006,0.4447811390910365,10,1161.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_002
3,0.0176087525867857,0.19015569370239974,0.014677046458702535,175.214912,758.004,0.9586639288142654,0.014677046458702535,-248.2,226.89439540602731,-248.2,248.2,226.89439540602731,0.43901224382535464,10,1101.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_003
4,0.0040457176619209355,0.09038218446075917,0.026129471271298825,175.214912,758.004,0.9642092782217108,0.026129471271298825,-326.2,241.15868450277944,-326.2,326.2,241.15868450277944,0.42488724132661115,10,1201.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_004
5,0.06743438779115678,0.1660247614607215,0.07074404575116933,175.214912,758.004,0.9738608314695172,0.07074404575116933,-148.2,210.1136200567049,-326.2,148.2,210.1136200567049,0.4567926577131362,10,1101.0,91,303345,21,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_005
6,0.0001,0.2,0.06424031084555144,175.214912,758.004,0.9729221174744598,0.06424031084555144,-52.2,144.66574500474456,-326.2,52.2,144.66574500474456,0.47407540919800156,10,1081.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_006
7,0.0001,0.07988223970857175,0.010661216580872254,175.214912,758.004,0.9556042391664139,0.010661216580872254,-222.2,256.5137206640005,-326.2,222.2,256.5137206640005,0.4434629466089161,10,921.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_007
8,0.015009607984422827,0.0,0.0228836483936445,175.214912,758.004,0.9629311869696653,0.0228836483936445,-158.2,220.2951555426391,-326.2,158.2,220.2951555426391,0.4550592575434685,10,1081.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_008
9,0.0001,0.16353484615931488,0.022091734141347144,175.214912,758.004,0.962592111045352,0.022091734141347144,-242.2,270.88201613740745,-326.2,242.2,270.88201613740745,0.4399430583975049,10,1301.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_009
10,0.0001,0.2,0.0005,175.214912,758.004,0.9268078424558299,0.0005,-278.2,297.20355912329774,-326.2,278.2,297.20355912329774,0.4335031586738804,10,1241.0,91,303345,20,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_low/stage1/trial_010
