replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-328.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,157,114,0.42066420664206644,311.91270878783297,183.73962334303164,8.950989732365354,782.2150051281255,109.3254777929539,217,328.0,34,350,21,200,91,38,0.053099842070368775,1,1,1,1,1,1,1
1,313345,-267.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,158,122,0.4357142857142857,337.2555931359228,200.49740986654984,17.187548032176835,1077.769871928822,135.416784777984,282,267.0,31,357,17,80,71,189,0.053099842070368775,1,1,1,1,1,1,1
2,314345,153.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,135,141,0.5108695652173914,365.84927654680916,219.79742725931203,12.633594345573625,759.0760898479389,148.05837788147468,286,-153.0,31,359,22,158,31,148,0.053099842070368775,1,1,1,1,1,1,1
3,315345,-214.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,158,130,0.4513888888888889,333.2960940482314,203.49637817702217,11.067006805049784,773.0883273584673,124.84367175576061,239,214.0,22,359,13,266,57,23,0.053099842070368775,1,1,1,1,1,1,1
4,316345,209.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,135,146,0.5195729537366548,370.30307218844956,221.30468436268342,18.396518633717015,862.9723278879408,152.08948657422883,304,-209.0,33,357,26,244,64,23,0.053099842070368775,1,1,1,1,1,1,1
5,317345,-120.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,149,128,0.4620938628158845,339.2619939859913,207.52289462665445,10.790077922669727,872.1467456237366,126.39784038075321,251,120.0,30,352,24,289,14,25,0.053099842070368775,1,1,1,1,1,1,1
6,318345,33.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,144,138,0.48936170212765956,352.30811604280143,215.60367287883568,8.83969723567143,857.1694934787841,130.76134924175673,271,-33.0,31,360,32,293,0,35,0.053099842070368775,1,1,1,1,1,1,1
7,319345,-207.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,154,124,0.4460431654676259,339.42272611778765,197.64598764334644,11.613480675584368,994.6111135330507,132.63484639295993,274,207.0,31,357,60,74,28,195,0.053099842070368775,1,1,1,1,1,1,1
8,320345,-137.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,153,130,0.45936395759717313,362.6476834284673,228.71510219392988,14.103620939431089,1058.8647078563326,150.57266652830006,285,137.0,31,358,70,8,5,275,0.053099842070368775,1,1,1,1,1,1,1
9,321345,-104.0,21,0.08,0.2,0.053099842070368775,175.214912,758.004,0.9710708831028063,0.053099842070368775,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,148,128,0.463768115942029,346.7729491438873,204.00337707773878,12.324706307787704,1002.2974992667457,142.01650264372986,297,104.0,32,354,75,4,2,273,0.053099842070368775,1,1,1,1,1,1,1
