replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-568.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,312345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,487,271,169,102,0.3763837638376384,311.1693629663519,184.67903349432655,8.950989732365354,946.9791253738194,109.3254777929539,217,568.0,34,350,46,38,210,56,0.22000000000001246,1,1,1,1,1,1,1
1,313345,-267.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,313345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,562,280,158,122,0.4357142857142857,341.10400709371174,203.76619294369087,17.187548032176835,894.7356704486118,135.416784777984,282,267.0,31,357,178,48,22,109,0.22000000000001246,1,1,1,1,1,1,1
2,314345,153.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,314345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,561,276,135,141,0.5108695652173914,372.9922195192124,230.47813009906042,12.633594345573625,1074.5130723639484,148.05837788147468,286,-153.0,31,359,31,96,185,47,0.22000000000001246,1,1,1,1,1,1,1
3,315345,-254.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,315345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,526,288,160,128,0.4444444444444444,330.5728741722121,198.10085996792387,11.067006805049784,772.7530932132285,124.84367175576061,239,254.0,22,359,234,58,43,24,0.22000000000001246,1,1,1,1,1,1,1
4,316345,229.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,316345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,584,281,134,147,0.5231316725978647,373.62483315954466,225.4383572219361,18.396518633717015,942.5935583090211,152.08948657422883,304,-229.0,33,357,56,34,90,177,0.22000000000001246,1,1,1,1,1,1,1
5,317345,-120.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,317345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,527,277,149,128,0.4620938628158845,338.59825760546073,197.009207739065,10.790077922669727,821.5953552083179,126.39784038075321,251,120.0,30,352,85,49,20,198,0.22000000000001246,1,1,1,1,1,1,1
6,318345,-27.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,318345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,552,282,147,135,0.4787234042553192,352.9346620135446,208.455582141977,8.83969723567143,790.1855977833488,130.76134924175673,271,27.0,31,360,101,186,27,46,0.22000000000001246,1,1,1,1,1,1,1
7,319345,-327.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,319345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,340.83899971142574,199.90626613978802,11.613480675584368,983.7717102060137,132.63484639295993,274,327.0,31,357,224,51,20,62,0.22000000000001246,1,1,1,1,1,1,1
8,320345,303.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,320345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,567,283,131,152,0.5371024734982333,363.08826933450365,221.29472965682626,14.103620939431089,963.9561495141293,150.57266652830006,285,-303.0,31,358,221,9,34,94,0.22000000000001246,1,1,1,1,1,1,1
9,321345,156.0,23,0.7,0.95,0.22,40.0,1800.0,0.9984870179804407,0.22,,,,,,,321345,1440.0,4,8,0.9,1840.0,q_learning,False,,simulation ended,572,276,135,141,0.5108695652173914,353.68166783020604,216.19522235125152,12.324706307787704,798.8989075125816,142.01650264372986,297,-156.0,32,354,57,166,111,20,0.22000000000001246,1,1,1,1,1,1,1
