candidate_rank,source_trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,stage1_objective_mean,stage1_total_reward_mean,objective_mean,objective_std,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,best_evaluation_reward,best_evaluation_replication,best_evaluation_seed,q_table_size,candidate_dir,q_table_path
2,51,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,-300.2,300.2,-356.8333333333333,319.17642762901994,356.8333333333333,319.17642762901994,0.4206106433740249,30,1386.0,7830,8042345,1183.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_02_trial_051,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_02_trial_051/q_table.pkl
6,57,0.005,0.95,0.02,183.0214240202044,120.0,0.9996088742090999,0.02,-280.2,280.2,-355.5,314.60032115203813,355.5,314.60032115203813,0.4209221581767249,30,1416.0,3149,3361345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_06_trial_057,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_06_trial_057/q_table.pkl
5,52,0.005,0.95,0.02,168.90260134855652,120.0,0.9996088742090999,0.02,-286.2,286.2,-354.8333333333333,304.67360526820573,354.8333333333333,304.67360526820573,0.4210142842710106,30,1356.0,9396,9608345,1143.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_05_trial_052,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_05_trial_052/q_table.pkl
8,72,0.005,0.95,0.02,185.94807450932785,1218.1283855532934,0.9996088742090999,0.02,-276.2,276.2,-336.8333333333333,305.19717576012073,336.8333333333333,305.19717576012073,0.42416984991942897,30,1446.0,7830,8042345,1183.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_08_trial_072,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_08_trial_072/q_table.pkl
3,53,0.005,0.95,0.02,196.2233383671526,120.0,0.9996088742090999,0.02,-290.2,290.2,-324.1666666666667,312.35667977858077,324.1666666666667,312.35667977858077,0.4264673117777123,30,1305.0,6436,6648345,1123.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_03_trial_053,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_03_trial_053/q_table.pkl
1,22,0.005,0.2,0.02,193.3126383445952,1800.0,0.9996088742090999,0.02,-314.2,314.2,-316.8333333333333,304.3712664101064,316.8333333333333,304.3712664101064,0.42774196749223614,30,1346.0,7830,8042345,1123.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_01_trial_022,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_01_trial_022/q_table.pkl
10,89,0.005,0.2,0.02,207.72208042487813,1800.0,0.9996088742090999,0.02,-272.2,272.2,-256.1666666666667,313.73578641615137,256.1666666666667,313.73578641615137,0.4386758824544893,30,1346.0,7830,8042345,1123.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_10_trial_089,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_10_trial_089/q_table.pkl
9,82,0.005,0.95,0.02,188.779164027179,1800.0,0.9996088742090999,0.02,-272.2,272.2,-162.16666666666666,318.9040590061135,162.16666666666666,318.9040590061135,0.4553748393230988,30,1290.0,3549,3761345,963.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_09_trial_082,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_09_trial_082/q_table.pkl
7,23,0.005,0.95,0.02,196.61310144998507,1800.0,0.9996088742090999,0.02,-276.2,276.2,-138.83333333333334,328.2195526056357,138.83333333333334,328.2195526056357,0.45950059301780044,30,1325.0,6436,6648345,983.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_07_trial_023,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_07_trial_023/q_table.pkl
4,20,0.005,0.6454291781596895,0.1055114377308813,204.28251357393725,1800.0,0.999775131694925,0.1055114377308813,-288.2,288.2,-127.5,312.04042067964696,127.5,312.04042067964696,0.4616578224172652,30,1236.0,9396,9608345,763.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_04_trial_020,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_04_trial_020/q_table.pkl
