replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-608.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,312345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,487,271,171,100,0.36900369003690037,310.5047751418925,182.8680749223487,8.950989732365354,915.7892087748689,109.3254777929539,217,608.0,34,350,8,159,20,163,0.02000000000000006,1,1,1,1,1,1,1
1,313345,-307.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,313345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,336.23194741899067,202.4038066566821,17.187548032176835,1204.4668108825322,135.416784777984,282,307.0,31,357,172,144,16,25,0.02000000000000006,1,1,1,1,1,1,1
2,314345,213.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,314345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,561,276,132,144,0.5217391304347826,367.4983285946524,221.24065040533682,10.768648519648394,783.3626568554769,148.05837788147468,286,-213.0,31,359,60,103,28,168,0.02000000000000006,1,1,1,1,1,1,1
3,315345,-194.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,315345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,526,288,157,131,0.4548611111111111,330.4309266684409,198.49976595460757,11.067006805049784,840.7632857595642,124.84367175576061,239,194.0,22,359,148,6,173,32,0.02000000000000006,1,1,1,1,1,1,1
4,316345,149.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,316345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,584,281,138,143,0.5088967971530249,375.13007692691104,227.19509054542064,18.396518633717015,823.5218539637567,152.08948657422883,304,-149.0,33,357,47,141,61,108,0.02000000000000006,1,1,1,1,1,1,1
5,317345,-320.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,317345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,527,277,159,118,0.4259927797833935,334.36459766550945,196.02689173220747,10.790077922669727,1027.5703094137393,126.39784038075321,251,320.0,30,352,235,32,69,16,0.02000000000000006,1,1,1,1,1,1,1
6,318345,-47.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,318345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.86035067932744,203.0962571849386,8.83969723567143,1021.2561041719118,130.76134924175673,271,47.0,31,360,259,49,40,12,0.02000000000000006,1,1,1,1,1,1,1
7,319345,-187.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,319345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,552,278,153,125,0.44964028776978415,339.88509926675243,204.4624246060264,11.613480675584368,966.7853104111985,132.63484639295993,274,187.0,31,357,63,13,208,73,0.02000000000000006,1,1,1,1,1,1,1
8,320345,43.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,320345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,567,283,144,139,0.4911660777385159,365.3872951053757,234.49329430922603,12.505778783697268,1158.2985117427993,150.57266652830006,285,-43.0,31,358,20,14,303,21,0.02000000000000006,1,1,1,1,1,1,1
9,321345,116.0,20,0.3693637466788576,0.95,0.02,192.9464268779904,1549.9743965562252,0.9616350847573034,0.02,,,,,,,321345,1440.0,4,8,0.9,1742.9208234342157,q_learning,False,,simulation ended,572,276,137,139,0.5036231884057971,353.81690034061245,217.07408834702292,12.324706307787704,909.6526623586097,142.01650264372986,297,-116.0,32,354,20,162,146,26,0.02000000000000006,1,1,1,1,1,1,1
