replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-848.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,312345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,487,271,183,88,0.3247232472324723,315.4360980804944,193.57230265740728,8.950989732365354,997.6433225851245,109.3254777929539,217,848.0,34,350,84,77,27,162,0.1212902125188341,1,1,1,1,1,1,1
1,313345,-267.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,313345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,562,280,158,122,0.4357142857142857,341.57110122332205,204.2663114422618,17.187548032176835,956.7941486016019,135.416784777984,282,267.0,31,357,11,155,21,170,0.1212902125188341,1,1,1,1,1,1,1
2,314345,13.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,314345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,561,276,142,134,0.4855072463768116,365.2743651829834,219.54604889163218,12.633594345573625,857.6635977688006,148.05837788147468,286,-13.0,31,359,42,51,25,241,0.1212902125188341,1,1,1,1,1,1,1
3,315345,-114.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,315345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,526,288,153,135,0.46875,330.3073994971667,198.49627636314136,11.067006805049784,840.7632857595642,124.84367175576061,239,114.0,22,359,40,13,124,182,0.1212902125188341,1,1,1,1,1,1,1
4,316345,29.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,316345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,584,281,144,137,0.4875444839857651,361.5152230382337,210.56564667241446,18.396518633717015,1076.0385424784645,152.08948657422883,304,-29.0,33,357,215,16,90,36,0.1212902125188341,1,1,1,1,1,1,1
5,317345,-340.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,317345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,527,277,160,117,0.4223826714801444,334.4698413919338,199.12534191101017,10.790077922669727,1033.165324474215,126.39784038075321,251,340.0,30,352,240,80,22,10,0.1212902125188341,1,1,1,1,1,1,1
6,318345,-87.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,318345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,552,282,150,132,0.46808510638297873,346.9077493097731,204.33610780720286,8.83969723567143,1129.2858733736552,130.76134924175673,271,87.0,31,360,288,44,17,11,0.1212902125188341,1,1,1,1,1,1,1
7,319345,-187.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,319345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,552,278,153,125,0.44964028776978415,339.8850992667524,205.49649207730928,11.613480675584368,966.7853104111985,132.63484639295993,274,187.0,31,357,255,25,6,71,0.1212902125188341,1,1,1,1,1,1,1
8,320345,-77.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,320345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,567,283,150,133,0.46996466431095407,362.1295538127636,233.7738002167784,12.505778783697268,1066.0812896093398,150.57266652830006,285,77.0,31,358,148,22,106,82,0.1212902125188341,1,1,1,1,1,1,1
9,321345,-204.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,321345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,572,276,153,123,0.44565217391304346,348.7497809427336,212.88408720505188,12.324706307787704,948.1399454287478,142.01650264372986,297,204.0,32,354,44,38,183,89,0.1212902125188341,1,1,1,1,1,1,1
10,322345,-241.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,322345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,561,297,164,133,0.4478114478114478,314.81934908364445,210.137205136953,12.841325965380715,781.3903605899732,126.82927581498983,264,241.0,23,351,60,183,0,108,0.1212902125188341,1,1,1,1,1,1,1
11,323345,449.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,323345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,527,255,110,145,0.5686274509803921,406.2612620516114,226.36315907480966,9.889845300335054,854.5521811468741,148.23287656560672,274,-449.0,33,351,0,268,44,39,0.1212902125188341,1,1,1,1,1,1,1
12,324345,-65.0,25,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,,,,,,,324345,1440.0,4,8,0.9,1615.5834805881855,q_learning,False,,simulation ended,539,278,146,132,0.4748201438848921,330.8853987036568,181.73007676812963,11.679415142383341,762.2673950648654,120.2577648862026,262,65.0,25,358,0,237,56,65,0.1212902125188341,1,1,1,1,1,1,1
