candidate_rank,source_trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,stage1_objective_mean,stage1_total_reward_mean,objective_mean,objective_std,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,best_evaluation_reward,best_evaluation_replication,best_evaluation_seed,q_table_size,candidate_dir,q_table_path
5,77,0.010052537189946,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,-324.2,324.2,-368.1666666666667,328.8576972756929,368.1666666666667,328.8576972756929,0.41871210826340605,30,1426.0,7830,8042345,1243.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_05_trial_077,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_05_trial_077/q_table.pkl
6,25,0.0785061155688703,0.95,0.0005,175.214912,758.004,0.999240198549462,0.0005,-322.2,322.2,-362.1666666666667,328.52933352823413,362.1666666666667,328.52933352823413,0.41986994560271734,30,1426.0,7830,8042345,1203.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_06_trial_025,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_06_trial_025/q_table.pkl
9,94,0.0108345396215445,0.95,0.02336032439715,175.214912,758.004,0.9996243989323234,0.02336032439715,-322.2,322.2,-356.8333333333333,314.67192366054826,356.8333333333333,314.67192366054826,0.42063689785545594,30,1356.0,9396,9608345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_09_trial_094,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_09_trial_094/q_table.pkl
2,4,0.0040457176619209,0.8,0.0261294712712988,175.214912,758.004,0.9996355972673897,0.0261294712712988,-344.2,344.2,-354.8333333333333,320.79395936927506,354.8333333333333,320.79395936927506,0.4210071229691367,30,1356.0,9396,9608345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_02_trial_004,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_02_trial_004/q_table.pkl
3,15,0.08,0.95,0.0190466014011312,175.214912,758.004,0.9996039917722188,0.0190466014011312,-332.2,332.2,-347.5,311.68880922019554,347.5,311.68880922019554,0.42229238199331476,30,1304.0,5829,6041345,1203.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_03_trial_015,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_03_trial_015/q_table.pkl
7,50,0.0182907744024232,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,-322.2,322.2,-341.5,319.44820420909207,341.5,319.44820420909207,0.4234207408807689,30,1567.0,1707,1919345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_07_trial_050,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_07_trial_050/q_table.pkl
4,42,0.0121914333635615,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,-330.2,330.2,-246.16666666666666,281.9057170994114,246.16666666666666,281.9057170994114,0.44045054633454633,30,1570.0,3549,3761345,863.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_04_trial_042,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_04_trial_042/q_table.pkl
10,74,0.0690101301749875,0.8,0.016645657213751,175.214912,758.004,0.9995905232660327,0.016645657213751,-318.2,318.2,-192.16666666666666,353.61357082451514,192.16666666666666,353.61357082451514,0.45006041142397846,30,1376.0,9396,9608345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_10_trial_074,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_10_trial_074/q_table.pkl
8,11,0.08,0.95,0.0005,175.214912,758.004,0.999240198549462,0.0005,-322.2,322.2,-170.16666666666666,306.9119927020901,170.16666666666666,306.9119927020901,0.4541066375451327,30,1356.0,3149,3361345,923.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_08_trial_011,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_08_trial_011/q_table.pkl
1,91,0.009771410304248,0.95,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-162.83333333333334,328.3477008350723,162.83333333333334,328.3477008350723,0.45524635989762435,30,1590.0,3549,3761345,963.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_01_trial_091,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_01_trial_091/q_table.pkl
