replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-768.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,179,92,0.33948339483394835,310.4323371966974,185.67232261111008,8.950989732365354,997.6433225851245,109.3254777929539,217,768.0,34,350,15,73,0,262,0.014602062595946453,1,1,1,1,1,1,1
1,313345,-467.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,168,112,0.4,335.4100810780503,198.9112493711314,17.187548032176835,1015.6946575113395,135.416784777984,282,467.0,31,357,15,92,9,241,0.014602062595946453,1,1,1,1,1,1,1
2,314345,-67.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,146,130,0.47101449275362317,365.1216161504321,220.4686870225375,12.633594345573625,794.4874481169156,148.05837788147468,286,67.0,31,359,12,85,17,245,0.014602062595946453,1,1,1,1,1,1,1
3,315345,-494.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,172,116,0.4027777777777778,330.08286433036767,202.8640622096083,11.067006805049784,950.6175290659335,124.84367175576061,239,494.0,22,359,31,80,2,246,0.014602062595946453,1,1,1,1,1,1,1
4,316345,-131.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,152,129,0.45907473309608543,361.1763310110841,212.2780319252269,18.396518633717015,1065.3841315908924,152.08948657422883,304,131.0,33,357,23,89,8,237,0.014602062595946453,1,1,1,1,1,1,1
5,317345,-360.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,161,116,0.4187725631768953,334.8211201728709,200.47000933475562,10.790077922669727,1021.0136416543834,126.39784038075321,251,360.0,30,352,20,81,13,238,0.014602062595946453,1,1,1,1,1,1,1
6,318345,-147.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,153,129,0.4574468085106383,347.65556874312887,208.514912122071,8.83969723567143,1053.7369070714562,130.76134924175673,271,147.0,31,360,6,90,3,261,0.014602062595946453,1,1,1,1,1,1,1
7,319345,-347.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,339.7258800294629,201.67115156399524,11.613480675584368,1044.3458508285476,132.63484639295993,274,347.0,31,357,8,93,0,256,0.014602062595946453,1,1,1,1,1,1,1
8,320345,-137.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,153,130,0.45936395759717313,362.0909533205608,233.05228510272346,14.103620939431089,1086.0345820544915,150.57266652830006,285,137.0,31,358,29,80,4,245,0.014602062595946453,1,1,1,1,1,1,1
9,321345,-224.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,154,122,0.4420289855072464,346.0631420939655,207.80879859877635,12.324706307787704,956.3545582091127,142.01650264372986,297,224.0,32,354,212,98,0,44,0.014602062595946453,1,1,1,1,1,1,1
10,322345,-621.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,322345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,297,183,114,0.3838383838383838,312.66772927658764,202.82097833933867,12.841325965380715,970.9373798712461,126.82927581498983,264,621.0,23,351,186,92,37,36,0.014602062595946453,1,1,1,1,1,1,1
11,323345,229.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,323345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,255,121,134,0.5254901960784314,402.63847968423164,223.49914103673717,9.889845300335054,1130.2070431065026,148.23287656560672,274,-229.0,33,351,245,54,0,52,0.014602062595946453,1,1,1,1,1,1,1
12,324345,-465.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,324345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,539,278,166,112,0.4028776978417266,331.61782258124873,179.2316730579422,11.679415142383341,885.5065771987861,120.2577648862026,262,465.0,25,358,225,71,0,62,0.014602062595946453,1,1,1,1,1,1,1
13,325345,-190.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,325345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,573,278,153,125,0.44964028776978415,367.3533223312461,214.20372413667548,11.314777878645003,1125.9757227724263,150.52665345943666,295,190.0,30,357,214,80,3,60,0.014602062595946453,1,1,1,1,1,1,1
14,326345,-388.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,326345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,535,281,165,116,0.4128113879003559,343.01140383305903,206.43743504245592,11.82614240193756,1028.3303936826849,133.06154947202782,255,388.0,34,357,211,103,0,43,0.014602062595946453,1,1,1,1,1,1,1
15,327345,-423.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,327345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,556,294,171,123,0.41836734693877553,350.4980368138561,214.01641782472655,16.544162234716865,1014.3976699992986,136.6186340765332,264,423.0,19,357,193,106,0,58,0.014602062595946453,1,1,1,1,1,1,1
16,328345,-54.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,328345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,528,276,147,129,0.4673913043478261,346.3523680293097,191.78869060150592,9.866113810889903,885.4481863084262,129.12384642981777,252,54.0,42,355,208,91,0,56,0.014602062595946453,1,1,1,1,1,1,1
17,329345,-441.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,329345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,512,284,169,115,0.40492957746478875,311.0108846501914,189.3421574810908,9.879101366234648,900.0417612648907,110.08996564603814,229,441.0,33,358,253,105,0,0,0.014602062595946453,1,1,1,1,1,1,1
18,330345,264.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,330345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,613,276,129,147,0.532608695652174,404.6225911915339,233.4767412925091,12.104969750158673,1142.385031849707,175.8695387715625,338,-264.0,28,355,265,80,8,2,0.014602062595946453,1,1,1,1,1,1,1
19,331345,-816.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,331345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,528,278,184,94,0.3381294964028777,311.8210535074566,202.5833373446807,9.18877988677093,954.8549767698848,122.75888545668477,250,816.0,28,358,82,99,0,177,0.014602062595946453,1,1,1,1,1,1,1
20,332345,29.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,332345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,595,283,145,138,0.4876325088339223,367.41025716591105,209.68781059327594,11.902551930267954,1078.2023805323686,159.54872356859133,313,-29.0,33,355,59,71,0,225,0.014602062595946453,1,1,1,1,1,1,1
21,333345,-394.0,26,0.0157531021818799,0.01,0.0146020625959428,175.214912,758.004,0.9995774300591824,0.0146020625959428,,,,,,,333345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,531,272,162,110,0.40441176470588236,316.9954178021438,195.91019287443814,11.350712639490974,878.1463230765106,123.75041321105593,262,394.0,42,348,63,85,1,199,0.014602062595946453,1,1,1,1,1,1,1
