trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size,trial_dir
0,0.038120511516928676,0.8389341533184052,0.0609497906267643,175.214912,758.004,0.9972062050708864,0.0609497906267643,-138.2,154.54938081762447,-138.2,138.2,154.54938081762447,0.4587281691271408,10,1209.0,518,730345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_000
1,0.05090599673138932,0.9093102192133665,0.03592361274408177,175.214912,758.004,0.9966791657447828,0.03592361274408177,-96.2,257.0468180442362,-138.2,96.2,257.0468180442362,0.46603231451982774,10,1077.0,718,930345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_001
2,0.07094898766577244,0.8625891711749136,0.04927588627161458,175.214912,758.004,0.9969942060315206,0.04927588627161458,-298.2,183.8506640365127,-298.2,298.2,183.8506640365127,0.4300958066382208,10,1001.0,91,303345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_002
3,0.0176087525867857,0.9806479090172797,0.014677046458702535,175.214912,758.004,0.9957874274104013,0.014677046458702535,-112.2,292.3608120874691,-298.2,112.2,292.3608120874691,0.46325425569215656,10,1127.0,633,845345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_003
4,0.0040457176619209355,0.8858630752377212,0.026129471271298825,175.214912,758.004,0.9963619423917609,0.026129471271298825,-296.2,228.82734879283018,-298.2,296.2,228.82734879283018,0.43031188825958244,10,1183.0,126,338345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_004
5,0.06743438779115678,0.9577235233876854,0.07074404575116933,175.214912,758.004,0.9973548177712197,0.07074404575116933,-200.2,196.42403111635804,-298.2,200.2,196.42403111635804,0.44735716958462823,10,1053.0,653,865345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_005
6,0.08,0.8250627450792922,0.0631350055493182,175.214912,758.004,0.9972413322362793,0.0631350055493182,-174.2,227.7780596204218,-298.2,174.2,227.7780596204218,0.4521782204630971,10,1143.0,126,338345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_006
7,0.07609517944215233,0.8931755931092205,0.028167750345587036,175.214912,758.004,0.996436785807996,0.028167750345587036,-94.2,259.79171144078737,-298.2,94.2,259.79171144078737,0.4663905097524519,10,1203.0,126,338345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_007
8,0.08,0.8288056350044917,0.045552882312827406,175.214912,758.004,0.9969158843066656,0.045552882312827406,-100.2,190.95130269259752,-298.2,100.2,190.95130269259752,0.4656085958802384,10,1202.0,934,1146345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_008
9,0.06737077985095094,0.812572143008254,0.058026545220285435,175.214912,758.004,0.9971571937512146,0.058026545220285435,-136.2,201.5985008762604,-298.2,136.2,201.5985008762604,0.4589314439316231,10,1143.0,126,338345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_009
10,0.028513599494619315,0.8697835951445663,0.03986633906005259,175.214912,758.004,0.9967829628452068,0.03986633906005259,-200.2,193.19581315914232,-298.2,200.2,193.19581315914232,0.44745446209284967,10,1209.0,518,730345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_010
11,0.08,0.86644338175387,0.07658639944819338,175.214912,758.004,0.9974339621471653,0.07658639944819338,-284.2,266.24666925407513,-298.2,284.2,266.24666925407513,0.4323611314181858,10,1137.0,718,930345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_011
12,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,-112.2,176.82181866374847,-298.2,112.2,176.82181866374847,0.46317739422569487,10,1122.0,934,1146345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_012
13,0.0001,0.8830286086864525,0.0005,175.214912,758.004,0.9924279113496888,0.0005,-38.2,180.68068826277786,-298.2,38.2,180.68068826277786,0.4764387796464307,10,1009.0,668,880345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_013
14,0.08,0.871923972816788,0.06013231110819715,175.214912,758.004,0.997192739785443,0.06013231110819715,-272.2,289.1661575403779,-298.2,272.2,289.1661575403779,0.43460710972703315,10,1069.0,518,730345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_014
15,0.05048303830604676,0.8742285107821014,0.06380756084492463,175.214912,758.004,0.9972518993736419,0.06380756084492463,-104.2,154.39689116041166,-298.2,104.2,154.39689116041166,0.46472776659457055,10,1069.0,385,597345,24,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_015
16,0.0058054035356263625,0.8850872427037475,0.03890877693894621,175.214912,758.004,0.9967587288721267,0.03890877693894621,-330.2,245.11258184307422,-330.2,330.2,245.11258184307422,0.42419068509764946,10,1122.0,934,1146345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_016
17,0.010606080317401102,0.9043160550171341,0.036944323157116335,175.214912,758.004,0.996707090279445,0.036944323157116335,-164.2,186.2929592514614,-330.2,164.2,186.2929592514614,0.45398861089956527,10,1162.0,934,1146345,23,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage1/trial_017
