replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-508.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,166,105,0.3874538745387454,310.32177796081766,181.35959356125326,8.950989732365354,909.783566413669,109.3254777929539,217,508.0,34,350,154,12,183,1,0.006104316519518296,1,1,1,1,1,1,1
1,313345,-67.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,148,132,0.4714285714285714,335.37554245579213,194.1594887472225,11.817236253798981,1006.3077196225072,135.416784777984,282,67.0,31,357,136,16,205,0,0.006104316519518296,1,1,1,1,1,1,1
2,314345,-7.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,143,133,0.48188405797101447,365.3772890491626,217.43292755815202,12.633594345573625,777.0849836028766,148.05837788147468,286,7.0,31,359,123,7,227,2,0.006104316519518296,1,1,1,1,1,1,1
3,315345,-134.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,154,134,0.4652777777777778,330.3073994971667,198.6784568271957,11.067006805049784,840.7632857595642,124.84367175576061,239,134.0,22,359,131,24,17,187,0.006104316519518296,1,1,1,1,1,1,1
4,316345,69.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,142,139,0.49466192170818507,361.5152230382338,210.17603143123793,18.396518633717015,1076.0385424784645,152.08948657422883,304,-69.0,33,357,127,11,218,1,0.006104316519518296,1,1,1,1,1,1,1
5,317345,-300.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,158,119,0.4296028880866426,334.3645976655094,196.85644111797905,10.790077922669727,1027.5703094137393,126.39784038075321,251,300.0,30,352,71,66,215,0,0.006104316519518296,1,1,1,1,1,1,1
6,318345,-47.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.81536501931095,203.1012385873042,8.83969723567143,1021.2561041719118,130.76134924175673,271,47.0,31,360,95,46,211,8,0.006104316519518296,1,1,1,1,1,1,1
7,319345,-167.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,152,126,0.45323741007194246,339.8088283390522,199.82912839359815,11.613480675584368,964.8701965917235,132.63484639295993,274,167.0,31,357,113,5,32,207,0.006104316519518296,1,1,1,1,1,1,1
8,320345,43.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,144,139,0.4911660777385159,362.5254355698607,228.56103720945856,14.103620939431089,1046.779135933792,150.57266652830006,285,-43.0,31,358,138,3,22,195,0.006104316519518296,1,1,1,1,1,1,1
9,321345,-4.0,24,0.08,0.8615441561345596,0.006104316519518296,175.214912,758.004,0.9949142174762067,0.006104316519518296,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,346.71214292486076,204.78751329892503,12.324706307787704,948.1399454287478,142.01650264372986,297,4.0,32,354,129,1,217,7,0.006104316519518296,1,1,1,1,1,1,1
